,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2021년05월_계_총인구수,"296,705","24,734","29,469","19,544","15,905","19,447","23,312","28,285","20,259","35,017","21,149","33,677","25,907"
2021년05월_계_연령구간인구수,"296,705","24,734","29,469","19,544","15,905","19,447","23,312","28,285","20,259","35,017","21,149","33,677","25,907"
2021년05월_계_0~9세,"18,063","1,269","1,850",769,603,877,"1,503","1,752","1,012","2,644","1,436","1,654","2,694"
2021년05월_계_10~19세,"26,182","2,198","2,697","1,220",951,"1,490","2,514","2,725","1,402","3,656","1,759","2,683","2,887"
2021년05월_계_20~29세,"43,571","3,509","4,205","2,929","2,454","3,313","3,819","4,262","2,970","5,232","2,993","5,029","2,856"
2021년05월_계_30~39세,"37,842","2,733","3,465","2,490","2,117","2,840","2,630","3,490","2,801","4,769","2,540","4,295","3,672"
2021년05월_계_40~49세,"45,252","3,524","4,381","2,680","2,033","2,520","3,885","4,382","2,689","5,855","3,176","4,968","5,159"
2021년05월_계_50~59세,"60,130","5,099","5,959","4,222","3,401","4,230","5,141","5,651","4,104","7,021","4,219","7,079","4,004"
2021년05월_계_60~69세,"41,338","3,976","4,426","3,273","2,770","2,898","2,566","3,908","3,308","3,666","3,027","4,615","2,905"
2021년05월_계_70~79세,"15,622","1,574","1,706","1,298","1,061",772,643,"1,384","1,314","1,305","1,263","2,123","1,179"
2021년05월_계_80~89세,"7,508",744,694,594,432,432,492,638,575,736,627,"1,071",473
2021년05월_계_90~99세,"1,168",103,83,67,81,74,116,92,82,129,108,155,78
2021년05월_계_100세 이상,29,5,3,2,2,1,3,1,2,4,1,5,0
2021년05월_남_총인구수,"147,864","12,435","14,927","10,266","7,879","9,339","11,773","13,918","10,022","17,438","10,462","16,661","12,744"
2021년05월_남_연령구간인구수,"147,864","12,435","14,927","10,266","7,879","9,339","11,773","13,918","10,022","17,438","10,462","16,661","12,744"
2021년05월_남_0~9세,"9,204",647,959,419,286,449,762,881,502,"1,338",751,840,"1,370"
2021년05월_남_10~19세,"13,419","1,150","1,390",633,500,787,"1,293","1,377",713,"1,825",905,"1,349","1,497"
2021년05월_남_20~29세,"22,843","1,897","2,303","1,584","1,242","1,705","1,975","2,249","1,510","2,770","1,524","2,667","1,417"
2021년05월_남_30~39세,"19,728","1,418","1,848","1,412","1,158","1,435","1,357","1,777","1,522","2,480","1,304","2,266","1,751"
2021년05월_남_40~49세,"22,576","1,758","2,204","1,461","1,043","1,127","1,903","2,125","1,394","2,834","1,582","2,452","2,693"
2021년05월_남_50~59세,"29,243","2,525","2,889","2,246","1,616","1,883","2,540","2,702","1,937","3,463","2,038","3,470","1,934"
2021년05월_남_60~69세,"21,131","2,022","2,258","1,700","1,388","1,473","1,475","1,972","1,633","1,924","1,555","2,375","1,356"
2021년05월_남_70~79세,"7,052",739,810,612,488,346,305,623,585,557,559,889,539
2021년05월_남_80~89세,"2,417",251,250,186,142,116,145,186,210,223,226,317,165
2021년05월_남_90~99세,244,27,16,13,16,17,17,25,15,23,18,35,22
2021년05월_남_100세 이상,7,1,0,0,0,1,1,1,1,1,0,1,0
2021년05월_여_총인구수,"148,841","12,299","14,542","9,278","8,026","10,108","11,539","14,367","10,237","17,579","10,687","17,016","13,163"
2021년05월_여_연령구간인구수,"148,841","12,299","14,542","9,278","8,026","10,108","11,539","14,367","10,237","17,579","10,687","17,016","13,163"
2021년05월_여_0~9세,"8,859",622,891,350,317,428,741,871,510,"1,306",685,814,"1,324"
2021년05월_여_10~19세,"12,763","1,048","1,307",587,451,703,"1,221","1,348",689,"1,831",854,"1,334","1,390"
2021년05월_여_20~29세,"20,728","1,612","1,902","1,345","1,212","1,608","1,844","2,013","1,460","2,462","1,469","2,362","1,439"
2021년05월_여_30~39세,"18,114","1,315","1,617","1,078",959,"1,405","1,273","1,713","1,279","2,289","1,236","2,029","1,921"
2021년05월_여_40~49세,"22,676","1,766","2,177","1,219",990,"1,393","1,982","2,257","1,295","3,021","1,594","2,516","2,466"
2021년05월_여_50~59세,"30,887","2,574","3,070","1,976","1,785","2,347","2,601","2,949","2,167","3,558","2,181","3,609","2,070"
2021년05월_여_60~69세,"20,207","1,954","2,168","1,573","1,382","1,425","1,091","1,936","1,675","1,742","1,472","2,240","1,549"
2021년05월_여_70~79세,"8,570",835,896,686,573,426,338,761,729,748,704,"1,234",640
2021년05월_여_80~89세,"5,091",493,444,408,290,316,347,452,365,513,401,754,308
2021년05월_여_90~99세,924,76,67,54,65,57,99,67,67,106,90,120,56
2021년05월_여_100세 이상,22,4,3,2,2,0,2,0,1,3,1,4,0
