카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년10월_계_총인구수,"2,942,233","139,391","62,802","402,662","383,529","527,080","496,958","297,282","542,982","69,069","20,478"
2020년10월_계_연령구간인구수,"2,942,233","139,391","62,802","402,662","383,529","527,080","496,958","297,282","542,982","69,069","20,478"
2020년10월_계_0~9세,"230,733","12,017","3,859","27,144","38,043","42,535","33,479","18,774","50,571","3,350",961
2020년10월_계_10~19세,"275,120","12,573","5,107","31,646","42,469","50,252","43,608","26,951","56,780","4,613","1,121"
2020년10월_계_20~29세,"401,806","19,198","6,646","57,000","52,034","71,155","70,500","44,351","72,846","5,367","2,709"
2020년10월_계_30~39세,"407,042","21,276","6,988","55,325","57,128","73,119","67,988","37,950","80,037","5,327","1,904"
2020년10월_계_40~49세,"484,692","24,483","10,094","63,215","67,841","89,204","77,875","46,183","95,590","7,763","2,444"
2020년10월_계_50~59세,"513,053","20,353","10,154","67,190","64,138","90,632","90,627","60,876","93,460","12,005","3,618"
2020년10월_계_60~69세,"362,963","15,803","9,955","55,075","37,867","64,956","65,382","38,344","57,517","14,107","3,957"
2020년10월_계_70~79세,"176,800","9,298","6,675","31,169","15,458","30,718","31,381","15,435","24,196","10,091","2,379"
2020년10월_계_80~89세,"76,819","3,710","2,809","12,732","7,206","12,373","13,815","7,234","10,209","5,602","1,129"
2020년10월_계_90~99세,"12,256",602,442,"1,987","1,286","2,002","2,101","1,114","1,670",809,243
2020년10월_계_100세 이상,949,78,73,179,59,134,202,70,106,35,13
2020년10월_남_총인구수,"1,473,834","72,267","31,701","202,816","190,662","261,785","245,756","148,288","274,290","34,603","11,666"
2020년10월_남_연령구간인구수,"1,473,834","72,267","31,701","202,816","190,662","261,785","245,756","148,288","274,290","34,603","11,666"
2020년10월_남_0~9세,"118,446","6,192","2,049","13,882","19,361","21,869","17,151","9,533","26,148","1,759",502
2020년10월_남_10~19세,"141,458","6,514","2,638","16,288","21,821","25,677","22,591","13,879","29,065","2,382",603
2020년10월_남_20~29세,"209,569","9,751","3,612","30,135","26,945","36,736","36,270","23,234","37,837","3,067","1,982"
2020년10월_남_30~39세,"210,479","11,519","3,701","29,757","28,170","37,605","35,112","19,738","40,898","2,795","1,184"
2020년10월_남_40~49세,"247,655","13,394","5,444","33,411","33,438","45,334","39,156","22,960","48,749","4,229","1,540"
2020년10월_남_50~59세,"256,576","11,170","5,397","33,743","31,714","44,676","44,405","29,726","47,475","6,186","2,084"
2020년10월_남_60~69세,"179,874","7,897","4,793","26,410","19,473","31,368","31,827","19,704","29,259","7,014","2,129"
2020년10월_남_70~79세,"80,533","4,327","2,954","14,088","7,110","13,893","14,125","6,947","11,161","4,753","1,175"
2020년10월_남_80~89세,"26,344","1,327",980,"4,600","2,320","4,191","4,651","2,308","3,340","2,213",414
2020년10월_남_90~99세,"2,650",150,110,457,294,405,424,242,323,196,49
2020년10월_남_100세 이상,250,26,23,45,16,31,44,17,35,9,4
2020년10월_여_총인구수,"1,468,399","67,124","31,101","199,846","192,867","265,295","251,202","148,994","268,692","34,466","8,812"
2020년10월_여_연령구간인구수,"1,468,399","67,124","31,101","199,846","192,867","265,295","251,202","148,994","268,692","34,466","8,812"
2020년10월_여_0~9세,"112,287","5,825","1,810","13,262","18,682","20,666","16,328","9,241","24,423","1,591",459
2020년10월_여_10~19세,"133,662","6,059","2,469","15,358","20,648","24,575","21,017","13,072","27,715","2,231",518
2020년10월_여_20~29세,"192,237","9,447","3,034","26,865","25,089","34,419","34,230","21,117","35,009","2,300",727
2020년10월_여_30~39세,"196,563","9,757","3,287","25,568","28,958","35,514","32,876","18,212","39,139","2,532",720
2020년10월_여_40~49세,"237,037","11,089","4,650","29,804","34,403","43,870","38,719","23,223","46,841","3,534",904
2020년10월_여_50~59세,"256,477","9,183","4,757","33,447","32,424","45,956","46,222","31,150","45,985","5,819","1,534"
2020년10월_여_60~69세,"183,089","7,906","5,162","28,665","18,394","33,588","33,555","18,640","28,258","7,093","1,828"
2020년10월_여_70~79세,"96,267","4,971","3,721","17,081","8,348","16,825","17,256","8,488","13,035","5,338","1,204"
2020년10월_여_80~89세,"50,475","2,383","1,829","8,132","4,886","8,182","9,164","4,926","6,869","3,389",715
2020년10월_여_90~99세,"9,606",452,332,"1,530",992,"1,597","1,677",872,"1,347",613,194
2020년10월_여_100세 이상,699,52,50,134,43,103,158,53,71,26,9
