,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년04월_계_총인구수,"176,287","52,681","8,579","81,719","25,318","7,990"
2021년04월_계_연령구간인구수,"176,287","52,681","8,579","81,719","25,318","7,990"
2021년04월_계_0~9세,"18,952","3,086",403,"11,863","3,241",359
2021년04월_계_10~19세,"17,716","4,351",418,"10,717","1,790",440
2021년04월_계_20~29세,"17,143","6,273","1,025","6,627","2,516",702
2021년04월_계_30~39세,"24,801","5,538","1,026","12,954","4,621",662
2021년04월_계_40~49세,"32,693","8,139",952,"18,605","3,995","1,002"
2021년04월_계_50~59세,"24,414","9,317","1,527","8,500","3,687","1,383"
2021년04월_계_60~69세,"21,961","8,372","1,669","6,968","3,156","1,796"
2021년04월_계_70~79세,"12,529","4,997",952,"3,921","1,561","1,098"
2021년04월_계_80~89세,"5,317","2,298",512,"1,375",645,487
2021년04월_계_90~99세,732,299,90,185,100,58
2021년04월_계_100세 이상,29,11,5,4,6,3
2021년04월_남_총인구수,"87,304","25,719","4,604","40,360","12,589","4,032"
2021년04월_남_연령구간인구수,"87,304","25,719","4,604","40,360","12,589","4,032"
2021년04월_남_0~9세,"9,658","1,632",211,"6,034","1,611",170
2021년04월_남_10~19세,"9,214","2,263",242,"5,572",907,230
2021년04월_남_20~29세,"9,073","3,334",606,"3,324","1,384",425
2021년04월_남_30~39세,"12,334","2,910",601,"6,159","2,317",347
2021년04월_남_40~49세,"16,730","4,071",561,"9,490","2,053",555
2021년04월_남_50~59세,"12,399","4,620",867,"4,396","1,807",709
2021년04월_남_60~69세,"10,231","3,927",860,"3,031","1,552",861
2021년04월_남_70~79세,"5,706","2,114",481,"1,821",736,554
2021년04월_남_80~89세,"1,819",795,156,501,201,166
2021년04월_남_90~99세,138,52,18,32,21,15
2021년04월_남_100세 이상,2,1,1,0,0,0
2021년04월_여_총인구수,"88,983","26,962","3,975","41,359","12,729","3,958"
2021년04월_여_연령구간인구수,"88,983","26,962","3,975","41,359","12,729","3,958"
2021년04월_여_0~9세,"9,294","1,454",192,"5,829","1,630",189
2021년04월_여_10~19세,"8,502","2,088",176,"5,145",883,210
2021년04월_여_20~29세,"8,070","2,939",419,"3,303","1,132",277
2021년04월_여_30~39세,"12,467","2,628",425,"6,795","2,304",315
2021년04월_여_40~49세,"15,963","4,068",391,"9,115","1,942",447
2021년04월_여_50~59세,"12,015","4,697",660,"4,104","1,880",674
2021년04월_여_60~69세,"11,730","4,445",809,"3,937","1,604",935
2021년04월_여_70~79세,"6,823","2,883",471,"2,100",825,544
2021년04월_여_80~89세,"3,498","1,503",356,874,444,321
2021년04월_여_90~99세,594,247,72,153,79,43
2021년04월_여_100세 이상,27,10,4,4,6,3
