카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년02월_계_총인구수,"40,122","4,366",255,"5,954",254,225,"1,561",336,"3,243","2,280","3,633","2,637",223,"2,409",458,226,534,334,"1,808","1,603","1,625","2,775",293,"1,012","2,078"
2020년02월_계_연령구간인구수,"40,122","4,366",255,"5,954",254,225,"1,561",336,"3,243","2,280","3,633","2,637",223,"2,409",458,226,534,334,"1,808","1,603","1,625","2,775",293,"1,012","2,078"
2020년02월_계_0~9세,"1,712",164,5,248,8,9,57,5,190,92,149,133,9,79,12,10,31,15,82,77,79,123,9,21,105
2020년02월_계_10~19세,"2,137",242,8,305,4,6,63,15,230,102,226,222,6,123,21,15,33,20,109,104,66,101,8,33,75
2020년02월_계_20~29세,"3,108",325,15,550,11,9,130,19,252,152,224,200,8,235,74,14,53,28,129,139,98,217,18,65,143
2020년02월_계_30~39세,"3,017",291,13,489,23,16,110,24,238,141,257,197,12,210,49,14,68,27,125,146,128,196,34,67,142
2020년02월_계_40~49세,"4,557",496,25,673,22,21,194,39,423,211,426,284,33,326,80,32,90,46,212,215,165,233,32,90,189
2020년02월_계_50~59세,"7,327",804,56,"1,148",49,36,295,72,605,439,662,406,61,460,90,46,111,59,321,304,250,480,53,146,374
2020년02월_계_60~69세,"7,499",830,53,"1,195",63,45,241,72,558,441,683,434,45,395,66,46,75,73,340,271,322,549,63,222,417
2020년02월_계_70~79세,"6,511",745,40,809,54,59,304,66,501,437,630,443,30,337,44,24,45,40,290,211,313,478,48,218,345
2020년02월_계_80~89세,"3,800",422,37,466,19,23,152,23,229,243,328,292,16,202,22,22,28,21,187,124,183,343,24,135,259
