카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년08월_계_총인구수,"61,590","17,126","12,298","2,036","1,631","3,852","2,526","1,803","2,557","2,373","5,599","1,857","2,794","1,540","3,598"
2020년08월_계_연령구간인구수,"61,590","17,126","12,298","2,036","1,631","3,852","2,526","1,803","2,557","2,373","5,599","1,857","2,794","1,540","3,598"
2020년08월_계_0~9세,"3,380","1,405",983,65,28,109,69,41,138,64,215,41,96,34,92
2020년08월_계_10~19세,"4,192","1,580",958,117,57,169,242,62,176,73,359,57,160,53,129
2020년08월_계_20~29세,"4,981","1,777",945,117,97,260,133,92,201,180,517,85,218,101,258
2020년08월_계_30~39세,"5,240","1,909","1,234",102,106,249,157,106,199,139,410,110,196,79,244
2020년08월_계_40~49세,"7,151","2,372","1,748",137,138,383,184,143,292,209,655,147,297,135,311
2020년08월_계_50~59세,"11,058","2,880","2,178",335,299,721,423,290,436,474,"1,136",343,516,301,726
2020년08월_계_60~69세,"11,860","2,589","2,122",409,406,798,558,422,489,520,"1,156",411,636,405,939
2020년08월_계_70~79세,"8,110","1,597","1,314",406,267,675,422,391,358,403,720,372,394,252,539
2020년08월_계_80~89세,"4,945",896,723,296,209,430,303,222,234,271,385,259,239,155,323
2020년08월_계_90~99세,645,116,86,52,24,57,30,34,30,38,46,32,39,25,36
2020년08월_계_100세 이상,28,5,7,0,0,1,5,0,4,2,0,0,3,0,1
2020년08월_남_총인구수,"30,605","8,491","6,165","1,011",783,"1,970","1,201",882,"1,327","1,177","2,813",905,"1,367",767,"1,746"
2020년08월_남_연령구간인구수,"30,605","8,491","6,165","1,011",783,"1,970","1,201",882,"1,327","1,177","2,813",905,"1,367",767,"1,746"
2020년08월_남_0~9세,"1,756",726,510,27,15,55,37,25,79,36,108,24,49,18,47
2020년08월_남_10~19세,"2,263",822,518,73,43,106,101,27,105,37,209,36,80,32,74
2020년08월_남_20~29세,"2,871",991,540,69,61,167,78,57,124,108,306,56,113,58,143
2020년08월_남_30~39세,"2,879","1,001",648,58,63,144,95,70,109,85,239,66,116,51,134
2020년08월_남_40~49세,"3,982","1,236",979,89,76,231,117,87,178,118,363,89,162,85,172
2020년08월_남_50~59세,"5,861","1,487","1,137",175,152,434,216,168,256,273,583,191,277,140,372
2020년08월_남_60~69세,"5,931","1,233","1,044",233,206,410,277,212,249,270,580,210,322,212,473
2020년08월_남_70~79세,"3,479",701,558,176,115,281,184,164,145,164,308,150,172,129,232
2020년08월_남_80~89세,"1,472",271,219,99,46,135,85,66,78,82,110,77,71,39,94
2020년08월_남_90~99세,109,23,11,12,6,7,10,6,4,4,7,6,5,3,5
2020년08월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"30,985","8,635","6,133","1,025",848,"1,882","1,325",921,"1,230","1,196","2,786",952,"1,427",773,"1,852"
2020년08월_여_연령구간인구수,"30,985","8,635","6,133","1,025",848,"1,882","1,325",921,"1,230","1,196","2,786",952,"1,427",773,"1,852"
2020년08월_여_0~9세,"1,624",679,473,38,13,54,32,16,59,28,107,17,47,16,45
2020년08월_여_10~19세,"1,929",758,440,44,14,63,141,35,71,36,150,21,80,21,55
2020년08월_여_20~29세,"2,110",786,405,48,36,93,55,35,77,72,211,29,105,43,115
2020년08월_여_30~39세,"2,361",908,586,44,43,105,62,36,90,54,171,44,80,28,110
2020년08월_여_40~49세,"3,169","1,136",769,48,62,152,67,56,114,91,292,58,135,50,139
2020년08월_여_50~59세,"5,197","1,393","1,041",160,147,287,207,122,180,201,553,152,239,161,354
2020년08월_여_60~69세,"5,929","1,356","1,078",176,200,388,281,210,240,250,576,201,314,193,466
2020년08월_여_70~79세,"4,631",896,756,230,152,394,238,227,213,239,412,222,222,123,307
2020년08월_여_80~89세,"3,473",625,504,197,163,295,218,156,156,189,275,182,168,116,229
2020년08월_여_90~99세,536,93,75,40,18,50,20,28,26,34,39,26,34,22,31
2020년08월_여_100세 이상,26,5,6,0,0,1,4,0,4,2,0,0,3,0,1
