카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년11월_계_총인구수,"44,543","13,492","3,658","3,733","1,850","3,414","6,196","4,125","1,558","1,396","2,897","2,224"
2020년11월_계_연령구간인구수,"44,543","13,492","3,658","3,733","1,850","3,414","6,196","4,125","1,558","1,396","2,897","2,224"
2020년11월_계_0~9세,"2,799",995,319,171,53,146,701,182,60,31,85,56
2020년11월_계_10~19세,"3,309","1,205",293,177,74,196,660,267,97,63,177,100
2020년11월_계_20~29세,"4,253","1,294",307,365,147,439,741,409,126,106,187,132
2020년11월_계_30~39세,"3,684","1,192",272,330,127,196,821,277,102,74,153,140
2020년11월_계_40~49세,"5,576","1,913",475,428,181,392,908,527,170,113,263,206
2020년11월_계_50~59세,"7,504","2,170",608,697,363,581,844,789,281,240,493,438
2020년11월_계_60~69세,"7,235","2,028",613,699,365,594,620,752,288,282,515,479
2020년11월_계_70~79세,"5,948","1,643",440,507,285,492,541,536,256,283,565,400
2020년11월_계_80~89세,"3,692",917,291,312,216,346,319,324,150,179,416,222
2020년11월_계_90~99세,503,123,34,46,38,31,41,58,25,24,41,42
2020년11월_계_100세 이상,40,12,6,1,1,1,0,4,3,1,2,9
2020년11월_남_총인구수,"22,816","6,681","1,843","2,003",973,"1,905","3,214","2,083",814,696,"1,452","1,152"
2020년11월_남_연령구간인구수,"22,816","6,681","1,843","2,003",973,"1,905","3,214","2,083",814,696,"1,452","1,152"
2020년11월_남_0~9세,"1,405",522,168,85,21,77,332,85,29,12,45,29
2020년11월_남_10~19세,"1,746",624,157,95,40,107,342,132,52,38,104,55
2020년11월_남_20~29세,"2,535",700,167,212,92,374,447,235,67,67,102,72
2020년11월_남_30~39세,"1,949",593,121,209,77,103,446,144,66,39,80,71
2020년11월_남_40~49세,"3,194","1,035",249,280,119,249,501,314,104,61,160,122
2020년11월_남_50~59세,"4,282","1,199",376,394,210,335,490,438,164,136,282,258
2020년11월_남_60~69세,"3,786",989,302,387,212,312,335,403,156,147,276,267
2020년11월_남_70~79세,"2,613",719,203,225,117,218,213,228,119,124,253,194
2020년11월_남_80~89세,"1,180",277,90,101,74,121,96,90,50,66,140,75
2020년11월_남_90~99세,121,22,9,15,11,9,12,14,5,6,10,8
2020년11월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년11월_여_총인구수,"21,727","6,811","1,815","1,730",877,"1,509","2,982","2,042",744,700,"1,445","1,072"
2020년11월_여_연령구간인구수,"21,727","6,811","1,815","1,730",877,"1,509","2,982","2,042",744,700,"1,445","1,072"
2020년11월_여_0~9세,"1,394",473,151,86,32,69,369,97,31,19,40,27
2020년11월_여_10~19세,"1,563",581,136,82,34,89,318,135,45,25,73,45
2020년11월_여_20~29세,"1,718",594,140,153,55,65,294,174,59,39,85,60
2020년11월_여_30~39세,"1,735",599,151,121,50,93,375,133,36,35,73,69
2020년11월_여_40~49세,"2,382",878,226,148,62,143,407,213,66,52,103,84
2020년11월_여_50~59세,"3,222",971,232,303,153,246,354,351,117,104,211,180
2020년11월_여_60~69세,"3,449","1,039",311,312,153,282,285,349,132,135,239,212
2020년11월_여_70~79세,"3,335",924,237,282,168,274,328,308,137,159,312,206
2020년11월_여_80~89세,"2,512",640,201,211,142,225,223,234,100,113,276,147
2020년11월_여_90~99세,382,101,25,31,27,22,29,44,20,18,31,34
2020년11월_여_100세 이상,35,11,5,1,1,1,0,4,1,1,2,8
