,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년08월_계_총인구수,"2,120,519","658,212","258,942","399,270","105,353","100,538","313,871","175,272","117,340","42,802","166,067","51,641","65,723","52,137","30,863","99,984","78,420","62,296"
2020년08월_계_연령구간인구수,"2,120,519","658,212","258,942","399,270","105,353","100,538","313,871","175,272","117,340","42,802","166,067","51,641","65,723","52,137","30,863","99,984","78,420","62,296"
2020년08월_계_0~9세,"176,291","63,259","20,939","42,320","5,990","6,302","33,571","15,680","7,395","3,999","15,947","2,667","3,025","2,369","1,303","7,902","3,730","3,152"
2020년08월_계_10~19세,"203,833","68,864","26,544","42,320","8,397","8,430","34,294","17,334","9,931","6,381","15,637","4,359","4,760","3,529","2,019","9,627","5,745","4,526"
2020년08월_계_20~29세,"242,317","96,145","35,474","60,671","11,402","9,593","35,976","19,151","11,512","4,859","16,109","3,985","5,446","3,927","2,630","9,648","6,877","5,057"
2020년08월_계_30~39세,"271,792","106,559","33,827","72,732","9,707","9,588","48,738","22,340","10,966","4,665","23,105","3,882","4,494","3,537","2,095","10,638","6,256","5,222"
2020년08월_계_40~49세,"328,767","112,020","43,252","68,768","13,518","14,119","55,679","27,880","15,668","8,441","26,628","6,323","7,353","5,951","3,164","14,600","9,651","7,772"
2020년08월_계_50~59세,"340,074","102,763","44,033","58,730","18,729","17,272","45,733","28,244","19,909","6,909","25,774","9,178","11,021","8,604","5,320","15,889","13,830","10,899"
2020년08월_계_60~69세,"272,578","61,558","30,280","31,278","17,981","16,761","30,961","21,468","19,649","4,291","20,586","9,623","12,812","10,098","6,036","14,413","14,525","11,816"
2020년08월_계_70~79세,"170,826","29,910","15,453","14,457","11,487","11,261","17,928","13,841","13,032","2,009","13,197","6,828","9,496","8,058","4,544","10,034","10,442","8,759"
2020년08월_계_80~89세,"99,177","14,815","7,896","6,919","7,090","6,262","9,604","8,090","8,026","1,067","7,907","4,224","6,281","5,216","3,300","6,320","6,515","4,460"
2020년08월_계_90~99세,"13,960","2,147","1,158",989,992,889,"1,273","1,183","1,163",171,"1,109",542,980,806,433,853,811,608
2020년08월_계_100세 이상,904,172,86,86,60,61,114,61,89,10,68,30,55,42,19,60,38,25
2020년08월_남_총인구수,"1,081,807","335,724","131,244","204,480","52,741","50,941","162,873","91,076","58,656","21,300","88,049","26,032","32,560","25,776","15,623","49,715","39,353","31,388"
2020년08월_남_연령구간인구수,"1,081,807","335,724","131,244","204,480","52,741","50,941","162,873","91,076","58,656","21,300","88,049","26,032","32,560","25,776","15,623","49,715","39,353","31,388"
2020년08월_남_0~9세,"90,254","32,276","10,775","21,501","3,113","3,170","17,233","8,068","3,792","2,030","8,157","1,367","1,621","1,174",661,"4,120","1,922","1,550"
2020년08월_남_10~19세,"105,807","35,683","13,773","21,910","4,326","4,378","17,674","9,204","5,131","3,335","8,196","2,280","2,509","1,823","1,066","4,890","2,951","2,361"
2020년08월_남_20~29세,"133,757","50,454","18,833","31,621","6,352","5,627","19,959","11,296","6,448","2,715","9,433","2,289","3,164","2,304","1,507","5,325","3,908","2,976"
2020년08월_남_30~39세,"146,143","56,604","17,757","38,847","5,169","5,183","26,077","12,327","5,795","2,295","13,102","2,049","2,440","1,992","1,206","5,516","3,479","2,909"
2020년08월_남_40~49세,"175,173","57,779","22,259","35,520","7,133","7,747","30,237","14,893","8,341","4,110","14,999","3,497","4,012","3,259","1,843","7,623","5,309","4,391"
2020년08월_남_50~59세,"179,499","52,807","22,532","30,275","9,692","9,197","24,675","15,081","10,434","3,471","14,427","5,055","5,751","4,650","2,902","8,282","7,353","5,722"
2020년08월_남_60~69세,"135,921","31,053","15,225","15,828","8,970","8,214","15,409","10,684","9,864","2,077","10,475","4,869","6,374","4,938","3,096","7,057","7,170","5,671"
2020년08월_남_70~79세,"77,086","13,434","7,047","6,387","5,244","5,011","7,922","6,453","5,754",887,"6,163","3,071","4,238","3,565","2,042","4,476","4,724","4,102"
2020년08월_남_80~89세,"34,689","5,099","2,759","2,340","2,467","2,213","3,371","2,827","2,774",343,"2,803","1,418","2,204","1,874","1,177","2,191","2,350","1,578"
2020년08월_남_90~99세,"3,273",489,261,228,262,188,283,234,302,37,280,129,240,188,119,216,182,124
2020년08월_남_100세 이상,205,46,23,23,13,13,33,9,21,0,14,8,7,9,4,19,5,4
2020년08월_여_총인구수,"1,038,712","322,488","127,698","194,790","52,612","49,597","150,998","84,196","58,684","21,502","78,018","25,609","33,163","26,361","15,240","50,269","39,067","30,908"
2020년08월_여_연령구간인구수,"1,038,712","322,488","127,698","194,790","52,612","49,597","150,998","84,196","58,684","21,502","78,018","25,609","33,163","26,361","15,240","50,269","39,067","30,908"
2020년08월_여_0~9세,"86,037","30,983","10,164","20,819","2,877","3,132","16,338","7,612","3,603","1,969","7,790","1,300","1,404","1,195",642,"3,782","1,808","1,602"
2020년08월_여_10~19세,"98,026","33,181","12,771","20,410","4,071","4,052","16,620","8,130","4,800","3,046","7,441","2,079","2,251","1,706",953,"4,737","2,794","2,165"
2020년08월_여_20~29세,"108,560","45,691","16,641","29,050","5,050","3,966","16,017","7,855","5,064","2,144","6,676","1,696","2,282","1,623","1,123","4,323","2,969","2,081"
2020년08월_여_30~39세,"125,649","49,955","16,070","33,885","4,538","4,405","22,661","10,013","5,171","2,370","10,003","1,833","2,054","1,545",889,"5,122","2,777","2,313"
2020년08월_여_40~49세,"153,594","54,241","20,993","33,248","6,385","6,372","25,442","12,987","7,327","4,331","11,629","2,826","3,341","2,692","1,321","6,977","4,342","3,381"
2020년08월_여_50~59세,"160,575","49,956","21,501","28,455","9,037","8,075","21,058","13,163","9,475","3,438","11,347","4,123","5,270","3,954","2,418","7,607","6,477","5,177"
2020년08월_여_60~69세,"136,657","30,505","15,055","15,450","9,011","8,547","15,552","10,784","9,785","2,214","10,111","4,754","6,438","5,160","2,940","7,356","7,355","6,145"
2020년08월_여_70~79세,"93,740","16,476","8,406","8,070","6,243","6,250","10,006","7,388","7,278","1,122","7,034","3,757","5,258","4,493","2,502","5,558","5,718","4,657"
2020년08월_여_80~89세,"64,488","9,716","5,137","4,579","4,623","4,049","6,233","5,263","5,252",724,"5,104","2,806","4,077","3,342","2,123","4,129","4,165","2,882"
2020년08월_여_90~99세,"10,687","1,658",897,761,730,701,990,949,861,134,829,413,740,618,314,637,629,484
2020년08월_여_100세 이상,699,126,63,63,47,48,81,52,68,10,54,22,48,33,15,41,33,21
