카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년10월_계_총인구수,"1,541,836","282,320","353,553","213,070","90,626","42,901","82,538","65,544","69,163","46,514","38,712","41,708","36,950","44,749","24,897","22,276","31,570","26,781","27,964"
2020년10월_계_연령구간인구수,"1,541,836","282,320","353,553","213,070","90,626","42,901","82,538","65,544","69,163","46,514","38,712","41,708","36,950","44,749","24,897","22,276","31,570","26,781","27,964"
2020년10월_계_0~9세,"106,244","21,789","28,377","13,568","6,727","2,630","5,882","3,878","3,793","2,182","1,701","1,908","1,745","3,357","1,816","1,744","2,502","1,285","1,360"
2020년10월_계_10~19세,"138,449","27,028","36,025","19,168","8,816","3,869","7,511","5,233","5,246","3,615","2,922","2,935","2,566","3,826","1,810","2,084","2,310","1,626","1,859"
2020년10월_계_20~29세,"179,516","37,163","45,354","25,078","9,379","3,688","9,013","7,387","6,895","3,835","3,312","3,388","2,844","5,851","3,925","3,097","4,034","2,887","2,386"
2020년10월_계_30~39세,"166,642","34,311","45,219","21,679","9,305","3,837","9,219","5,838","6,141","3,457","2,790","3,126","3,126","4,703","2,870","2,576","3,867","2,217","2,361"
2020년10월_계_40~49세,"224,848","42,489","57,315","32,335","14,653","6,468","12,494","8,981","8,299","5,144","4,659","5,377","4,992","5,722","2,752","2,562","3,985","3,064","3,557"
2020년10월_계_50~59세,"268,641","47,158","60,767","36,772","15,641","7,424","15,205","11,390","12,849","8,799","7,386","8,116","7,046","7,263","3,969","3,548","5,304","4,879","5,125"
2020년10월_계_60~69세,"238,567","37,720","44,953","33,355","13,759","7,665","12,612","11,063","13,609","10,114","7,996","8,778","7,476","6,654","3,742","3,335","5,114","5,129","5,493"
2020년10월_계_70~79세,"135,672","21,018","21,680","19,565","8,085","4,902","6,784","7,220","7,306","5,616","4,874","5,005","4,541","4,745","2,426","2,034","2,699","3,505","3,667"
2020년10월_계_80~89세,"71,218","11,622","11,958","9,809","3,702","2,078","3,176","3,925","4,353","3,197","2,667","2,669","2,209","2,221","1,350","1,133","1,487","1,838","1,824"
2020년10월_계_90~99세,"11,189","1,907","1,794","1,633",529,276,610,579,629,523,353,364,355,362,222,149,253,335,316
2020년10월_계_100세 이상,850,115,111,108,30,64,32,50,43,32,52,42,50,45,15,14,15,16,16
2020년10월_남_총인구수,"775,679","139,320","175,367","105,664","45,947","21,717","40,887","33,208","35,608","23,847","20,002","21,324","19,203","23,261","13,503","11,793","17,001","13,812","14,215"
2020년10월_남_연령구간인구수,"775,679","139,320","175,367","105,664","45,947","21,717","40,887","33,208","35,608","23,847","20,002","21,324","19,203","23,261","13,503","11,793","17,001","13,812","14,215"
2020년10월_남_0~9세,"54,338","11,181","14,451","6,988","3,474","1,359","2,978","1,984","1,900","1,145",907,947,904,"1,695",913,890,"1,273",652,697
2020년10월_남_10~19세,"72,079","14,046","18,675","10,080","4,590","2,026","3,885","2,712","2,727","1,887","1,563","1,551","1,323","1,990",917,"1,048","1,201",879,979
2020년10월_남_20~29세,"100,801","19,792","24,100","13,725","5,511","2,108","5,090","4,140","4,174","2,173","1,910","1,957","1,615","3,804","2,740","2,065","2,663","1,831","1,403"
2020년10월_남_30~39세,"87,592","17,483","23,001","11,381","4,962","2,018","4,953","3,181","3,360","1,827","1,531","1,695","1,757","2,591","1,682","1,428","2,207","1,258","1,277"
2020년10월_남_40~49세,"115,380","21,017","28,186","16,471","7,601","3,445","6,178","4,951","4,452","2,857","2,555","2,932","2,902","3,069","1,496","1,394","2,217","1,717","1,940"
2020년10월_남_50~59세,"138,131","23,659","30,568","18,432","8,089","3,965","7,518","6,087","6,785","4,661","4,091","4,326","3,865","3,863","2,143","1,886","2,808","2,631","2,754"
2020년10월_남_60~69세,"118,629","18,256","22,211","15,974","6,643","3,783","6,108","5,531","7,055","5,283","4,159","4,555","3,930","3,251","1,999","1,772","2,756","2,624","2,739"
2020년10월_남_70~79세,"60,724","9,183","9,599","8,724","3,651","2,187","2,960","3,178","3,439","2,705","2,211","2,315","2,037","2,102","1,068",883,"1,286","1,501","1,695"
2020년10월_남_80~89세,"25,204","4,189","4,145","3,532","1,306",735,"1,080","1,322","1,534","1,172",965,960,772,803,479,383,519,641,667
2020년10월_남_90~99세,"2,541",468,404,330,111,65,124,110,174,127,94,75,78,81,59,38,65,75,63
2020년10월_남_100세 이상,260,46,27,27,9,26,13,12,8,10,16,11,20,12,7,6,6,3,1
2020년10월_여_총인구수,"766,157","143,000","178,186","107,406","44,679","21,184","41,651","32,336","33,555","22,667","18,710","20,384","17,747","21,488","11,394","10,483","14,569","12,969","13,749"
2020년10월_여_연령구간인구수,"766,157","143,000","178,186","107,406","44,679","21,184","41,651","32,336","33,555","22,667","18,710","20,384","17,747","21,488","11,394","10,483","14,569","12,969","13,749"
2020년10월_여_0~9세,"51,906","10,608","13,926","6,580","3,253","1,271","2,904","1,894","1,893","1,037",794,961,841,"1,662",903,854,"1,229",633,663
2020년10월_여_10~19세,"66,370","12,982","17,350","9,088","4,226","1,843","3,626","2,521","2,519","1,728","1,359","1,384","1,243","1,836",893,"1,036","1,109",747,880
2020년10월_여_20~29세,"78,715","17,371","21,254","11,353","3,868","1,580","3,923","3,247","2,721","1,662","1,402","1,431","1,229","2,047","1,185","1,032","1,371","1,056",983
2020년10월_여_30~39세,"79,050","16,828","22,218","10,298","4,343","1,819","4,266","2,657","2,781","1,630","1,259","1,431","1,369","2,112","1,188","1,148","1,660",959,"1,084"
2020년10월_여_40~49세,"109,468","21,472","29,129","15,864","7,052","3,023","6,316","4,030","3,847","2,287","2,104","2,445","2,090","2,653","1,256","1,168","1,768","1,347","1,617"
2020년10월_여_50~59세,"130,510","23,499","30,199","18,340","7,552","3,459","7,687","5,303","6,064","4,138","3,295","3,790","3,181","3,400","1,826","1,662","2,496","2,248","2,371"
2020년10월_여_60~69세,"119,938","19,464","22,742","17,381","7,116","3,882","6,504","5,532","6,554","4,831","3,837","4,223","3,546","3,403","1,743","1,563","2,358","2,505","2,754"
2020년10월_여_70~79세,"74,948","11,835","12,081","10,841","4,434","2,715","3,824","4,042","3,867","2,911","2,663","2,690","2,504","2,643","1,358","1,151","1,413","2,004","1,972"
2020년10월_여_80~89세,"46,014","7,433","7,813","6,277","2,396","1,343","2,096","2,603","2,819","2,025","1,702","1,709","1,437","1,418",871,750,968,"1,197","1,157"
2020년10월_여_90~99세,"8,648","1,439","1,390","1,303",418,211,486,469,455,396,259,289,277,281,163,111,188,260,253
2020년10월_여_100세 이상,590,69,84,81,21,38,19,38,35,22,36,31,30,33,8,8,9,13,15
