카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년08월_계_총인구수,"89,675","10,913","15,876","5,411","33,830","3,111","6,272","4,561","1,933","4,871","2,897"
2021년08월_계_연령구간인구수,"89,675","10,913","15,876","5,411","33,830","3,111","6,272","4,561","1,933","4,871","2,897"
2021년08월_계_0~9세,"8,143",734,"2,445",157,"4,243",47,187,100,48,112,70
2021년08월_계_10~19세,"9,530","1,109","1,644",296,"5,301",125,396,188,85,220,166
2021년08월_계_20~29세,"9,309","1,324","1,117",487,"4,416",238,717,317,132,342,219
2021년08월_계_30~39세,"10,925",978,"2,726",316,"5,612",150,413,239,115,227,149
2021년08월_계_40~49세,"14,234","1,546","2,604",566,"7,297",257,668,388,195,455,258
2021년08월_계_50~59세,"13,198","1,905","1,797","1,094","4,148",587,"1,097",850,328,822,570
2021년08월_계_60~69세,"11,430","1,642","1,617","1,222","1,791",632,"1,269","1,033",466,"1,093",665
2021년08월_계_70~79세,"7,844","1,093","1,162",765,711,565,892,860,359,937,500
2021년08월_계_80~89세,"4,422",526,671,428,271,449,535,517,165,590,270
2021년08월_계_90~99세,614,56,91,77,39,59,88,68,37,70,29
2021년08월_계_100세 이상,26,0,2,3,1,2,10,1,3,3,1
2021년08월_남_총인구수,"45,064","5,455","7,931","2,855","16,747","1,551","3,242","2,321","1,007","2,470","1,485"
2021년08월_남_연령구간인구수,"45,064","5,455","7,931","2,855","16,747","1,551","3,242","2,321","1,007","2,470","1,485"
2021년08월_남_0~9세,"4,170",382,"1,266",74,"2,160",18,102,52,28,59,29
2021년08월_남_10~19세,"4,845",585,807,143,"2,704",71,199,83,45,126,82
2021년08월_남_20~29세,"5,003",740,605,276,"2,217",144,417,184,77,225,118
2021년08월_남_30~39세,"5,536",522,"1,305",182,"2,726",100,247,149,72,133,100
2021년08월_남_40~49세,"7,479",781,"1,426",344,"3,528",165,394,266,128,288,159
2021년08월_남_50~59세,"7,249","1,014",991,634,"2,151",340,624,514,184,464,333
2021년08월_남_60~69세,"5,767",790,789,678,855,329,666,519,242,549,350
2021년08월_남_70~79세,"3,566",467,529,379,320,251,412,388,167,428,225
2021년08월_남_80~89세,"1,345",166,197,137,78,121,165,154,58,189,80
2021년08월_남_90~99세,101,8,16,8,7,11,16,12,6,9,8
2021년08월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년08월_여_총인구수,"44,611","5,458","7,945","2,556","17,083","1,560","3,030","2,240",926,"2,401","1,412"
2021년08월_여_연령구간인구수,"44,611","5,458","7,945","2,556","17,083","1,560","3,030","2,240",926,"2,401","1,412"
2021년08월_여_0~9세,"3,973",352,"1,179",83,"2,083",29,85,48,20,53,41
2021년08월_여_10~19세,"4,685",524,837,153,"2,597",54,197,105,40,94,84
2021년08월_여_20~29세,"4,306",584,512,211,"2,199",94,300,133,55,117,101
2021년08월_여_30~39세,"5,389",456,"1,421",134,"2,886",50,166,90,43,94,49
2021년08월_여_40~49세,"6,755",765,"1,178",222,"3,769",92,274,122,67,167,99
2021년08월_여_50~59세,"5,949",891,806,460,"1,997",247,473,336,144,358,237
2021년08월_여_60~69세,"5,663",852,828,544,936,303,603,514,224,544,315
2021년08월_여_70~79세,"4,278",626,633,386,391,314,480,472,192,509,275
2021년08월_여_80~89세,"3,077",360,474,291,193,328,370,363,107,401,190
2021년08월_여_90~99세,513,48,75,69,32,48,72,56,31,61,21
2021년08월_여_100세 이상,23,0,2,3,0,1,10,1,3,3,0
