,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년08월_계_총인구수,"42,480","7,257","1,115","10,317","1,625","2,139","3,971","2,227","4,540","2,129","3,349","3,811"
2020년08월_계_연령구간인구수,"42,480","7,257","1,115","10,317","1,625","2,139","3,971","2,227","4,540","2,129","3,349","3,811"
2020년08월_계_0~9세,"1,550",472,49,464,36,52,132,62,128,35,56,64
2020년08월_계_10~19세,"2,303",682,21,705,56,74,174,63,266,47,106,109
2020년08월_계_20~29세,"2,888",600,56,885,88,119,221,136,278,129,182,194
2020년08월_계_30~39세,"2,887",676,96,858,94,108,263,108,263,102,144,175
2020년08월_계_40~49세,"4,475","1,025",97,"1,347",135,164,351,153,461,192,263,287
2020년08월_계_50~59세,"7,458","1,235",169,"1,791",277,343,716,441,780,440,599,667
2020년08월_계_60~69세,"9,497","1,250",268,"2,074",440,530,934,573,"1,057",522,845,"1,004"
2020년08월_계_70~79세,"6,589",772,193,"1,318",306,429,648,403,751,355,665,749
2020년08월_계_80~89세,"4,222",464,148,778,168,272,471,258,471,271,419,502
2020년08월_계_90~99세,592,76,16,94,25,48,58,30,83,36,66,60
2020년08월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년08월_남_총인구수,"20,863","3,540",559,"5,064",792,"1,014","1,947","1,095","2,202","1,041","1,692","1,917"
2020년08월_남_연령구간인구수,"20,863","3,540",559,"5,064",792,"1,014","1,947","1,095","2,202","1,041","1,692","1,917"
2020년08월_남_0~9세,795,246,25,228,11,31,65,34,67,23,34,31
2020년08월_남_10~19세,"1,179",341,16,352,38,34,79,23,142,33,63,58
2020년08월_남_20~29세,"1,725",346,33,516,56,74,139,87,160,70,113,131
2020년08월_남_30~39세,"1,532",330,52,454,55,64,146,58,123,55,82,113
2020년08월_남_40~49세,"2,510",537,67,735,85,92,212,77,255,95,168,187
2020년08월_남_50~59세,"3,928",621,87,932,146,180,377,226,411,244,346,358
2020년08월_남_60~69세,"4,760",623,130,"1,025",203,263,464,312,508,290,432,510
2020년08월_남_70~79세,"2,982",335,85,570,141,187,295,179,379,141,316,354
2020년08월_남_80~89세,"1,329",141,61,235,54,78,150,97,143,81,127,162
2020년08월_남_90~99세,122,20,2,17,3,11,20,2,14,9,11,13
2020년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"21,617","3,717",556,"5,253",833,"1,125","2,024","1,132","2,338","1,088","1,657","1,894"
2020년08월_여_연령구간인구수,"21,617","3,717",556,"5,253",833,"1,125","2,024","1,132","2,338","1,088","1,657","1,894"
2020년08월_여_0~9세,755,226,24,236,25,21,67,28,61,12,22,33
2020년08월_여_10~19세,"1,124",341,5,353,18,40,95,40,124,14,43,51
2020년08월_여_20~29세,"1,163",254,23,369,32,45,82,49,118,59,69,63
2020년08월_여_30~39세,"1,355",346,44,404,39,44,117,50,140,47,62,62
2020년08월_여_40~49세,"1,965",488,30,612,50,72,139,76,206,97,95,100
2020년08월_여_50~59세,"3,530",614,82,859,131,163,339,215,369,196,253,309
2020년08월_여_60~69세,"4,737",627,138,"1,049",237,267,470,261,549,232,413,494
2020년08월_여_70~79세,"3,607",437,108,748,165,242,353,224,372,214,349,395
2020년08월_여_80~89세,"2,893",323,87,543,114,194,321,161,328,190,292,340
2020년08월_여_90~99세,470,56,14,77,22,37,38,28,69,27,55,47
2020년08월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
