,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년03월_계_총인구수,"51,035","24,310","1,755","1,857","2,722","1,592","1,668",855,"1,437","1,119","1,021","3,590","1,738","3,067","4,304"
2021년03월_계_연령구간인구수,"51,035","24,310","1,755","1,857","2,722","1,592","1,668",855,"1,437","1,119","1,021","3,590","1,738","3,067","4,304"
2021년03월_계_0~9세,"2,495","1,806",41,25,100,24,35,14,40,24,27,142,19,63,135
2021년03월_계_10~19세,"4,159","2,682",80,113,177,65,63,24,54,72,34,308,53,149,285
2021년03월_계_20~29세,"3,838","2,247",84,87,233,76,78,44,101,60,50,255,79,169,275
2021년03월_계_30~39세,"3,719","2,309",87,87,190,62,73,33,74,41,40,226,64,152,281
2021년03월_계_40~49세,"6,239","3,698",167,143,293,132,124,47,123,74,65,396,164,276,537
2021년03월_계_50~59세,"9,010","4,291",292,290,481,276,293,116,259,178,178,629,342,573,812
2021년03월_계_60~69세,"9,881","3,812",457,455,592,373,410,207,323,273,247,797,401,713,821
2021년03월_계_70~79세,"6,769","2,208",322,387,373,314,302,202,228,184,202,504,339,565,639
2021년03월_계_80~89세,"4,258","1,105",195,233,240,231,235,147,198,179,147,292,240,354,462
2021년03월_계_90~99세,653,149,29,37,42,38,55,21,36,33,29,41,36,52,55
2021년03월_계_100세 이상,14,3,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년03월_남_총인구수,"25,621","12,215",901,907,"1,419",786,850,380,703,548,514,"1,745",872,"1,581","2,200"
2021년03월_남_연령구간인구수,"25,621","12,215",901,907,"1,419",786,850,380,703,548,514,"1,745",872,"1,581","2,200"
2021년03월_남_0~9세,"1,260",934,20,12,46,13,16,9,13,12,13,66,8,31,67
2021년03월_남_10~19세,"2,276","1,481",48,64,92,36,38,12,29,37,16,154,28,85,156
2021년03월_남_20~29세,"2,255","1,299",54,55,150,49,41,23,66,36,35,134,49,94,170
2021년03월_남_30~39세,"2,050","1,199",59,50,117,32,51,17,46,25,27,112,42,104,169
2021년03월_남_40~49세,"3,472","1,935",98,94,175,82,72,25,80,48,39,208,96,191,329
2021년03월_남_50~59세,"4,918","2,234",170,165,263,142,173,62,145,100,109,329,205,337,484
2021년03월_남_60~69세,"4,949","1,824",241,207,310,205,224,100,169,139,141,411,217,364,397
2021년03월_남_70~79세,"3,002",942,147,176,174,141,148,88,96,87,82,233,147,266,275
2021년03월_남_80~89세,"1,319",340,59,74,83,78,70,42,56,57,44,93,76,102,145
2021년03월_남_90~99세,119,27,5,10,9,8,17,2,3,7,7,5,4,7,8
2021년03월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년03월_여_총인구수,"25,414","12,095",854,950,"1,303",806,818,475,734,571,507,"1,845",866,"1,486","2,104"
2021년03월_여_연령구간인구수,"25,414","12,095",854,950,"1,303",806,818,475,734,571,507,"1,845",866,"1,486","2,104"
2021년03월_여_0~9세,"1,235",872,21,13,54,11,19,5,27,12,14,76,11,32,68
2021년03월_여_10~19세,"1,883","1,201",32,49,85,29,25,12,25,35,18,154,25,64,129
2021년03월_여_20~29세,"1,583",948,30,32,83,27,37,21,35,24,15,121,30,75,105
2021년03월_여_30~39세,"1,669","1,110",28,37,73,30,22,16,28,16,13,114,22,48,112
2021년03월_여_40~49세,"2,767","1,763",69,49,118,50,52,22,43,26,26,188,68,85,208
2021년03월_여_50~59세,"4,092","2,057",122,125,218,134,120,54,114,78,69,300,137,236,328
2021년03월_여_60~69세,"4,932","1,988",216,248,282,168,186,107,154,134,106,386,184,349,424
2021년03월_여_70~79세,"3,767","1,266",175,211,199,173,154,114,132,97,120,271,192,299,364
2021년03월_여_80~89세,"2,939",765,136,159,157,153,165,105,142,122,103,199,164,252,317
2021년03월_여_90~99세,534,122,24,27,33,30,38,19,33,26,22,36,32,45,47
2021년03월_여_100세 이상,13,3,1,0,1,1,0,0,1,1,1,0,1,1,2
