카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년05월_계_총인구수,"1,127,175","214,775","317,184","155,284","218,303","221,629"
2021년05월_계_연령구간인구수,"1,127,175","214,775","317,184","155,284","218,303","221,629"
2021년05월_계_0~9세,"95,327","16,013","23,208","14,278","24,616","17,212"
2021년05월_계_10~19세,"110,728","19,724","29,747","15,579","23,533","22,145"
2021년05월_계_20~29세,"141,607","25,984","44,852","17,418","27,159","26,194"
2021년05월_계_30~39세,"148,396","25,748","41,663","22,159","33,526","25,300"
2021년05월_계_40~49세,"185,524","33,627","50,634","26,009","38,670","36,584"
2021년05월_계_50~59세,"207,212","40,571","61,126","25,126","38,543","41,846"
2021년05월_계_60~69세,"150,619","32,719","42,704","23,305","21,086","30,805"
2021년05월_계_70~79세,"61,261","14,474","16,767","8,490","7,611","13,919"
2021년05월_계_80~89세,"23,300","5,276","5,789","2,554","3,088","6,593"
2021년05월_계_90~99세,"3,116",624,674,357,453,"1,008"
2021년05월_계_100세 이상,85,15,20,9,18,23
2021년05월_남_총인구수,"579,316","108,746","161,841","81,102","113,119","114,508"
2021년05월_남_연령구간인구수,"579,316","108,746","161,841","81,102","113,119","114,508"
2021년05월_남_0~9세,"48,966","8,250","11,919","7,288","12,653","8,856"
2021년05월_남_10~19세,"58,274","10,528","15,758","8,250","12,221","11,517"
2021년05월_남_20~29세,"79,729","14,482","24,984","9,773","15,554","14,936"
2021년05월_남_30~39세,"78,935","13,520","22,307","12,189","17,417","13,502"
2021년05월_남_40~49세,"94,749","17,206","24,833","14,153","19,854","18,703"
2021년05월_남_50~59세,"105,313","20,185","30,672","12,572","19,759","22,125"
2021년05월_남_60~69세,"75,837","15,936","21,213","11,622","11,093","15,973"
2021년05월_남_70~79세,"29,164","6,673","8,010","4,340","3,562","6,579"
2021년05월_남_80~89세,"7,823","1,869","2,024",862,934,"2,134"
2021년05월_남_90~99세,515,95,120,51,68,181
2021년05월_남_100세 이상,11,2,1,2,4,2
2021년05월_여_총인구수,"547,859","106,029","155,343","74,182","105,184","107,121"
2021년05월_여_연령구간인구수,"547,859","106,029","155,343","74,182","105,184","107,121"
2021년05월_여_0~9세,"46,361","7,763","11,289","6,990","11,963","8,356"
2021년05월_여_10~19세,"52,454","9,196","13,989","7,329","11,312","10,628"
2021년05월_여_20~29세,"61,878","11,502","19,868","7,645","11,605","11,258"
2021년05월_여_30~39세,"69,461","12,228","19,356","9,970","16,109","11,798"
2021년05월_여_40~49세,"90,775","16,421","25,801","11,856","18,816","17,881"
2021년05월_여_50~59세,"101,899","20,386","30,454","12,554","18,784","19,721"
2021년05월_여_60~69세,"74,782","16,783","21,491","11,683","9,993","14,832"
2021년05월_여_70~79세,"32,097","7,801","8,757","4,150","4,049","7,340"
2021년05월_여_80~89세,"15,477","3,407","3,765","1,692","2,154","4,459"
2021년05월_여_90~99세,"2,601",529,554,306,385,827
2021년05월_여_100세 이상,74,13,19,7,14,21
