카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년01월_계_총인구수,"104,985","10,763","2,485","1,453","2,015","2,257","3,089","2,849","2,087","1,964","3,184","8,128","6,289","4,239","3,684","6,736","8,381","8,264","19,064","8,054"
2020년01월_계_연령구간인구수,"104,985","10,763","2,485","1,453","2,015","2,257","3,089","2,849","2,087","1,964","3,184","8,128","6,289","4,239","3,684","6,736","8,381","8,264","19,064","8,054"
2020년01월_계_0~9세,"6,555",511,68,28,64,63,79,86,44,40,58,537,366,176,202,497,460,514,"2,192",570
2020년01월_계_10~19세,"9,347",739,117,61,101,127,135,140,94,76,138,"1,027",652,327,278,889,641,776,"2,149",880
2020년01월_계_20~29세,"10,057",975,233,79,158,160,232,189,144,135,149,805,625,343,325,725,"1,000","1,011","1,955",814
2020년01월_계_30~39세,"9,117",762,128,59,104,116,173,140,102,83,157,631,474,333,291,599,722,711,"2,703",829
2020년01월_계_40~49세,"14,365","1,299",214,106,199,209,264,283,153,166,227,"1,370",910,504,450,"1,157","1,091","1,118","3,357","1,288"
2020년01월_계_50~59세,"18,406","1,944",503,260,326,395,546,547,419,359,641,"1,363","1,121",740,658,"1,170","1,655","1,646","2,717","1,396"
2020년01월_계_60~69세,"17,742","2,211",533,337,430,481,699,701,521,459,813,"1,124","1,025",858,712,853,"1,426","1,285","2,120","1,154"
2020년01월_계_70~79세,"11,778","1,417",355,286,327,397,527,456,352,340,580,808,711,603,506,550,898,786,"1,202",677
2020년01월_계_80~89세,"6,613",765,296,204,250,253,382,260,212,272,371,380,363,312,233,262,443,363,599,393
2020년01월_계_90~99세,953,130,35,32,52,54,51,40,46,33,47,80,38,40,29,32,44,52,68,50
2020년01월_계_100세 이상,52,10,3,1,4,2,1,7,0,1,3,3,4,3,0,2,1,2,2,3
2020년01월_남_총인구수,"52,016","5,294","1,278",734,"1,014","1,147","1,561","1,457","1,044",970,"1,581","4,025","3,003","2,053","1,758","3,389","4,138","4,125","9,549","3,896"
2020년01월_남_연령구간인구수,"52,016","5,294","1,278",734,"1,014","1,147","1,561","1,457","1,044",970,"1,581","4,025","3,003","2,053","1,758","3,389","4,138","4,125","9,549","3,896"
2020년01월_남_0~9세,"3,404",275,37,16,34,29,45,45,25,21,32,278,189,99,112,256,210,264,"1,140",297
2020년01월_남_10~19세,"4,881",373,51,32,55,72,72,73,47,43,76,539,328,151,151,479,358,419,"1,113",449
2020년01월_남_20~29세,"5,867",607,150,49,94,102,141,117,95,85,78,478,355,206,178,446,571,585,"1,084",446
2020년01월_남_30~39세,"4,857",397,77,31,64,75,108,79,59,58,95,321,255,188,147,300,383,387,"1,398",435
2020년01월_남_40~49세,"7,440",700,120,75,125,120,168,179,86,96,140,671,437,259,226,565,562,543,"1,731",637
2020년01월_남_50~59세,"9,333",939,285,150,175,211,282,290,220,187,341,702,575,398,315,603,793,827,"1,371",669
2020년01월_남_60~69세,"8,522","1,095",277,166,232,253,362,353,272,242,408,540,448,385,318,383,645,602,991,550
2020년01월_남_70~79세,"5,198",616,167,136,151,179,244,225,151,144,272,349,283,248,220,255,428,352,497,281
2020년01월_남_80~89세,"2,290",260,104,70,76,92,133,83,79,86,132,137,125,106,85,91,173,130,207,121
2020년01월_남_90~99세,212,29,9,9,8,14,6,11,10,7,6,10,7,13,6,10,14,16,16,11
2020년01월_남_100세 이상,12,3,1,0,0,0,0,2,0,1,1,0,1,0,0,1,1,0,1,0
2020년01월_여_총인구수,"52,969","5,469","1,207",719,"1,001","1,110","1,528","1,392","1,043",994,"1,603","4,103","3,286","2,186","1,926","3,347","4,243","4,139","9,515","4,158"
2020년01월_여_연령구간인구수,"52,969","5,469","1,207",719,"1,001","1,110","1,528","1,392","1,043",994,"1,603","4,103","3,286","2,186","1,926","3,347","4,243","4,139","9,515","4,158"
2020년01월_여_0~9세,"3,151",236,31,12,30,34,34,41,19,19,26,259,177,77,90,241,250,250,"1,052",273
2020년01월_여_10~19세,"4,466",366,66,29,46,55,63,67,47,33,62,488,324,176,127,410,283,357,"1,036",431
2020년01월_여_20~29세,"4,190",368,83,30,64,58,91,72,49,50,71,327,270,137,147,279,429,426,871,368
2020년01월_여_30~39세,"4,260",365,51,28,40,41,65,61,43,25,62,310,219,145,144,299,339,324,"1,305",394
2020년01월_여_40~49세,"6,925",599,94,31,74,89,96,104,67,70,87,699,473,245,224,592,529,575,"1,626",651
2020년01월_여_50~59세,"9,073","1,005",218,110,151,184,264,257,199,172,300,661,546,342,343,567,862,819,"1,346",727
2020년01월_여_60~69세,"9,220","1,116",256,171,198,228,337,348,249,217,405,584,577,473,394,470,781,683,"1,129",604
2020년01월_여_70~79세,"6,580",801,188,150,176,218,283,231,201,196,308,459,428,355,286,295,470,434,705,396
2020년01월_여_80~89세,"4,323",505,192,134,174,161,249,177,133,186,239,243,238,206,148,171,270,233,392,272
2020년01월_여_90~99세,741,101,26,23,44,40,45,29,36,26,41,70,31,27,23,22,30,36,52,39
2020년01월_여_100세 이상,40,7,2,1,4,2,1,5,0,0,2,3,3,3,0,1,0,2,1,3
