,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년07월_계_총인구수,"657,584","255,891","24,274","4,107","4,295","4,357","3,125","2,272","6,088","2,092","5,386","4,306","8,645","9,250","18,090","23,197","44,576","55,232","36,599","401,693","23,943","21,645","19,940","8,483","16,996","25,791","13,825","37,529","18,853","40,497","70,150","46,872","57,169"
2021년07월_계_연령구간인구수,"657,584","255,891","24,274","4,107","4,295","4,357","3,125","2,272","6,088","2,092","5,386","4,306","8,645","9,250","18,090","23,197","44,576","55,232","36,599","401,693","23,943","21,645","19,940","8,483","16,996","25,791","13,825","37,529","18,853","40,497","70,150","46,872","57,169"
2021년07월_계_0~9세,"60,203","19,496","1,606",125,106,124,73,49,235,24,176,163,404,270,"1,064","2,054","4,453","5,788","2,782","40,707","1,120","1,731","1,377",282,841,943,825,"3,263","1,347","5,472","10,342","3,959","9,205"
2021년07월_계_10~19세,"67,794","25,744","2,613",224,189,222,156,85,367,69,275,219,656,649,"1,407","3,170","5,774","6,969","2,700","42,050","2,183","2,325","1,867",526,"1,096","1,264","1,198","4,862","2,335","5,652","9,512","4,103","5,127"
2021년07월_계_20~29세,"95,636","34,830","2,864",377,351,396,229,171,737,135,545,647,"1,049","1,138","2,860","2,709","6,129","6,920","7,573","60,806","2,791","2,566","2,476",886,"2,515","6,479","2,398","5,936","2,642","5,094","8,763","10,205","8,055"
2021년07월_계_30~39세,"103,008","32,155","2,437",316,285,333,180,171,544,89,498,562,834,840,"2,485","2,464","6,586","8,024","5,507","70,853","2,047","2,709","2,666",697,"2,429","5,621","1,842","4,944","2,259","6,654","14,208","9,355","15,422"
2021년07월_계_40~49세,"111,664","42,122","4,368",445,427,512,315,234,733,169,646,567,"1,189","1,313","2,898","4,322","8,889","10,106","4,989","69,542","3,624","4,083","3,653","1,047","2,533","3,810","1,878","6,585","3,098","7,884","14,226","7,497","9,624"
2021년07월_계_50~59세,"102,911","43,229","4,507",739,839,833,586,414,"1,149",408,"1,022",743,"1,716","1,787","3,228","4,006","6,929","8,454","5,869","59,682","4,216","3,709","3,540","1,754","3,212","3,583","2,461","6,663","3,526","5,642","8,829","6,713","5,834"
2021년07월_계_60~69세,"68,035","33,179","3,197",964,"1,079","1,020",785,532,"1,191",542,"1,196",808,"1,530","1,680","2,540","2,581","3,604","5,503","4,427","34,856","4,034","2,620","2,477","1,702","2,553","2,580","2,042","3,396","2,130","2,720","2,906","3,077","2,619"
2021년07월_계_70~79세,"30,409","15,619","1,603",531,564,502,454,338,642,350,664,389,816,990,"1,081","1,234","1,378","2,245","1,838","14,790","2,458","1,188","1,152",946,"1,256","1,004",769,"1,225",921,904,859,"1,279",829
2021년07월_계_80~89세,"15,593","8,261",946,333,381,347,291,251,418,259,327,178,389,528,460,577,727,"1,045",804,"7,332","1,308",635,656,548,491,427,353,578,508,410,423,602,393
2021년07월_계_90~99세,"2,245","1,207",130,53,72,67,52,26,70,43,35,29,58,54,64,77,104,169,104,"1,038",156,76,73,94,64,77,58,76,86,61,77,80,60
2021년07월_계_100세 이상,86,49,3,0,2,1,4,1,2,4,2,1,4,1,3,3,3,9,6,37,6,3,3,1,6,3,1,1,1,4,5,2,1
2021년07월_남_총인구수,"335,996","129,756","12,432","2,257","2,173","2,272","1,637","1,245","3,244","1,122","2,823","2,255","4,480","4,785","9,276","11,562","22,752","27,593","17,848","206,240","12,498","11,346","10,872","4,571","8,965","13,882","6,783","18,442","9,080","20,351","35,165","24,161","30,124"
2021년07월_남_연령구간인구수,"335,996","129,756","12,432","2,257","2,173","2,272","1,637","1,245","3,244","1,122","2,823","2,255","4,480","4,785","9,276","11,562","22,752","27,593","17,848","206,240","12,498","11,346","10,872","4,571","8,965","13,882","6,783","18,442","9,080","20,351","35,165","24,161","30,124"
2021년07월_남_0~9세,"30,842","10,046",823,73,51,67,34,25,119,12,85,90,224,133,552,"1,036","2,331","2,978","1,413","20,796",591,860,742,145,456,482,437,"1,634",661,"2,778","5,302","2,031","4,677"
2021년07월_남_10~19세,"35,041","13,397","1,373",119,105,117,77,47,196,45,150,116,372,350,758,"1,630","3,028","3,572","1,342","21,644","1,141","1,182",987,279,542,638,589,"2,547","1,260","2,917","4,828","2,087","2,647"
2021년07월_남_20~29세,"50,357","18,472","1,595",247,206,244,136,113,490,80,283,331,606,663,"1,471","1,455","3,350","3,612","3,590","31,885","1,606","1,447","1,499",544,"1,348","3,283","1,230","3,110","1,377","2,677","4,412","5,134","4,218"
2021년07월_남_30~39세,"54,822","16,929","1,278",193,147,197,116,112,331,54,301,321,464,506,"1,397","1,163","3,487","4,022","2,840","37,893","1,152","1,453","1,592",448,"1,424","3,433",997,"2,481","1,110","3,219","6,936","5,283","8,365"
2021년07월_남_40~49세,"57,953","21,777","2,281",277,240,275,195,163,431,119,359,325,638,705,"1,507","2,162","4,511","5,028","2,561","36,176","2,013","2,217","2,094",624,"1,417","2,179",933,"3,063","1,451","3,982","7,001","3,859","5,343"
