,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년04월_계_총인구수,"343,568","7,940","11,191","8,958","13,483","6,674","13,524","12,722","7,733","14,421","15,152","4,268","26,951","10,324","16,239","18,692","15,537","44,277","10,334","69,672","15,476"
2020년04월_계_연령구간인구수,"343,568","7,940","11,191","8,958","13,483","6,674","13,524","12,722","7,733","14,421","15,152","4,268","26,951","10,324","16,239","18,692","15,537","44,277","10,334","69,672","15,476"
2020년04월_계_0~9세,"26,205",297,"1,119",728,489,238,901,991,182,565,814,207,"2,761",421,907,978,820,"4,089",573,"8,425",700
2020년04월_계_10~19세,"27,296",485,877,588,752,429,969,"1,067",382,924,"1,084",280,"2,757",615,987,"1,409",976,"3,774",618,"7,165","1,158"
2020년04월_계_20~29세,"41,935",880,"1,068","1,009","1,917",824,"1,530","1,689","1,324","1,857","1,940",629,"2,985","1,366","2,180","2,458","1,940","5,426","1,302","8,055","1,556"
2020년04월_계_30~39세,"45,002",731,"1,573","1,305","1,561",587,"1,634","1,684","1,086","1,480","1,735",474,"3,637","1,032","1,999","1,870","1,713","6,071","1,185","12,321","1,324"
2020년04월_계_40~49세,"51,790","1,015","1,934","1,219","1,839",885,"1,994","1,963","1,036","1,791","2,175",529,"4,659","1,277","2,097","2,417","2,015","6,992","1,330","12,473","2,150"
2020년04월_계_50~59세,"57,627","1,421","1,610","1,438","2,685","1,271","2,228","2,226","1,356","2,681","2,605",752,"4,273","2,118","3,100","3,667","2,910","7,185","2,046","9,168","2,887"
2020년04월_계_60~69세,"49,906","1,448","1,476","1,394","2,328","1,248","2,068","1,607","1,264","2,619","2,556",701,"3,390","1,926","2,706","3,147","2,730","6,006","1,758","6,787","2,747"
2020년04월_계_70~79세,"29,735","1,092","1,032",840,"1,355",805,"1,468",972,741,"1,717","1,506",461,"1,714","1,092","1,555","1,830","1,677","3,165","1,073","3,720","1,920"
2020년04월_계_80~89세,"12,497",507,437,382,487,354,657,460,322,703,645,218,684,428,632,824,673,"1,386",395,"1,379",924
2020년04월_계_90~99세,"1,452",59,55,52,60,29,68,54,36,74,83,17,87,44,74,86,81,176,48,166,103
2020년04월_계_100세 이상,123,5,10,3,10,4,7,9,4,10,9,0,4,5,2,6,2,7,6,13,7
2020년04월_남_총인구수,"169,428","3,955","5,317","4,390","6,822","3,197","6,527","6,301","3,884","7,151","7,307","2,282","13,267","5,115","8,162","9,043","7,840","21,665","5,247","34,347","7,609"
2020년04월_남_연령구간인구수,"169,428","3,955","5,317","4,390","6,822","3,197","6,527","6,301","3,884","7,151","7,307","2,282","13,267","5,115","8,162","9,043","7,840","21,665","5,247","34,347","7,609"
2020년04월_남_0~9세,"13,407",156,555,378,246,119,465,517,100,319,402,99,"1,385",205,473,488,437,"2,117",288,"4,295",363
2020년04월_남_10~19세,"14,319",276,478,307,399,241,536,606,217,491,541,154,"1,416",307,524,735,528,"1,986",330,"3,632",615
2020년04월_남_20~29세,"22,455",490,577,500,"1,005",474,851,923,629,"1,008","1,035",411,"1,639",735,"1,209","1,348","1,037","2,875",729,"4,106",874
2020년04월_남_30~39세,"23,646",433,755,716,877,312,861,847,631,849,934,286,"1,764",604,"1,110","1,000",976,"3,082",660,"6,252",697
2020년04월_남_40~49세,"26,693",553,"1,009",616,"1,040",448,"1,006",951,573,935,"1,099",302,"2,366",698,"1,122","1,209","1,103","3,568",730,"6,287","1,078"
2020년04월_남_50~59세,"27,941",732,738,695,"1,363",580,"1,038","1,099",704,"1,315","1,247",394,"2,069","1,017","1,481","1,692","1,471","3,436","1,002","4,440","1,428"
2020년04월_남_60~69세,"23,193",666,634,655,"1,105",554,908,771,555,"1,183","1,148",350,"1,602",913,"1,316","1,446","1,302","2,809",826,"3,141","1,309"
2020년04월_남_70~79세,"12,976",457,401,368,584,342,602,401,340,762,647,200,772,473,686,804,731,"1,358",490,"1,666",892
2020년04월_남_80~89세,"4,441",182,155,148,181,120,241,167,124,268,228,83,237,154,226,299,235,401,178,480,334
2020년04월_남_90~99세,324,10,12,7,18,5,17,15,10,19,24,3,17,8,15,21,19,31,12,44,17
2020년04월_남_100세 이상,33,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,2,2,4,2
2020년04월_여_총인구수,"174,140","3,985","5,874","4,568","6,661","3,477","6,997","6,421","3,849","7,270","7,845","1,986","13,684","5,209","8,077","9,649","7,697","22,612","5,087","35,325","7,867"
2020년04월_여_연령구간인구수,"174,140","3,985","5,874","4,568","6,661","3,477","6,997","6,421","3,849","7,270","7,845","1,986","13,684","5,209","8,077","9,649","7,697","22,612","5,087","35,325","7,867"
2020년04월_여_0~9세,"12,798",141,564,350,243,119,436,474,82,246,412,108,"1,376",216,434,490,383,"1,972",285,"4,130",337
2020년04월_여_10~19세,"12,977",209,399,281,353,188,433,461,165,433,543,126,"1,341",308,463,674,448,"1,788",288,"3,533",543
2020년04월_여_20~29세,"19,480",390,491,509,912,350,679,766,695,849,905,218,"1,346",631,971,"1,110",903,"2,551",573,"3,949",682
2020년04월_여_30~39세,"21,356",298,818,589,684,275,773,837,455,631,801,188,"1,873",428,889,870,737,"2,989",525,"6,069",627
2020년04월_여_40~49세,"25,097",462,925,603,799,437,988,"1,012",463,856,"1,076",227,"2,293",579,975,"1,208",912,"3,424",600,"6,186","1,072"
2020년04월_여_50~59세,"29,686",689,872,743,"1,322",691,"1,190","1,127",652,"1,366","1,358",358,"2,204","1,101","1,619","1,975","1,439","3,749","1,044","4,728","1,459"
2020년04월_여_60~69세,"26,713",782,842,739,"1,223",694,"1,160",836,709,"1,436","1,408",351,"1,788","1,013","1,390","1,701","1,428","3,197",932,"3,646","1,438"
2020년04월_여_70~79세,"16,759",635,631,472,771,463,866,571,401,955,859,261,942,619,869,"1,026",946,"1,807",583,"2,054","1,028"
2020년04월_여_80~89세,"8,056",325,282,234,306,234,416,293,198,435,417,135,447,274,406,525,438,985,217,899,590
2020년04월_여_90~99세,"1,128",49,43,45,42,24,51,39,26,55,59,14,70,36,59,65,62,145,36,122,86
2020년04월_여_100세 이상,90,5,7,3,6,2,5,5,3,8,7,0,4,4,2,5,1,5,4,9,5
