,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년08월_계_총인구수,"30,863","9,926","2,173","2,265","3,555","1,528","1,932","2,367","2,764","2,219","2,134"
2020년08월_계_연령구간인구수,"30,863","9,926","2,173","2,265","3,555","1,528","1,932","2,367","2,764","2,219","2,134"
2020년08월_계_0~9세,"1,303",675,52,79,144,33,51,81,85,56,47
2020년08월_계_10~19세,"2,019",931,97,85,271,83,111,120,99,114,108
2020년08월_계_20~29세,"2,630","1,242",151,156,319,95,118,129,177,123,120
2020년08월_계_30~39세,"2,095",915,110,121,267,71,100,117,146,124,124
2020년08월_계_40~49세,"3,164","1,261",180,220,412,129,175,213,231,171,172
2020년08월_계_50~59세,"5,320","1,675",371,418,608,315,312,388,477,364,392
2020년08월_계_60~69세,"6,036","1,524",457,520,657,316,430,522,593,519,498
2020년08월_계_70~79세,"4,544",975,392,343,499,251,356,459,509,402,358
2020년08월_계_80~89세,"3,300",622,328,289,334,207,240,301,401,303,275
2020년08월_계_90~99세,433,100,35,33,42,28,36,34,46,42,37
2020년08월_계_100세 이상,19,6,0,1,2,0,3,3,0,1,3
2020년08월_남_총인구수,"15,623","4,975","1,085","1,191","1,839",795,994,"1,191","1,380","1,116","1,057"
2020년08월_남_연령구간인구수,"15,623","4,975","1,085","1,191","1,839",795,994,"1,191","1,380","1,116","1,057"
2020년08월_남_0~9세,661,342,27,36,75,21,24,42,44,26,24
2020년08월_남_10~19세,"1,066",466,57,52,147,45,61,60,57,58,63
2020년08월_남_20~29세,"1,507",710,84,94,195,53,71,61,99,72,68
2020년08월_남_30~39세,"1,206",476,70,78,158,43,63,75,90,77,76
2020년08월_남_40~49세,"1,843",659,101,140,231,82,117,147,144,111,111
2020년08월_남_50~59세,"2,902",884,203,241,331,176,179,218,267,193,210
2020년08월_남_60~69세,"3,096",742,245,280,345,177,225,262,306,260,254
2020년08월_남_70~79세,"2,042",449,179,154,219,114,164,199,223,190,151
2020년08월_남_80~89세,"1,177",221,109,105,119,76,79,118,142,115,93
2020년08월_남_90~99세,119,23,10,11,19,8,10,9,8,14,7
2020년08월_남_100세 이상,4,3,0,0,0,0,1,0,0,0,0
2020년08월_여_총인구수,"15,240","4,951","1,088","1,074","1,716",733,938,"1,176","1,384","1,103","1,077"
2020년08월_여_연령구간인구수,"15,240","4,951","1,088","1,074","1,716",733,938,"1,176","1,384","1,103","1,077"
2020년08월_여_0~9세,642,333,25,43,69,12,27,39,41,30,23
2020년08월_여_10~19세,953,465,40,33,124,38,50,60,42,56,45
2020년08월_여_20~29세,"1,123",532,67,62,124,42,47,68,78,51,52
2020년08월_여_30~39세,889,439,40,43,109,28,37,42,56,47,48
2020년08월_여_40~49세,"1,321",602,79,80,181,47,58,66,87,60,61
2020년08월_여_50~59세,"2,418",791,168,177,277,139,133,170,210,171,182
2020년08월_여_60~69세,"2,940",782,212,240,312,139,205,260,287,259,244
2020년08월_여_70~79세,"2,502",526,213,189,280,137,192,260,286,212,207
2020년08월_여_80~89세,"2,123",401,219,184,215,131,161,183,259,188,182
2020년08월_여_90~99세,314,77,25,22,23,20,26,25,38,28,30
2020년08월_여_100세 이상,15,3,0,1,2,0,2,3,0,1,3
