,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년08월_계_총인구수,"91,741","14,176","26,026","7,155","4,465","14,460","6,198","5,846","4,745","1,926","1,946","2,731","1,089",978
2020년08월_계_연령구간인구수,"91,741","14,176","26,026","7,155","4,465","14,460","6,198","5,846","4,745","1,926","1,946","2,731","1,089",978
2020년08월_계_0~9세,"7,152",727,"3,057",394,298,"1,732",246,198,241,66,54,76,39,24
2020년08월_계_10~19세,"8,318","1,201","3,334",531,400,"1,357",339,389,289,120,64,211,43,40
2020년08월_계_20~29세,"8,958","1,689","2,649",706,404,"1,431",562,560,389,126,102,212,82,46
2020년08월_계_30~39세,"9,626","1,212","3,506",603,366,"2,327",450,380,351,111,85,130,54,51
2020년08월_계_40~49세,"13,607","2,067","4,722",951,658,"2,529",617,605,574,197,192,317,99,79
2020년08월_계_50~59세,"15,328","2,443","3,604","1,313",807,"2,160","1,259","1,235",873,335,392,470,260,177
2020년08월_계_60~69세,"13,577","2,277","2,514","1,267",729,"1,513","1,318","1,212",859,389,454,545,264,236
2020년08월_계_70~79세,"9,123","1,499","1,636",858,511,899,842,760,681,327,361,417,146,186
2020년08월_계_80~89세,"5,240",934,854,460,241,450,498,439,421,205,216,302,91,129
2020년08월_계_90~99세,768,122,144,65,45,58,61,64,66,47,26,50,11,9
2020년08월_계_100세 이상,44,5,6,7,6,4,6,4,1,3,0,1,0,1
2020년08월_남_총인구수,"47,109","7,280","13,542","3,707","2,286","7,263","3,197","2,935","2,435",977,975,"1,447",565,500
2020년08월_남_연령구간인구수,"47,109","7,280","13,542","3,707","2,286","7,263","3,197","2,935","2,435",977,975,"1,447",565,500
2020년08월_남_0~9세,"3,603",350,"1,584",188,150,874,118,86,121,37,24,40,22,9
2020년08월_남_10~19세,"4,349",608,"1,761",293,204,669,189,199,173,59,42,111,18,23
2020년08월_남_20~29세,"4,979",944,"1,510",415,237,716,306,293,230,72,53,122,47,34
2020년08월_남_30~39세,"4,948",683,"1,727",326,187,"1,142",255,190,195,54,58,76,26,29
2020년08월_남_40~49세,"7,557","1,144","2,601",533,345,"1,371",368,325,332,112,115,197,62,52
2020년08월_남_50~59세,"8,533","1,402","2,023",752,455,"1,134",677,671,482,194,212,294,139,98
2020년08월_남_60~69세,"7,023","1,148","1,273",638,360,777,693,660,451,209,240,297,152,125
2020년08월_남_70~79세,"4,184",667,752,386,255,411,406,354,297,159,155,194,69,79
2020년08월_남_80~89세,"1,761",305,278,155,87,153,174,144,139,70,71,108,28,49
2020년08월_남_90~99세,162,27,31,20,6,16,9,13,14,9,5,8,2,2
2020년08월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년08월_여_총인구수,"44,632","6,896","12,484","3,448","2,179","7,197","3,001","2,911","2,310",949,971,"1,284",524,478
2020년08월_여_연령구간인구수,"44,632","6,896","12,484","3,448","2,179","7,197","3,001","2,911","2,310",949,971,"1,284",524,478
2020년08월_여_0~9세,"3,549",377,"1,473",206,148,858,128,112,120,29,30,36,17,15
2020년08월_여_10~19세,"3,969",593,"1,573",238,196,688,150,190,116,61,22,100,25,17
2020년08월_여_20~29세,"3,979",745,"1,139",291,167,715,256,267,159,54,49,90,35,12
2020년08월_여_30~39세,"4,678",529,"1,779",277,179,"1,185",195,190,156,57,27,54,28,22
2020년08월_여_40~49세,"6,050",923,"2,121",418,313,"1,158",249,280,242,85,77,120,37,27
2020년08월_여_50~59세,"6,795","1,041","1,581",561,352,"1,026",582,564,391,141,180,176,121,79
2020년08월_여_60~69세,"6,554","1,129","1,241",629,369,736,625,552,408,180,214,248,112,111
2020년08월_여_70~79세,"4,939",832,884,472,256,488,436,406,384,168,206,223,77,107
2020년08월_여_80~89세,"3,479",629,576,305,154,297,324,295,282,135,145,194,63,80
2020년08월_여_90~99세,606,95,113,45,39,42,52,51,52,38,21,42,9,7
2020년08월_여_100세 이상,34,3,4,6,6,4,4,4,0,1,0,1,0,1
