,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년08월_계_총인구수,"101,523","10,915","4,213","3,854","3,195","2,192","3,112","1,168","4,224","5,947","4,452","3,059","29,574","9,584","4,821","6,957","4,256"
2020년08월_계_연령구간인구수,"101,523","10,915","4,213","3,854","3,195","2,192","3,112","1,168","4,224","5,947","4,452","3,059","29,574","9,584","4,821","6,957","4,256"
2020년08월_계_0~9세,"5,811",402,112,108,69,64,69,19,125,268,82,85,"2,702",693,181,576,256
2020년08월_계_10~19세,"6,655",480,152,166,89,82,83,33,153,229,139,90,"2,982",933,273,567,204
2020년08월_계_20~29세,"10,155",975,325,233,178,110,180,66,267,944,264,211,"3,542","1,248",487,705,420
2020년08월_계_30~39세,"9,426",791,298,224,179,97,167,48,230,473,250,192,"3,744","1,038",394,841,460
2020년08월_계_40~49세,"12,843","1,289",381,349,288,173,250,63,403,504,413,262,"4,856","1,466",553,"1,069",524
2020년08월_계_50~59세,"18,282","2,269",791,656,571,406,593,263,705,898,796,561,"5,252","1,689",901,"1,133",798
2020년08월_계_60~69세,"18,224","2,245","1,004",940,757,544,807,279,959,"1,127","1,083",819,"3,680","1,261",962,"1,004",753
2020년08월_계_70~79세,"12,445","1,585",713,708,627,388,573,215,848,925,850,506,"1,786",821,679,705,516
2020년08월_계_80~89세,"6,860",798,382,420,393,291,344,160,470,521,509,296,930,386,352,327,281
2020년08월_계_90~99세,780,78,52,49,44,36,40,21,63,55,63,36,95,44,38,23,43
2020년08월_계_100세 이상,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년08월_남_총인구수,"51,571","5,732","2,196","1,893","1,666","1,086","1,574",587,"2,148","3,276","2,292","1,607","14,612","4,760","2,372","3,464","2,306"
2020년08월_남_연령구간인구수,"51,571","5,732","2,196","1,893","1,666","1,086","1,574",587,"2,148","3,276","2,292","1,607","14,612","4,760","2,372","3,464","2,306"
2020년08월_남_0~9세,"2,932",207,61,61,38,39,29,12,62,143,37,46,"1,353",345,91,274,134
2020년08월_남_10~19세,"3,565",279,84,80,54,43,49,15,87,122,76,41,"1,592",477,143,317,106
2020년08월_남_20~29세,"6,002",563,196,146,126,62,104,38,163,744,158,127,"1,990",677,261,384,263
2020년08월_남_30~39세,"5,165",451,188,128,102,56,101,27,127,271,155,119,"1,968",543,220,433,276
2020년08월_남_40~49세,"7,054",752,247,195,183,102,158,37,247,315,252,175,"2,405",775,318,569,324
2020년08월_남_50~59세,"9,755","1,322",425,361,347,221,337,142,397,476,454,338,"2,580",817,479,577,482
2020년08월_남_60~69세,"9,104","1,140",510,471,408,283,402,161,473,598,570,419,"1,718",643,452,479,377
2020년08월_남_70~79세,"5,545",724,345,304,276,177,267,92,396,417,406,233,732,340,296,297,243
2020년08월_남_80~89세,"2,242",271,125,137,120,98,115,58,173,175,172,100,251,135,102,119,91
2020년08월_남_90~99세,194,22,14,10,12,5,11,5,23,14,11,8,22,7,10,10,10
2020년08월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년08월_여_총인구수,"49,952","5,183","2,017","1,961","1,529","1,106","1,538",581,"2,076","2,671","2,160","1,452","14,962","4,824","2,449","3,493","1,950"
2020년08월_여_연령구간인구수,"49,952","5,183","2,017","1,961","1,529","1,106","1,538",581,"2,076","2,671","2,160","1,452","14,962","4,824","2,449","3,493","1,950"
2020년08월_여_0~9세,"2,879",195,51,47,31,25,40,7,63,125,45,39,"1,349",348,90,302,122
2020년08월_여_10~19세,"3,090",201,68,86,35,39,34,18,66,107,63,49,"1,390",456,130,250,98
2020년08월_여_20~29세,"4,153",412,129,87,52,48,76,28,104,200,106,84,"1,552",571,226,321,157
2020년08월_여_30~39세,"4,261",340,110,96,77,41,66,21,103,202,95,73,"1,776",495,174,408,184
2020년08월_여_40~49세,"5,789",537,134,154,105,71,92,26,156,189,161,87,"2,451",691,235,500,200
2020년08월_여_50~59세,"8,527",947,366,295,224,185,256,121,308,422,342,223,"2,672",872,422,556,316
2020년08월_여_60~69세,"9,120","1,105",494,469,349,261,405,118,486,529,513,400,"1,962",618,510,525,376
2020년08월_여_70~79세,"6,900",861,368,404,351,211,306,123,452,508,444,273,"1,054",481,383,408,273
2020년08월_여_80~89세,"4,618",527,257,283,273,193,229,102,297,346,337,196,679,251,250,208,190
2020년08월_여_90~99세,586,56,38,39,32,31,29,16,40,41,52,28,73,37,28,13,33
2020년08월_여_100세 이상,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
