,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년09월_계_총인구수,"25,095","10,561","1,270","1,492","2,510","2,632","2,259","1,435","2,936"
2021년09월_계_연령구간인구수,"25,095","10,561","1,270","1,492","2,510","2,632","2,259","1,435","2,936"
2021년09월_계_0~9세,"1,048",615,41,46,56,103,63,37,87
2021년09월_계_10~19세,"1,776","1,022",62,66,143,172,103,53,155
2021년09월_계_20~29세,"1,830",961,84,81,137,187,105,92,183
2021년09월_계_30~39세,"1,532",802,47,68,106,145,129,93,142
2021년09월_계_40~49세,"2,705","1,369",120,138,213,308,172,146,239
2021년09월_계_50~59세,"4,504","1,893",253,285,506,447,350,213,557
2021년09월_계_60~69세,"4,856","1,759",269,298,615,523,476,286,630
2021년09월_계_70~79세,"3,790","1,267",209,290,373,411,445,273,522
2021년09월_계_80~89세,"2,641",745,158,196,309,289,360,208,376
2021년09월_계_90~99세,399,123,26,24,52,42,54,34,44
2021년09월_계_100세 이상,14,5,1,0,0,5,2,0,1
2021년09월_남_총인구수,"12,223","5,142",644,732,"1,226","1,295","1,073",692,"1,419"
2021년09월_남_연령구간인구수,"12,223","5,142",644,732,"1,226","1,295","1,073",692,"1,419"
2021년09월_남_0~9세,506,292,24,23,28,49,28,20,42
2021년09월_남_10~19세,936,543,32,29,73,102,57,31,69
2021년09월_남_20~29세,"1,031",531,51,42,83,97,58,54,115
2021년09월_남_30~39세,794,391,23,33,61,83,76,54,73
2021년09월_남_40~49세,"1,473",698,71,87,118,169,106,80,144
2021년09월_남_50~59세,"2,513",988,147,174,286,269,206,122,321
2021년09월_남_60~69세,"2,426",872,150,148,313,255,237,138,313
2021년09월_남_70~79세,"1,600",539,83,125,154,176,187,116,220
2021년09월_남_80~89세,860,262,62,65,97,84,108,68,114
2021년09월_남_90~99세,81,25,1,6,13,9,10,9,8
2021년09월_남_100세 이상,3,1,0,0,0,2,0,0,0
2021년09월_여_총인구수,"12,872","5,419",626,760,"1,284","1,337","1,186",743,"1,517"
2021년09월_여_연령구간인구수,"12,872","5,419",626,760,"1,284","1,337","1,186",743,"1,517"
2021년09월_여_0~9세,542,323,17,23,28,54,35,17,45
2021년09월_여_10~19세,840,479,30,37,70,70,46,22,86
2021년09월_여_20~29세,799,430,33,39,54,90,47,38,68
2021년09월_여_30~39세,738,411,24,35,45,62,53,39,69
2021년09월_여_40~49세,"1,232",671,49,51,95,139,66,66,95
2021년09월_여_50~59세,"1,991",905,106,111,220,178,144,91,236
2021년09월_여_60~69세,"2,430",887,119,150,302,268,239,148,317
2021년09월_여_70~79세,"2,190",728,126,165,219,235,258,157,302
2021년09월_여_80~89세,"1,781",483,96,131,212,205,252,140,262
2021년09월_여_90~99세,318,98,25,18,39,33,44,25,36
2021년09월_여_100세 이상,11,4,1,0,0,3,2,0,1
