,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년11월_계_총인구수,"165,208","8,464","9,831","16,657","9,729","9,285","9,808","6,130","7,666","10,065","7,868","8,023","9,926","18,099","1,750","4,112","20,133","7,662"
2021년11월_계_연령구간인구수,"165,208","8,464","9,831","16,657","9,729","9,285","9,808","6,130","7,666","10,065","7,868","8,023","9,926","18,099","1,750","4,112","20,133","7,662"
2021년11월_계_0~9세,"6,870",291,292,663,269,267,349,169,213,364,286,567,334,"1,203",61,97,"1,183",262
2021년11월_계_10~19세,"10,186",470,479,"1,143",630,463,562,296,450,513,462,594,543,"1,238",99,239,"1,628",377
2021년11월_계_20~29세,"20,110","1,290","1,195","2,301","1,096",957,"1,194",633,944,"1,137",994,851,"1,208","2,172",208,487,"2,530",913
2021년11월_계_30~39세,"16,810",930,937,"1,967",873,779,939,555,674,"1,005",725,912,976,"2,186",174,384,"2,102",692
2021년11월_계_40~49세,"21,428","1,016","1,189","2,156","1,252","1,061","1,235",702,956,"1,231",982,"1,193","1,235","2,632",227,475,"2,881","1,005"
2021년11월_계_50~59세,"32,449","1,601","1,920","2,976","2,055","1,790","1,997","1,251","1,595","2,140","1,583","1,414","2,077","3,413",351,890,"3,865","1,531"
2021년11월_계_60~69세,"32,025","1,578","2,004","3,099","1,917","1,955","1,994","1,284","1,568","2,049","1,563","1,472","2,033","3,107",367,925,"3,634","1,476"
2021년11월_계_70~79세,"17,236",872,"1,198","1,603","1,126","1,331","1,054",848,838,"1,136",829,725,"1,039","1,486",182,421,"1,610",938
2021년11월_계_80~89세,"7,317",382,571,667,470,622,444,363,386,448,407,274,431,577,75,170,608,422
2021년11월_계_90~99세,755,33,46,81,41,58,40,29,40,40,34,21,50,83,2,24,88,45
2021년11월_계_100세 이상,22,1,0,1,0,2,0,0,2,2,3,0,0,2,4,0,4,1
2021년11월_남_총인구수,"82,574","4,178","4,743","8,056","4,964","4,603","4,799","3,120","3,770","5,341","3,955","3,920","5,007","8,991",923,"2,198","10,126","3,880"
2021년11월_남_연령구간인구수,"82,574","4,178","4,743","8,056","4,964","4,603","4,799","3,120","3,770","5,341","3,955","3,920","5,007","8,991",923,"2,198","10,126","3,880"
2021년11월_남_0~9세,"3,547",161,150,331,134,141,172,90,116,194,138,288,178,616,34,46,639,119
2021년11월_남_10~19세,"5,282",265,253,587,334,254,291,149,243,256,236,287,300,623,57,127,844,176
2021년11월_남_20~29세,"10,998",679,606,"1,238",639,534,638,349,526,653,571,450,645,"1,169",128,281,"1,381",511
2021년11월_남_30~39세,"9,536",520,543,"1,102",504,444,541,330,390,579,422,495,574,"1,185",96,243,"1,169",399
2021년11월_남_40~49세,"11,551",546,669,"1,079",706,622,664,396,480,747,549,600,678,"1,379",127,280,"1,450",579
2021년11월_남_50~59세,"16,386",739,958,"1,354","1,081",937,985,693,815,"1,200",825,688,"1,040","1,677",178,486,"1,915",815
2021년11월_남_60~69세,"15,041",721,895,"1,385",929,925,890,607,702,"1,042",740,690,982,"1,459",180,479,"1,722",693
2021년11월_남_70~79세,"7,547",404,470,720,470,535,465,361,349,508,339,316,458,675,86,197,773,421
2021년11월_남_80~89세,"2,560",135,191,240,163,202,145,138,140,159,132,103,146,197,35,55,219,160
2021년11월_남_90~99세,124,8,8,19,4,9,8,7,9,3,3,3,6,11,1,4,14,7
2021년11월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021년11월_여_총인구수,"82,634","4,286","5,088","8,601","4,765","4,682","5,009","3,010","3,896","4,724","3,913","4,103","4,919","9,108",827,"1,914","10,007","3,782"
2021년11월_여_연령구간인구수,"82,634","4,286","5,088","8,601","4,765","4,682","5,009","3,010","3,896","4,724","3,913","4,103","4,919","9,108",827,"1,914","10,007","3,782"
2021년11월_여_0~9세,"3,323",130,142,332,135,126,177,79,97,170,148,279,156,587,27,51,544,143
2021년11월_여_10~19세,"4,904",205,226,556,296,209,271,147,207,257,226,307,243,615,42,112,784,201
2021년11월_여_20~29세,"9,112",611,589,"1,063",457,423,556,284,418,484,423,401,563,"1,003",80,206,"1,149",402
2021년11월_여_30~39세,"7,274",410,394,865,369,335,398,225,284,426,303,417,402,"1,001",78,141,933,293
2021년11월_여_40~49세,"9,877",470,520,"1,077",546,439,571,306,476,484,433,593,557,"1,253",100,195,"1,431",426
2021년11월_여_50~59세,"16,063",862,962,"1,622",974,853,"1,012",558,780,940,758,726,"1,037","1,736",173,404,"1,950",716
2021년11월_여_60~69세,"16,984",857,"1,109","1,714",988,"1,030","1,104",677,866,"1,007",823,782,"1,051","1,648",187,446,"1,912",783
2021년11월_여_70~79세,"9,689",468,728,883,656,796,589,487,489,628,490,409,581,811,96,224,837,517
2021년11월_여_80~89세,"4,757",247,380,427,307,420,299,225,246,289,275,171,285,380,40,115,389,262
2021년11월_여_90~99세,631,25,38,62,37,49,32,22,31,37,31,18,44,72,1,20,74,38
2021년11월_여_100세 이상,20,1,0,0,0,2,0,0,2,2,3,0,0,2,3,0,4,1
