,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년12월_계_총인구수,"454,251","31,581","30,460","22,469","25,974","42,215","20,929","21,343","15,751","18,403","15,044","13,748","20,519","20,949","20,047","46,393","33,521","25,014","29,891"
2020년12월_계_연령구간인구수,"454,251","31,581","30,460","22,469","25,974","42,215","20,929","21,343","15,751","18,403","15,044","13,748","20,519","20,949","20,047","46,393","33,521","25,014","29,891"
2020년12월_계_0~9세,"31,552","2,981","1,702","1,361","1,415","3,409",993,"1,449",898,"1,492","1,003","1,446","1,060","1,854","1,315","3,411","1,699","2,088","1,976"
2020년12월_계_10~19세,"50,872","5,138","2,583","1,562","3,374","7,631","1,340","1,773","1,142","1,624","1,276","1,241","1,388","3,059","2,967","5,282","2,327","3,683","3,482"
2020년12월_계_20~29세,"59,774","3,421","5,013","3,564","4,170","4,510","2,691","2,710","2,042","2,187","2,151","1,604","2,658","2,471","2,591","5,906","5,287","3,194","3,604"
2020년12월_계_30~39세,"57,820","3,308","5,251","4,034","2,821","4,008","2,765","3,040","2,034","2,508","2,111","2,586","2,644","2,078","1,811","5,743","5,089","2,754","3,235"
2020년12월_계_40~49세,"78,993","6,960","4,634","3,215","4,589","9,244","3,108","3,338","2,247","3,050","2,305","2,158","2,986","4,110","3,813","8,020","5,260","4,748","5,208"
2020년12월_계_50~59세,"76,495","5,007","4,951","3,651","4,849","6,672","3,909","3,357","2,965","2,842","2,548","2,033","3,605","3,542","3,621","7,837","5,420","4,407","5,279"
2020년12월_계_60~69세,"57,551","2,865","3,822","3,033","2,694","4,141","3,595","3,332","2,530","2,730","2,161","1,647","3,450","2,187","2,262","5,756","4,776","2,607","3,963"
2020년12월_계_70~79세,"28,593","1,319","1,729","1,366","1,446","1,704","1,854","1,703","1,363","1,397","1,068",768,"1,825","1,093","1,114","3,109","2,682","1,006","2,047"
2020년12월_계_80~89세,"10,721",487,655,586,538,726,572,549,460,501,362,214,803,451,464,"1,128",865,428,932
2020년12월_계_90~99세,"1,693",90,106,83,69,163,89,84,58,62,52,40,96,97,73,186,100,98,147
2020년12월_계_100세 이상,187,5,14,14,9,7,13,8,12,10,7,11,4,7,16,15,16,1,18
2020년12월_남_총인구수,"222,824","15,167","14,810","10,727","12,692","20,900","10,747","10,463","8,297","9,045","7,453","6,770","10,067","10,222","9,819","22,608","16,423","12,159","14,455"
2020년12월_남_연령구간인구수,"222,824","15,167","14,810","10,727","12,692","20,900","10,747","10,463","8,297","9,045","7,453","6,770","10,067","10,222","9,819","22,608","16,423","12,159","14,455"
2020년12월_남_0~9세,"16,235","1,501",860,715,683,"1,809",517,742,485,757,508,761,559,976,657,"1,737",890,"1,070","1,008"
2020년12월_남_10~19세,"26,532","2,579","1,375",849,"1,826","4,154",680,873,590,856,687,604,701,"1,558","1,553","2,736","1,196","1,906","1,809"
2020년12월_남_20~29세,"30,426","1,664","2,450","1,730","2,195","2,341","1,429","1,402","1,067","1,138","1,092",816,"1,405","1,254","1,333","3,055","2,535","1,638","1,882"
2020년12월_남_30~39세,"28,469","1,395","2,687","1,975","1,395","1,745","1,524","1,550","1,110","1,244","1,115","1,295","1,392",910,844,"2,822","2,701","1,223","1,542"
2020년12월_남_40~49세,"37,832","3,175","2,221","1,541","2,036","4,135","1,622","1,695","1,256","1,550","1,143","1,080","1,549","1,929","1,758","3,878","2,624","2,140","2,500"
2020년12월_남_50~59세,"38,021","2,624","2,343","1,654","2,404","3,451","2,049","1,629","1,629","1,374","1,214",978,"1,760","1,817","1,855","3,828","2,604","2,194","2,614"
2020년12월_남_60~69세,"27,584","1,400","1,804","1,418","1,301","2,053","1,808","1,527","1,348","1,275","1,046",776,"1,630","1,063","1,137","2,650","2,207","1,278","1,863"
2020년12월_남_70~79세,"13,474",634,816,623,666,908,892,824,618,666,501,370,774,524,483,"1,463","1,258",535,919
2020년12월_남_80~89세,"3,777",168,216,200,167,258,206,206,177,165,137,79,269,166,176,396,371,143,277
2020년12월_남_90~99세,425,25,33,19,16,46,16,13,13,18,8,9,24,22,20,41,33,32,37
2020년12월_남_100세 이상,49,2,5,3,3,0,4,2,4,2,2,2,4,3,3,2,4,0,4
2020년12월_여_총인구수,"231,427","16,414","15,650","11,742","13,282","21,315","10,182","10,880","7,454","9,358","7,591","6,978","10,452","10,727","10,228","23,785","17,098","12,855","15,436"
2020년12월_여_연령구간인구수,"231,427","16,414","15,650","11,742","13,282","21,315","10,182","10,880","7,454","9,358","7,591","6,978","10,452","10,727","10,228","23,785","17,098","12,855","15,436"
2020년12월_여_0~9세,"15,317","1,480",842,646,732,"1,600",476,707,413,735,495,685,501,878,658,"1,674",809,"1,018",968
2020년12월_여_10~19세,"24,340","2,559","1,208",713,"1,548","3,477",660,900,552,768,589,637,687,"1,501","1,414","2,546","1,131","1,777","1,673"
2020년12월_여_20~29세,"29,348","1,757","2,563","1,834","1,975","2,169","1,262","1,308",975,"1,049","1,059",788,"1,253","1,217","1,258","2,851","2,752","1,556","1,722"
2020년12월_여_30~39세,"29,351","1,913","2,564","2,059","1,426","2,263","1,241","1,490",924,"1,264",996,"1,291","1,252","1,168",967,"2,921","2,388","1,531","1,693"
2020년12월_여_40~49세,"41,161","3,785","2,413","1,674","2,553","5,109","1,486","1,643",991,"1,500","1,162","1,078","1,437","2,181","2,055","4,142","2,636","2,608","2,708"
2020년12월_여_50~59세,"38,474","2,383","2,608","1,997","2,445","3,221","1,860","1,728","1,336","1,468","1,334","1,055","1,845","1,725","1,766","4,009","2,816","2,213","2,665"
2020년12월_여_60~69세,"29,967","1,465","2,018","1,615","1,393","2,088","1,787","1,805","1,182","1,455","1,115",871,"1,820","1,124","1,125","3,106","2,569","1,329","2,100"
2020년12월_여_70~79세,"15,119",685,913,743,780,796,962,879,745,731,567,398,"1,051",569,631,"1,646","1,424",471,"1,128"
2020년12월_여_80~89세,"6,944",319,439,386,371,468,366,343,283,336,225,135,534,285,288,732,494,285,655
2020년12월_여_90~99세,"1,268",65,73,64,53,117,73,71,45,44,44,31,72,75,53,145,67,66,110
2020년12월_여_100세 이상,138,3,9,11,6,7,9,6,8,8,5,9,0,4,13,13,12,1,14
