카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년01월_계_총인구수,"174,663","13,649","7,448","5,428","3,379","8,189","13,838","9,569","5,244","7,541","6,498","19,615","19,249","9,153","16,172","29,691"
2020년01월_계_연령구간인구수,"174,663","13,649","7,448","5,428","3,379","8,189","13,838","9,569","5,244","7,541","6,498","19,615","19,249","9,153","16,172","29,691"
2020년01월_계_0~9세,"15,985",756,570,131,65,705,"2,645",598,140,279,414,"1,895","1,832",646,"1,493","3,816"
2020년01월_계_10~19세,"17,687","1,170",741,232,126,727,994,810,299,482,546,"2,189","2,438",939,"2,045","3,949"
2020년01월_계_20~29세,"19,201","1,809",666,324,182,709,"1,563",892,318,805,556,"2,615","2,286","1,145","1,937","3,394"
2020년01월_계_30~39세,"22,756","1,486",735,294,160,"1,041","3,599",946,291,522,638,"2,847","2,408",939,"2,061","4,789"
2020년01월_계_40~49세,"27,647","2,001","1,135",505,300,"1,247","1,919","1,435",574,889,906,"3,348","3,476","1,545","2,902","5,465"
2020년01월_계_50~59세,"28,170","3,041","1,288",915,638,"1,344","1,437","1,675",935,"1,414",866,"3,168","3,180","1,604","2,601","4,064"
2020년01월_계_60~69세,"20,521","1,726","1,005","1,286",835,"1,111",845,"1,403","1,089","1,342","1,054","1,884","1,881","1,207","1,643","2,210"
2020년01월_계_70~79세,"13,507",945,726,997,641,762,482,"1,040",922,"1,117",853,"1,040","1,110",741,921,"1,210"
2020년01월_계_80~89세,"7,980",618,508,669,374,462,315,680,597,610,574,528,555,323,494,673
2020년01월_계_90~99세,"1,145",93,70,74,54,80,35,86,76,78,85,92,75,57,73,117
2020년01월_계_100세 이상,64,4,4,1,4,1,4,4,3,3,6,9,8,7,2,4
2020년01월_남_총인구수,"90,387","7,729","3,790","2,758","1,711","4,355","7,253","4,928","2,627","3,882","3,338","10,097","10,026","4,626","8,150","15,117"
2020년01월_남_연령구간인구수,"90,387","7,729","3,790","2,758","1,711","4,355","7,253","4,928","2,627","3,882","3,338","10,097","10,026","4,626","8,150","15,117"
2020년01월_남_0~9세,"8,221",391,297,64,42,344,"1,385",312,74,146,221,999,940,329,743,"1,934"
2020년01월_남_10~19세,"9,347",609,399,124,59,382,499,454,154,272,289,"1,135","1,443",478,993,"2,057"
2020년01월_남_20~29세,"11,248","1,221",397,201,110,436,861,517,187,462,353,"1,461","1,349",667,"1,104","1,922"
2020년01월_남_30~39세,"12,422",986,365,185,92,633,"1,931",520,156,312,358,"1,568","1,278",505,"1,112","2,421"
2020년01월_남_40~49세,"14,740","1,141",604,318,187,721,"1,062",797,352,533,524,"1,726","1,720",801,"1,470","2,784"
2020년01월_남_50~59세,"14,921","1,799",711,482,350,717,752,883,503,743,464,"1,623","1,649",810,"1,342","2,093"
2020년01월_남_60~69세,"10,228",915,497,645,420,593,429,708,531,677,512,906,914,576,794,"1,111"
2020년01월_남_70~79세,"6,268",455,334,475,319,354,230,485,443,515,374,464,520,323,412,565
2020년01월_남_80~89세,"2,753",187,168,246,121,162,98,237,214,207,223,196,197,122,165,210
2020년01월_남_90~99세,231,25,18,18,8,13,5,15,12,15,20,19,14,15,15,19
2020년01월_남_100세 이상,8,0,0,0,3,0,1,0,1,0,0,0,2,0,0,1
2020년01월_여_총인구수,"84,276","5,920","3,658","2,670","1,668","3,834","6,585","4,641","2,617","3,659","3,160","9,518","9,223","4,527","8,022","14,574"
2020년01월_여_연령구간인구수,"84,276","5,920","3,658","2,670","1,668","3,834","6,585","4,641","2,617","3,659","3,160","9,518","9,223","4,527","8,022","14,574"
2020년01월_여_0~9세,"7,764",365,273,67,23,361,"1,260",286,66,133,193,896,892,317,750,"1,882"
2020년01월_여_10~19세,"8,340",561,342,108,67,345,495,356,145,210,257,"1,054",995,461,"1,052","1,892"
2020년01월_여_20~29세,"7,953",588,269,123,72,273,702,375,131,343,203,"1,154",937,478,833,"1,472"
2020년01월_여_30~39세,"10,334",500,370,109,68,408,"1,668",426,135,210,280,"1,279","1,130",434,949,"2,368"
2020년01월_여_40~49세,"12,907",860,531,187,113,526,857,638,222,356,382,"1,622","1,756",744,"1,432","2,681"
2020년01월_여_50~59세,"13,249","1,242",577,433,288,627,685,792,432,671,402,"1,545","1,531",794,"1,259","1,971"
2020년01월_여_60~69세,"10,293",811,508,641,415,518,416,695,558,665,542,978,967,631,849,"1,099"
2020년01월_여_70~79세,"7,239",490,392,522,322,408,252,555,479,602,479,576,590,418,509,645
2020년01월_여_80~89세,"5,227",431,340,423,253,300,217,443,383,403,351,332,358,201,329,463
2020년01월_여_90~99세,914,68,52,56,46,67,30,71,64,63,65,73,61,42,58,98
2020년01월_여_100세 이상,56,4,4,1,1,1,3,4,2,3,6,9,6,7,2,3
