카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년11월_계_총인구수,"25,577","10,788","1,280","1,533","2,568","2,691","2,278","1,480","2,959"
2020년11월_계_연령구간인구수,"25,577","10,788","1,280","1,533","2,568","2,691","2,278","1,480","2,959"
2020년11월_계_0~9세,"1,159",702,43,49,55,111,63,50,86
2020년11월_계_10~19세,"1,843","1,044",73,72,154,177,110,63,150
2020년11월_계_20~29세,"1,953","1,047",70,83,155,186,112,103,197
2020년11월_계_30~39세,"1,675",879,54,77,119,167,141,88,150
2020년11월_계_40~49세,"2,895","1,423",140,145,246,338,174,165,264
2020년11월_계_50~59세,"4,602","1,930",244,278,544,450,369,230,557
2020년11월_계_60~69세,"4,662","1,680",276,297,568,505,458,269,609
2020년11월_계_70~79세,"3,904","1,257",209,312,391,420,462,291,562
2020년11월_계_80~89세,"2,485",711,147,194,282,289,332,189,341
2020년11월_계_90~99세,377,110,23,23,51,44,55,31,40
2020년11월_계_100세 이상,22,5,1,3,3,4,2,1,3
2020년11월_남_총인구수,"12,445","5,241",642,753,"1,250","1,340","1,072",708,"1,439"
2020년11월_남_연령구간인구수,"12,445","5,241",642,753,"1,250","1,340","1,072",708,"1,439"
2020년11월_남_0~9세,574,345,24,25,30,54,29,25,42
2020년11월_남_10~19세,978,564,38,31,76,101,59,38,71
2020년11월_남_20~29세,"1,049",546,40,44,94,98,57,53,117
2020년11월_남_30~39세,894,437,25,38,73,100,82,51,88
2020년11월_남_40~49세,"1,580",718,84,93,132,189,110,97,157
2020년11월_남_50~59세,"2,549",999,142,172,305,272,218,128,313
2020년11월_남_60~69세,"2,300",831,149,148,280,246,213,128,305
2020년11월_남_70~79세,"1,633",534,85,130,158,177,196,120,233
2020년11월_남_80~89세,804,243,54,65,89,92,97,59,105
2020년11월_남_90~99세,82,24,1,7,13,10,11,9,7
2020년11월_남_100세 이상,2,0,0,0,0,1,0,0,1
2020년11월_여_총인구수,"13,132","5,547",638,780,"1,318","1,351","1,206",772,"1,520"
2020년11월_여_연령구간인구수,"13,132","5,547",638,780,"1,318","1,351","1,206",772,"1,520"
2020년11월_여_0~9세,585,357,19,24,25,57,34,25,44
2020년11월_여_10~19세,865,480,35,41,78,76,51,25,79
2020년11월_여_20~29세,904,501,30,39,61,88,55,50,80
2020년11월_여_30~39세,781,442,29,39,46,67,59,37,62
2020년11월_여_40~49세,"1,315",705,56,52,114,149,64,68,107
2020년11월_여_50~59세,"2,053",931,102,106,239,178,151,102,244
2020년11월_여_60~69세,"2,362",849,127,149,288,259,245,141,304
2020년11월_여_70~79세,"2,271",723,124,182,233,243,266,171,329
2020년11월_여_80~89세,"1,681",468,93,129,193,197,235,130,236
2020년11월_여_90~99세,295,86,22,16,38,34,44,22,33
2020년11월_여_100세 이상,20,5,1,3,3,3,2,1,2
