카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년02월_계_총인구수,"36,188","10,985","6,207","2,372","1,134","1,485",538,918,"1,725","6,368","2,782","1,674"
2021년02월_계_연령구간인구수,"36,188","10,985","6,207","2,372","1,134","1,485",538,918,"1,725","6,368","2,782","1,674"
2021년02월_계_0~9세,"1,621",779,220,51,16,34,8,27,41,349,71,25
2021년02월_계_10~19세,"2,098",935,303,60,40,37,16,31,73,428,128,47
2021년02월_계_20~29세,"2,392",942,419,129,46,69,18,45,85,479,109,51
2021년02월_계_30~39세,"2,364","1,009",385,111,47,54,13,33,72,459,122,59
2021년02월_계_40~49세,"3,840","1,564",665,182,66,107,28,75,169,676,205,103
2021년02월_계_50~59세,"6,133","1,863","1,130",397,185,263,84,144,299,"1,089",442,237
2021년02월_계_60~69세,"7,459","1,827","1,391",560,281,383,143,192,413,"1,217",629,423
2021년02월_계_70~79세,"5,895","1,221","1,076",484,233,302,138,200,362,933,558,388
2021년02월_계_80~89세,"3,822",713,550,340,190,208,81,155,195,633,458,299
2021년02월_계_90~99세,534,122,66,57,28,27,9,14,16,102,58,35
2021년02월_계_100세 이상,30,10,2,1,2,1,0,2,0,3,2,7
2021년02월_남_총인구수,"17,155","5,256","2,915","1,158",514,733,251,432,809,"2,953","1,308",826
2021년02월_남_연령구간인구수,"17,155","5,256","2,915","1,158",514,733,251,432,809,"2,953","1,308",826
2021년02월_남_0~9세,812,381,114,31,11,19,3,16,24,160,40,13
2021년02월_남_10~19세,"1,071",455,169,39,21,22,8,16,42,218,60,21
2021년02월_남_20~29세,"1,392",541,245,76,24,43,11,27,48,281,63,33
2021년02월_남_30~39세,"1,219",489,210,60,28,29,8,16,41,230,71,37
2021년02월_남_40~49세,"2,130",795,381,118,31,70,22,46,96,363,136,72
2021년02월_남_50~59세,"3,273","1,008",573,233,106,150,47,85,154,546,245,126
2021년02월_남_60~69세,"3,574",855,640,292,149,196,66,88,189,567,312,220
2021년02월_남_70~79세,"2,391",483,416,190,86,131,57,89,148,384,226,181
2021년02월_남_80~89세,"1,189",222,159,107,54,65,28,46,60,191,145,112
2021년02월_남_90~99세,97,24,7,12,4,8,1,2,7,13,10,9
2021년02월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2021년02월_여_총인구수,"19,033","5,729","3,292","1,214",620,752,287,486,916,"3,415","1,474",848
2021년02월_여_연령구간인구수,"19,033","5,729","3,292","1,214",620,752,287,486,916,"3,415","1,474",848
2021년02월_여_0~9세,809,398,106,20,5,15,5,11,17,189,31,12
2021년02월_여_10~19세,"1,027",480,134,21,19,15,8,15,31,210,68,26
2021년02월_여_20~29세,"1,000",401,174,53,22,26,7,18,37,198,46,18
2021년02월_여_30~39세,"1,145",520,175,51,19,25,5,17,31,229,51,22
2021년02월_여_40~49세,"1,710",769,284,64,35,37,6,29,73,313,69,31
2021년02월_여_50~59세,"2,860",855,557,164,79,113,37,59,145,543,197,111
2021년02월_여_60~69세,"3,885",972,751,268,132,187,77,104,224,650,317,203
2021년02월_여_70~79세,"3,504",738,660,294,147,171,81,111,214,549,332,207
2021년02월_여_80~89세,"2,633",491,391,233,136,143,53,109,135,442,313,187
2021년02월_여_90~99세,437,98,59,45,24,19,8,12,9,89,48,26
2021년02월_여_100세 이상,23,7,1,1,2,1,0,1,0,3,2,5
