카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년02월_계_총인구수,"35,277","6,887","1,449","1,066","2,083","2,961","1,854","4,211","5,647","5,827","1,198","2,094"
2020년02월_계_연령구간인구수,"35,277","6,887","1,449","1,066","2,083","2,961","1,854","4,211","5,647","5,827","1,198","2,094"
2020년02월_계_0~9세,"1,502",446,47,41,58,93,44,151,177,353,44,48
2020년02월_계_10~19세,"2,186",521,49,52,105,164,84,299,220,534,42,116
2020년02월_계_20~29세,"2,587",632,85,42,105,190,104,332,391,545,61,100
2020년02월_계_30~39세,"2,310",666,65,47,98,197,83,235,321,459,63,76
2020년02월_계_40~49세,"3,668",847,108,93,150,286,165,493,545,692,101,188
2020년02월_계_50~59세,"6,721","1,197",246,169,330,563,418,904,"1,192","1,135",185,382
2020년02월_계_60~69세,"6,867","1,101",331,202,427,549,402,837,"1,266","1,014",292,446
2020년02월_계_70~79세,"5,303",849,257,212,444,510,350,569,894,589,231,398
2020년02월_계_80~89세,"3,597",526,230,184,318,345,180,344,569,447,147,307
2020년02월_계_90~99세,523,99,31,24,46,63,24,45,69,58,32,32
2020년02월_계_100세 이상,13,3,0,0,2,1,0,2,3,1,0,1
2020년02월_남_총인구수,"17,275","3,329",697,509,994,"1,453",914,"2,091","2,822","2,867",577,"1,022"
2020년02월_남_연령구간인구수,"17,275","3,329",697,509,994,"1,453",914,"2,091","2,822","2,867",577,"1,022"
2020년02월_남_0~9세,792,232,24,21,39,49,27,72,107,179,22,20
2020년02월_남_10~19세,"1,153",264,29,34,62,89,50,160,116,270,20,59
2020년02월_남_20~29세,"1,467",367,47,16,65,101,58,180,225,305,39,64
2020년02월_남_30~39세,"1,255",342,40,24,57,114,57,121,182,243,33,42
2020년02월_남_40~49세,"2,050",440,64,63,100,167,85,264,318,362,65,122
2020년02월_남_50~59세,"3,587",632,140,101,181,302,218,479,629,575,113,217
2020년02월_남_60~69세,"3,547",534,173,104,212,286,208,426,664,546,156,238
2020년02월_남_70~79세,"2,270",363,110,83,175,219,144,259,415,249,84,169
2020년02월_남_80~89세,"1,042",134,58,60,93,110,64,120,155,128,37,83
2020년02월_남_90~99세,111,21,12,3,10,16,3,9,11,10,8,8
2020년02월_남_100세 이상,1,0,0,0,0,0,0,1,0,0,0,0
2020년02월_여_총인구수,"18,002","3,558",752,557,"1,089","1,508",940,"2,120","2,825","2,960",621,"1,072"
2020년02월_여_연령구간인구수,"18,002","3,558",752,557,"1,089","1,508",940,"2,120","2,825","2,960",621,"1,072"
2020년02월_여_0~9세,710,214,23,20,19,44,17,79,70,174,22,28
2020년02월_여_10~19세,"1,033",257,20,18,43,75,34,139,104,264,22,57
2020년02월_여_20~29세,"1,120",265,38,26,40,89,46,152,166,240,22,36
2020년02월_여_30~39세,"1,055",324,25,23,41,83,26,114,139,216,30,34
2020년02월_여_40~49세,"1,618",407,44,30,50,119,80,229,227,330,36,66
2020년02월_여_50~59세,"3,134",565,106,68,149,261,200,425,563,560,72,165
2020년02월_여_60~69세,"3,320",567,158,98,215,263,194,411,602,468,136,208
2020년02월_여_70~79세,"3,033",486,147,129,269,291,206,310,479,340,147,229
2020년02월_여_80~89세,"2,555",392,172,124,225,235,116,224,414,319,110,224
2020년02월_여_90~99세,412,78,19,21,36,47,21,36,58,48,24,24
2020년02월_여_100세 이상,12,3,0,0,2,1,0,1,3,1,0,1
