,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년07월_계_총인구수,"37,998","15,507","5,028","3,425","2,361","2,876","1,288","2,117","1,100","1,444","2,852"
2020년07월_계_연령구간인구수,"37,998","15,507","5,028","3,425","2,361","2,876","1,288","2,117","1,100","1,444","2,852"
2020년07월_계_0~9세,"2,055","1,343",160,141,84,86,40,37,18,43,103
2020년07월_계_10~19세,"2,892","1,624",319,218,116,133,58,110,39,81,194
2020년07월_계_20~29세,"3,095","1,597",331,225,146,214,73,135,71,87,216
2020년07월_계_30~39세,"2,888","1,633",309,200,139,177,76,95,43,60,156
2020년07월_계_40~49세,"4,234","2,153",432,359,210,272,104,163,102,150,289
2020년07월_계_50~59세,"6,379","2,469",871,575,354,514,209,401,268,243,475
2020년07월_계_60~69세,"6,457","2,137",980,659,489,548,269,367,239,222,547
2020년07월_계_70~79세,"5,500","1,491",904,565,429,487,215,413,178,266,552
2020년07월_계_80~89세,"3,865",888,633,425,332,370,214,355,121,237,290
2020년07월_계_90~99세,609,161,88,53,59,74,28,41,20,55,30
2020년07월_계_100세 이상,24,11,1,5,3,1,2,0,1,0,0
2020년07월_남_총인구수,"18,471","7,559","2,446","1,648","1,136","1,416",618,"1,005",550,698,"1,395"
2020년07월_남_연령구간인구수,"18,471","7,559","2,446","1,648","1,136","1,416",618,"1,005",550,698,"1,395"
2020년07월_남_0~9세,"1,059",679,88,58,47,54,24,18,7,26,58
2020년07월_남_10~19세,"1,519",841,187,112,59,76,25,52,24,38,105
2020년07월_남_20~29세,"1,739",882,192,120,89,120,36,83,38,50,129
2020년07월_남_30~39세,"1,529",811,169,111,88,107,38,53,32,31,89
2020년07월_남_40~49세,"2,345","1,083",251,226,129,162,70,109,62,81,172
2020년07월_남_50~59세,"3,449","1,286",467,321,188,281,118,231,153,154,250
2020년07월_남_60~69세,"3,231","1,035",501,322,270,291,138,191,121,113,249
2020년07월_남_70~79세,"2,297",635,364,232,169,216,96,161,69,112,243
2020년07월_남_80~89세,"1,184",277,210,129,92,94,66,101,38,82,95
2020년07월_남_90~99세,115,29,17,15,5,15,6,6,6,11,5
2020년07월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년07월_여_총인구수,"19,527","7,948","2,582","1,777","1,225","1,460",670,"1,112",550,746,"1,457"
2020년07월_여_연령구간인구수,"19,527","7,948","2,582","1,777","1,225","1,460",670,"1,112",550,746,"1,457"
2020년07월_여_0~9세,996,664,72,83,37,32,16,19,11,17,45
2020년07월_여_10~19세,"1,373",783,132,106,57,57,33,58,15,43,89
2020년07월_여_20~29세,"1,356",715,139,105,57,94,37,52,33,37,87
2020년07월_여_30~39세,"1,359",822,140,89,51,70,38,42,11,29,67
2020년07월_여_40~49세,"1,889","1,070",181,133,81,110,34,54,40,69,117
2020년07월_여_50~59세,"2,930","1,183",404,254,166,233,91,170,115,89,225
2020년07월_여_60~69세,"3,226","1,102",479,337,219,257,131,176,118,109,298
2020년07월_여_70~79세,"3,203",856,540,333,260,271,119,252,109,154,309
2020년07월_여_80~89세,"2,681",611,423,296,240,276,148,254,83,155,195
2020년07월_여_90~99세,494,132,71,38,54,59,22,35,14,44,25
2020년07월_여_100세 이상,20,10,1,3,3,1,1,0,1,0,0
