카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년02월_계_총인구수,"16,946","7,375","2,184","1,727","1,825","1,719","2,116"
2020년02월_계_연령구간인구수,"16,946","7,375","2,184","1,727","1,825","1,719","2,116"
2020년02월_계_0~9세,784,461,84,63,46,58,72
2020년02월_계_10~19세,"1,006",582,89,56,92,100,87
2020년02월_계_20~29세,"1,191",693,100,75,117,83,123
2020년02월_계_30~39세,"1,102",652,121,65,76,79,109
2020년02월_계_40~49세,"1,822",978,192,143,157,171,181
2020년02월_계_50~59세,"3,060","1,255",412,289,349,337,418
2020년02월_계_60~69세,"3,301","1,226",479,399,375,361,461
2020년02월_계_70~79세,"2,757",925,418,384,326,295,409
2020년02월_계_80~89세,"1,673",508,251,224,260,200,230
2020년02월_계_90~99세,224,87,36,26,25,30,20
2020년02월_계_100세 이상,26,8,2,3,2,5,6
2020년02월_남_총인구수,"8,385","3,620","1,057",876,906,862,"1,064"
2020년02월_남_연령구간인구수,"8,385","3,620","1,057",876,906,862,"1,064"
2020년02월_남_0~9세,409,249,41,33,21,34,31
2020년02월_남_10~19세,520,293,52,30,47,51,47
2020년02월_남_20~29세,689,387,61,43,70,51,77
2020년02월_남_30~39세,595,335,65,42,46,48,59
2020년02월_남_40~49세,"1,087",550,131,97,87,107,115
2020년02월_남_50~59세,"1,653",646,214,178,198,183,234
2020년02월_남_60~69세,"1,634",586,232,191,195,182,248
2020년02월_남_70~79세,"1,199",399,176,189,145,118,172
2020년02월_남_80~89세,537,156,75,65,88,77,76
2020년02월_남_90~99세,56,17,8,7,9,10,5
2020년02월_남_100세 이상,6,2,2,1,0,1,0
2020년02월_여_총인구수,"8,561","3,755","1,127",851,919,857,"1,052"
2020년02월_여_연령구간인구수,"8,561","3,755","1,127",851,919,857,"1,052"
2020년02월_여_0~9세,375,212,43,30,25,24,41
2020년02월_여_10~19세,486,289,37,26,45,49,40
2020년02월_여_20~29세,502,306,39,32,47,32,46
2020년02월_여_30~39세,507,317,56,23,30,31,50
2020년02월_여_40~49세,735,428,61,46,70,64,66
2020년02월_여_50~59세,"1,407",609,198,111,151,154,184
2020년02월_여_60~69세,"1,667",640,247,208,180,179,213
2020년02월_여_70~79세,"1,558",526,242,195,181,177,237
2020년02월_여_80~89세,"1,136",352,176,159,172,123,154
2020년02월_여_90~99세,168,70,28,19,16,20,15
2020년02월_여_100세 이상,20,6,0,2,2,4,6
