카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년05월_계_총인구수,"131,557","6,845","7,276","4,594","43,467","30,730","2,517","32,602","3,526"
2020년05월_계_연령구간인구수,"131,557","6,845","7,276","4,594","43,467","30,730","2,517","32,602","3,526"
2020년05월_계_0~9세,"19,397",184,518,94,"8,394","5,409",63,"4,618",117
2020년05월_계_10~19세,"10,799",304,485,154,"3,384","4,058",61,"2,208",145
2020년05월_계_20~29세,"11,890",654,849,390,"3,734","2,525",218,"3,244",276
2020년05월_계_30~39세,"26,427",577,903,364,"11,425","5,359",201,"7,294",304
2020년05월_계_40~49세,"21,895",728,932,397,"7,192","6,536",216,"5,489",405
2020년05월_계_50~59세,"16,510","1,311","1,166","1,015","4,201","3,368",523,"4,176",750
2020년05월_계_60~69세,"14,947","1,630","1,320","1,257","3,399","2,351",612,"3,544",834
2020년05월_계_70~79세,"6,626","1,005",707,593,"1,238",808,416,"1,414",445
2020년05월_계_80~89세,"2,590",392,334,266,418,273,175,531,201
2020년05월_계_90~99세,432,57,55,53,73,42,29,79,44
2020년05월_계_100세 이상,44,3,7,11,9,1,3,5,5
2020년05월_남_총인구수,"68,009","3,793","4,041","2,453","21,774","15,278","1,334","17,480","1,856"
2020년05월_남_연령구간인구수,"68,009","3,793","4,041","2,453","21,774","15,278","1,334","17,480","1,856"
2020년05월_남_0~9세,"9,975",93,269,46,"4,262","2,784",30,"2,429",62
2020년05월_남_10~19세,"5,510",178,268,86,"1,641","2,074",38,"1,150",75
2020년05월_남_20~29세,"6,369",388,556,239,"1,795","1,290",123,"1,813",165
2020년05월_남_30~39세,"13,518",340,524,222,"5,692","2,412",117,"4,030",181
2020년05월_남_40~49세,"12,276",440,565,249,"3,987","3,377",143,"3,269",246
2020년05월_남_50~59세,"8,480",779,665,546,"1,951","1,691",286,"2,162",400
2020년05월_남_60~69세,"7,630",902,718,683,"1,640","1,153",329,"1,784",421
2020년05월_남_70~79세,"3,291",512,353,275,649,390,209,672,231
2020년05월_남_80~89세,872,150,115,91,145,95,53,157,66
2020년05월_남_90~99세,76,10,6,12,9,11,6,13,9
2020년05월_남_100세 이상,12,1,2,4,3,1,0,1,0
2020년05월_여_총인구수,"63,548","3,052","3,235","2,141","21,693","15,452","1,183","15,122","1,670"
2020년05월_여_연령구간인구수,"63,548","3,052","3,235","2,141","21,693","15,452","1,183","15,122","1,670"
2020년05월_여_0~9세,"9,422",91,249,48,"4,132","2,625",33,"2,189",55
2020년05월_여_10~19세,"5,289",126,217,68,"1,743","1,984",23,"1,058",70
2020년05월_여_20~29세,"5,521",266,293,151,"1,939","1,235",95,"1,431",111
2020년05월_여_30~39세,"12,909",237,379,142,"5,733","2,947",84,"3,264",123
2020년05월_여_40~49세,"9,619",288,367,148,"3,205","3,159",73,"2,220",159
2020년05월_여_50~59세,"8,030",532,501,469,"2,250","1,677",237,"2,014",350
2020년05월_여_60~69세,"7,317",728,602,574,"1,759","1,198",283,"1,760",413
2020년05월_여_70~79세,"3,335",493,354,318,589,418,207,742,214
2020년05월_여_80~89세,"1,718",242,219,175,273,178,122,374,135
2020년05월_여_90~99세,356,47,49,41,64,31,23,66,35
2020년05월_여_100세 이상,32,2,5,7,6,0,3,4,5
