,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년05월_계_총인구수,"107,868","4,636","7,809","7,325","12,127","8,875","8,062","7,972","7,301","4,790","10,151","4,985","9,889","13,946"
2020년05월_계_연령구간인구수,"107,868","4,636","7,809","7,325","12,127","8,875","8,062","7,972","7,301","4,790","10,151","4,985","9,889","13,946"
2020년05월_계_0~9세,"5,632",227,360,370,909,650,677,471,113,120,516,119,379,721
2020년05월_계_10~19세,"7,357",296,557,503,920,875,776,590,327,207,543,213,555,995
2020년05월_계_20~29세,"13,560",620,774,"1,129","1,597","1,083",972,"1,569",773,445,"1,409",431,948,"1,810"
2020년05월_계_30~39세,"11,420",524,707,795,"1,596",934,932,"1,030",579,397,"1,267",447,823,"1,389"
2020년05월_계_40~49세,"14,658",596,"1,050",998,"1,796","1,386","1,265","1,064",889,644,"1,348",573,"1,289","1,760"
2020년05월_계_50~59세,"18,320",767,"1,364","1,120","1,891","1,499","1,309","1,142","1,321",836,"1,754",954,"1,774","2,589"
2020년05월_계_60~69세,"18,580",786,"1,422","1,206","1,678","1,261","1,118","1,125","1,543",995,"1,705","1,114","2,061","2,566"
2020년05월_계_70~79세,"12,264",515,"1,034",776,"1,148",768,642,622,"1,139",755,"1,123",788,"1,477","1,477"
2020년05월_계_80~89세,"5,217",268,480,363,504,362,318,298,517,337,418,297,505,550
2020년05월_계_90~99세,741,33,57,55,83,54,49,55,72,45,53,42,65,78
2020년05월_계_100세 이상,119,4,4,10,5,3,4,6,28,9,15,7,13,11
2020년05월_남_총인구수,"52,319","2,214","3,807","3,418","5,723","4,114","3,920","3,805","3,709","2,384","4,870","2,534","4,944","6,877"
2020년05월_남_연령구간인구수,"52,319","2,214","3,807","3,418","5,723","4,114","3,920","3,805","3,709","2,384","4,870","2,534","4,944","6,877"
2020년05월_남_0~9세,"2,924",113,190,188,470,331,368,250,57,56,273,59,196,373
2020년05월_남_10~19세,"3,710",143,263,239,459,406,413,285,177,104,283,106,297,535
2020년05월_남_20~29세,"6,735",311,422,521,771,530,500,710,401,239,649,237,519,925
2020년05월_남_30~39세,"5,908",271,372,403,773,450,446,517,328,216,664,271,463,734
2020년05월_남_40~49세,"7,580",313,549,502,887,649,605,544,521,374,686,343,692,915
2020년05월_남_50~59세,"9,367",387,676,563,923,693,644,569,738,470,890,520,966,"1,328"
2020년05월_남_60~69세,"8,665",348,672,523,753,579,540,533,775,483,780,523,984,"1,172"
2020년05월_남_70~79세,"5,343",227,462,342,489,342,273,268,492,329,472,345,643,659
2020년05월_남_80~89세,"1,877",92,189,120,176,120,121,118,194,96,154,116,167,214
2020년05월_남_90~99세,177,9,11,15,20,14,10,8,16,15,15,12,14,18
2020년05월_남_100세 이상,33,0,1,2,2,0,0,3,10,2,4,2,3,4
2020년05월_여_총인구수,"55,549","2,422","4,002","3,907","6,404","4,761","4,142","4,167","3,592","2,406","5,281","2,451","4,945","7,069"
2020년05월_여_연령구간인구수,"55,549","2,422","4,002","3,907","6,404","4,761","4,142","4,167","3,592","2,406","5,281","2,451","4,945","7,069"
2020년05월_여_0~9세,"2,708",114,170,182,439,319,309,221,56,64,243,60,183,348
2020년05월_여_10~19세,"3,647",153,294,264,461,469,363,305,150,103,260,107,258,460
2020년05월_여_20~29세,"6,825",309,352,608,826,553,472,859,372,206,760,194,429,885
2020년05월_여_30~39세,"5,512",253,335,392,823,484,486,513,251,181,603,176,360,655
2020년05월_여_40~49세,"7,078",283,501,496,909,737,660,520,368,270,662,230,597,845
2020년05월_여_50~59세,"8,953",380,688,557,968,806,665,573,583,366,864,434,808,"1,261"
2020년05월_여_60~69세,"9,915",438,750,683,925,682,578,592,768,512,925,591,"1,077","1,394"
2020년05월_여_70~79세,"6,921",288,572,434,659,426,369,354,647,426,651,443,834,818
2020년05월_여_80~89세,"3,340",176,291,243,328,242,197,180,323,241,264,181,338,336
2020년05월_여_90~99세,564,24,46,40,63,40,39,47,56,30,38,30,51,60
2020년05월_여_100세 이상,86,4,3,8,3,3,4,3,18,7,11,5,10,7
