,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년04월_계_총인구수,"2,950,972","137,994","63,866","406,690","371,396","531,526","505,236","300,885","543,994","69,030","20,355"
2020년04월_계_연령구간인구수,"2,950,972","137,994","63,866","406,690","371,396","531,526","505,236","300,885","543,994","69,030","20,355"
2020년04월_계_0~9세,"237,571","12,193","4,162","28,485","36,874","44,488","35,178","19,826","52,115","3,274",976
2020년04월_계_10~19세,"279,083","12,504","5,285","32,592","41,596","51,121","45,106","27,848","57,170","4,721","1,140"
2020년04월_계_20~29세,"405,343","19,250","6,789","57,157","50,851","72,072","72,250","45,347","73,430","5,519","2,678"
2020년04월_계_30~39세,"415,072","21,157","7,395","56,978","55,106","75,783","70,542","39,003","81,731","5,424","1,953"
2020년04월_계_40~49세,"488,260","24,306","10,326","64,217","65,886","90,104","79,698","47,296","96,118","7,874","2,435"
2020년04월_계_50~59세,"515,034","19,917","10,325","68,017","62,570","91,096","92,293","61,777","93,229","12,148","3,662"
2020년04월_계_60~69세,"349,309","15,321","9,795","53,907","35,232","62,715","63,391","36,468","54,936","13,700","3,844"
2020년04월_계_70~79세,"173,536","9,112","6,537","30,790","14,998","30,036","30,928","15,160","23,630","10,034","2,311"
2020년04월_계_80~89세,"75,066","3,562","2,766","12,460","7,008","12,037","13,601","7,046","9,950","5,521","1,115"
2020년04월_계_90~99세,"11,777",594,411,"1,908","1,220","1,950","2,052","1,052","1,582",777,231
2020년04월_계_100세 이상,921,78,75,179,55,124,197,62,103,38,10
2020년04월_남_총인구수,"1,478,916","71,389","32,239","204,942","184,733","264,348","250,187","150,250","274,644","34,609","11,575"
2020년04월_남_연령구간인구수,"1,478,916","71,389","32,239","204,942","184,733","264,348","250,187","150,250","274,644","34,609","11,575"
2020년04월_남_0~9세,"121,907","6,281","2,193","14,570","18,837","22,903","17,983","10,088","26,846","1,707",499
2020년04월_남_10~19세,"143,618","6,480","2,735","16,832","21,349","26,147","23,367","14,373","29,277","2,430",628
2020년04월_남_20~29세,"211,612","9,727","3,676","30,300","26,386","37,277","37,213","23,690","38,208","3,195","1,940"
2020년04월_남_30~39세,"214,442","11,402","3,913","30,535","27,203","38,901","36,509","20,202","41,694","2,855","1,228"
2020년04월_남_40~49세,"249,401","13,334","5,578","33,886","32,377","45,856","40,040","23,512","48,986","4,282","1,550"
2020년04월_남_50~59세,"257,622","10,908","5,454","34,078","31,070","44,895","45,277","30,280","47,324","6,228","2,108"
2020년04월_남_60~69세,"173,159","7,585","4,721","25,865","18,142","30,342","30,895","18,840","27,919","6,802","2,048"
2020년04월_남_70~79세,"78,726","4,217","2,885","13,924","6,839","13,547","13,868","6,775","10,808","4,734","1,129"
2020년04월_남_80~89세,"25,606","1,279",954,"4,475","2,231","4,052","4,562","2,246","3,239","2,175",393
2020년04월_남_90~99세,"2,577",149,107,429,283,399,428,229,314,191,48
2020년04월_남_100세 이상,246,27,23,48,16,29,45,15,29,10,4
2020년04월_여_총인구수,"1,472,056","66,605","31,627","201,748","186,663","267,178","255,049","150,635","269,350","34,421","8,780"
2020년04월_여_연령구간인구수,"1,472,056","66,605","31,627","201,748","186,663","267,178","255,049","150,635","269,350","34,421","8,780"
2020년04월_여_0~9세,"115,664","5,912","1,969","13,915","18,037","21,585","17,195","9,738","25,269","1,567",477
2020년04월_여_10~19세,"135,465","6,024","2,550","15,760","20,247","24,974","21,739","13,475","27,893","2,291",512
2020년04월_여_20~29세,"193,731","9,523","3,113","26,857","24,465","34,795","35,037","21,657","35,222","2,324",738
2020년04월_여_30~39세,"200,630","9,755","3,482","26,443","27,903","36,882","34,033","18,801","40,037","2,569",725
2020년04월_여_40~49세,"238,859","10,972","4,748","30,331","33,509","44,248","39,658","23,784","47,132","3,592",885
2020년04월_여_50~59세,"257,412","9,009","4,871","33,939","31,500","46,201","47,016","31,497","45,905","5,920","1,554"
2020년04월_여_60~69세,"176,150","7,736","5,074","28,042","17,090","32,373","32,496","17,628","27,017","6,898","1,796"
2020년04월_여_70~79세,"94,810","4,895","3,652","16,866","8,159","16,489","17,060","8,385","12,822","5,300","1,182"
2020년04월_여_80~89세,"49,460","2,283","1,812","7,985","4,777","7,985","9,039","4,800","6,711","3,346",722
2020년04월_여_90~99세,"9,200",445,304,"1,479",937,"1,551","1,624",823,"1,268",586,183
2020년04월_여_100세 이상,675,51,52,131,39,95,152,47,74,28,6
