카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년10월_계_총인구수,"117,030","8,407","13,785","4,186","4,273","3,044","3,620","3,593","6,143","2,504","6,321","3,483","3,973","2,273","34,956","16,469"
2020년10월_계_연령구간인구수,"117,030","8,407","13,785","4,186","4,273","3,044","3,620","3,593","6,143","2,504","6,321","3,483","3,973","2,273","34,956","16,469"
2020년10월_계_0~9세,"7,304",348,901,119,111,121,72,90,195,63,394,60,104,61,"3,379","1,286"
2020년10월_계_10~19세,"9,911",677,"1,117",182,236,149,167,158,327,131,421,134,201,141,"3,978","1,892"
2020년10월_계_20~29세,"11,445",730,"1,323",296,302,205,228,269,384,118,445,241,437,145,"4,513","1,809"
2020년10월_계_30~39세,"10,874",572,"1,309",251,253,226,220,216,339,119,567,173,244,128,"4,620","1,637"
2020년10월_계_40~49세,"15,495",997,"1,694",366,410,305,395,357,564,247,656,316,442,215,"5,881","2,650"
2020년10월_계_50~59세,"19,803","1,503","2,204",704,785,481,707,679,"1,226",439,"1,065",590,741,375,"5,426","2,878"
2020년10월_계_60~69세,"19,852","1,661","2,393",932,951,647,825,830,"1,470",606,"1,161",876,808,529,"3,916","2,247"
2020년10월_계_70~79세,"13,030","1,163","1,623",733,701,509,557,572,948,443,895,615,546,375,"2,045","1,305"
2020년10월_계_80~89세,"8,034",632,"1,050",539,477,344,389,360,589,276,617,409,381,252,"1,041",678
2020년10월_계_90~99세,"1,191",108,162,62,44,53,54,58,94,56,95,65,64,49,145,82
2020년10월_계_100세 이상,91,16,9,2,3,4,6,4,7,6,5,4,5,3,12,5
2020년10월_남_총인구수,"58,493","4,095","6,882","2,107","2,171","1,535","1,805","1,844","3,201","1,268","3,219","1,772","2,094","1,094","17,417","7,989"
2020년10월_남_연령구간인구수,"58,493","4,095","6,882","2,107","2,171","1,535","1,805","1,844","3,201","1,268","3,219","1,772","2,094","1,094","17,417","7,989"
2020년10월_남_0~9세,"3,741",184,460,60,54,67,35,50,109,28,216,37,50,29,"1,713",649
2020년10월_남_10~19세,"5,129",344,573,97,117,77,93,75,181,72,240,74,92,64,"2,064",966
2020년10월_남_20~29세,"6,396",417,754,170,173,113,118,161,236,64,255,141,266,85,"2,449",994
2020년10월_남_30~39세,"5,757",297,725,159,152,132,117,128,185,75,299,101,161,74,"2,354",798
2020년10월_남_40~49세,"8,217",525,939,236,255,176,216,223,326,151,362,180,285,118,"2,916","1,309"
2020년10월_남_50~59세,"10,412",766,"1,152",371,425,280,395,381,683,239,563,322,427,204,"2,745","1,459"
2020년10월_남_60~69세,"9,982",797,"1,197",479,512,325,427,432,787,323,614,468,421,275,"1,885","1,040"
2020년10월_남_70~79세,"5,765",494,708,304,320,239,261,265,449,209,407,287,248,149,896,529
2020년10월_남_80~89세,"2,771",235,337,211,153,111,124,119,221,88,237,139,131,81,353,231
2020년10월_남_90~99세,302,29,36,20,9,14,19,10,23,18,25,22,12,15,38,12
2020년10월_남_100세 이상,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020년10월_여_총인구수,"58,537","4,312","6,903","2,079","2,102","1,509","1,815","1,749","2,942","1,236","3,102","1,711","1,879","1,179","17,539","8,480"
2020년10월_여_연령구간인구수,"58,537","4,312","6,903","2,079","2,102","1,509","1,815","1,749","2,942","1,236","3,102","1,711","1,879","1,179","17,539","8,480"
2020년10월_여_0~9세,"3,563",164,441,59,57,54,37,40,86,35,178,23,54,32,"1,666",637
2020년10월_여_10~19세,"4,782",333,544,85,119,72,74,83,146,59,181,60,109,77,"1,914",926
2020년10월_여_20~29세,"5,049",313,569,126,129,92,110,108,148,54,190,100,171,60,"2,064",815
2020년10월_여_30~39세,"5,117",275,584,92,101,94,103,88,154,44,268,72,83,54,"2,266",839
2020년10월_여_40~49세,"7,278",472,755,130,155,129,179,134,238,96,294,136,157,97,"2,965","1,341"
2020년10월_여_50~59세,"9,391",737,"1,052",333,360,201,312,298,543,200,502,268,314,171,"2,681","1,419"
2020년10월_여_60~69세,"9,870",864,"1,196",453,439,322,398,398,683,283,547,408,387,254,"2,031","1,207"
2020년10월_여_70~79세,"7,265",669,915,429,381,270,296,307,499,234,488,328,298,226,"1,149",776
2020년10월_여_80~89세,"5,263",397,713,328,324,233,265,241,368,188,380,270,250,171,688,447
2020년10월_여_90~99세,889,79,126,42,35,39,35,48,71,38,70,43,52,34,107,70
2020년10월_여_100세 이상,70,9,8,2,2,3,6,4,6,5,4,3,4,3,8,3
