카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년07월_계_총인구수,"117,931","30,517","10,242","4,672","13,482","7,814","9,604","3,874","3,750","4,552","6,801","17,531","5,092"
2020년07월_계_연령구간인구수,"117,931","30,517","10,242","4,672","13,482","7,814","9,604","3,874","3,750","4,552","6,801","17,531","5,092"
2020년07월_계_0~9세,"7,420","2,278",947,170,734,487,645,124,117,141,229,"1,320",228
2020년07월_계_10~19세,"9,726","3,280",908,245,"1,042",547,819,236,158,193,389,"1,588",321
2020년07월_계_20~29세,"10,518","3,517",810,321,"1,246",718,598,263,237,278,477,"1,642",411
2020년07월_계_30~39세,"10,942","3,246","1,221",383,"1,222",783,838,295,205,293,406,"1,668",382
2020년07월_계_40~49세,"16,352","4,827","1,645",518,"1,828","1,024","1,507",450,370,385,706,"2,483",609
2020년07월_계_50~59세,"20,935","5,400","1,681",904,"2,439","1,393","1,724",693,692,897,"1,291","2,904",917
2020년07월_계_60~69세,"22,007","4,279","1,666","1,176","2,616","1,582","1,988",919,940,"1,146","1,607","2,950","1,138"
2020년07월_계_70~79세,"12,908","2,386",900,691,"1,575",865,"1,010",568,600,700,"1,013","1,897",703
2020년07월_계_80~89세,"6,116","1,148",402,220,661,356,396,290,382,435,573,911,342
2020년07월_계_90~99세,941,142,58,43,109,56,74,36,41,76,107,160,39
2020년07월_계_100세 이상,66,14,4,1,10,3,5,0,8,8,3,8,2
2020년07월_남_총인구수,"59,192","15,290","5,059","2,367","6,758","3,939","4,761","1,973","1,891","2,256","3,458","8,849","2,591"
2020년07월_남_연령구간인구수,"59,192","15,290","5,059","2,367","6,758","3,939","4,761","1,973","1,891","2,256","3,458","8,849","2,591"
2020년07월_남_0~9세,"3,800","1,180",476,94,372,239,306,62,61,79,140,684,107
2020년07월_남_10~19세,"5,154","1,700",454,144,560,284,445,124,92,100,224,851,176
2020년07월_남_20~29세,"5,812","1,912",430,187,667,427,329,145,122,158,283,916,236
2020년07월_남_30~39세,"5,539","1,637",591,195,633,401,396,176,113,161,205,832,199
2020년07월_남_40~49세,"8,380","2,352",823,274,939,550,756,250,213,215,394,"1,285",329
2020년07월_남_50~59세,"10,726","2,799",832,445,"1,243",702,839,349,362,474,656,"1,541",484
2020년07월_남_60~69세,"10,884","2,132",810,566,"1,255",762,975,477,475,560,854,"1,455",563
2020년07월_남_70~79세,"6,344","1,139",468,366,772,426,543,281,290,328,473,900,358
2020년07월_남_80~89세,"2,317",400,157,89,287,133,155,104,157,162,197,347,129
2020년07월_남_90~99세,222,36,18,6,25,15,16,5,5,18,32,37,9
2020년07월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년07월_여_총인구수,"58,739","15,227","5,183","2,305","6,724","3,875","4,843","1,901","1,859","2,296","3,343","8,682","2,501"
2020년07월_여_연령구간인구수,"58,739","15,227","5,183","2,305","6,724","3,875","4,843","1,901","1,859","2,296","3,343","8,682","2,501"
2020년07월_여_0~9세,"3,620","1,098",471,76,362,248,339,62,56,62,89,636,121
2020년07월_여_10~19세,"4,572","1,580",454,101,482,263,374,112,66,93,165,737,145
2020년07월_여_20~29세,"4,706","1,605",380,134,579,291,269,118,115,120,194,726,175
2020년07월_여_30~39세,"5,403","1,609",630,188,589,382,442,119,92,132,201,836,183
2020년07월_여_40~49세,"7,972","2,475",822,244,889,474,751,200,157,170,312,"1,198",280
2020년07월_여_50~59세,"10,209","2,601",849,459,"1,196",691,885,344,330,423,635,"1,363",433
2020년07월_여_60~69세,"11,123","2,147",856,610,"1,361",820,"1,013",442,465,586,753,"1,495",575
2020년07월_여_70~79세,"6,564","1,247",432,325,803,439,467,287,310,372,540,997,345
2020년07월_여_80~89세,"3,799",748,245,131,374,223,241,186,225,273,376,564,213
2020년07월_여_90~99세,719,106,40,37,84,41,58,31,36,58,75,123,30
2020년07월_여_100세 이상,52,11,4,0,5,3,4,0,7,7,3,7,1
