카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년12월_계_총인구수,"316,129","6,531","75,617","4,254","21,675","19,932","21,724","5,524","6,553","3,133","4,464","19,945","9,468","10,785","36,876","18,873","21,656","29,119"
2020년12월_계_연령구간인구수,"316,129","6,531","75,617","4,254","21,675","19,932","21,724","5,524","6,553","3,133","4,464","19,945","9,468","10,785","36,876","18,873","21,656","29,119"
2020년12월_계_0~9세,"32,946",371,"9,551",204,"2,975","2,582","2,475",144,306,64,113,"1,608",901,433,"4,066","1,572","2,267","3,314"
2020년12월_계_10~19세,"34,460",498,"9,300",357,"2,956","1,732","1,449",272,407,109,183,"2,057",732,805,"4,851","2,456","2,749","3,547"
2020년12월_계_20~29세,"36,591",564,"9,535",312,"2,765","2,029","2,419",417,572,192,352,"2,373","1,079","1,688","4,490","2,149","2,759","2,896"
2020년12월_계_30~39세,"48,420",630,"13,883",264,"4,068","3,617","4,626",392,626,179,297,"2,359","1,750","1,212","5,136","2,182","2,987","4,212"
2020년12월_계_40~49세,"56,301",873,"14,471",555,"4,559","3,455","3,517",585,960,269,403,"3,452","1,519","1,460","7,026","3,510","4,082","5,605"
2020년12월_계_50~59세,"46,289","1,139","9,664",765,"2,374","2,762","3,081",998,"1,274",523,860,"3,230","1,329","2,037","5,290","3,218","3,347","4,398"
2020년12월_계_60~69세,"31,885","1,163","5,291",810,"1,048","2,123","2,292","1,218","1,123",763,974,"2,440","1,118","1,627","3,285","2,004","1,875","2,731"
2020년12월_계_70~79세,"18,089",728,"2,553",580,574,989,"1,143",835,707,569,733,"1,515",671,"1,013","1,788","1,143","1,038","1,510"
2020년12월_계_80~89세,"9,708",495,"1,189",347,307,554,619,579,507,404,493,807,300,439,826,551,476,815
2020년12월_계_90~99세,"1,326",66,170,56,49,87,100,80,68,52,53,95,56,60,106,80,66,82
2020년12월_계_100세 이상,114,4,10,4,0,2,3,4,3,9,3,9,13,11,12,8,10,9
2020년12월_남_총인구수,"164,115","3,416","38,876","2,184","11,769","10,787","12,181","2,917","3,634","1,627","2,281","10,388","4,947","5,590","18,382","9,638","11,058","14,440"
2020년12월_남_연령구간인구수,"164,115","3,416","38,876","2,184","11,769","10,787","12,181","2,917","3,634","1,627","2,281","10,388","4,947","5,590","18,382","9,638","11,058","14,440"
2020년12월_남_0~9세,"16,919",182,"4,898",103,"1,525","1,285","1,285",73,161,38,50,826,459,208,"2,091",843,"1,199","1,693"
2020년12월_남_10~19세,"17,723",258,"4,773",191,"1,536",915,730,161,220,55,89,"1,037",395,424,"2,435","1,282","1,447","1,775"
2020년12월_남_20~29세,"20,331",340,"5,048",175,"1,631","1,252","1,436",263,362,106,202,"1,360",563,971,"2,356","1,232","1,547","1,487"
2020년12월_남_30~39세,"25,895",394,"7,176",146,"2,126","1,996","2,797",236,398,118,175,"1,264",968,726,"2,573","1,135","1,554","2,113"
2020년12월_남_40~49세,"30,589",504,"7,674",311,"2,617","2,049","2,217",364,616,176,243,"1,866",871,786,"3,584","1,786","2,066","2,859"
2020년12월_남_50~59세,"24,979",605,"5,102",427,"1,444","1,527","1,738",554,753,305,490,"1,793",715,"1,051","2,733","1,689","1,717","2,336"
2020년12월_남_60~69세,"15,903",582,"2,612",409,525,"1,094","1,226",654,603,370,507,"1,268",544,788,"1,542",965,912,"1,302"
2020년12월_남_70~79세,"8,042",349,"1,146",281,251,474,529,381,326,287,326,660,304,458,749,494,425,602
2020년12월_남_80~89세,"3,410",185,404,129,105,181,205,211,179,155,188,288,115,161,288,189,175,252
2020년12월_남_90~99세,294,15,37,12,9,14,18,18,15,12,11,25,8,15,30,22,15,18
2020년12월_남_100세 이상,30,2,6,0,0,0,0,2,1,5,0,1,5,2,1,1,1,3
2020년12월_여_총인구수,"152,014","3,115","36,741","2,070","9,906","9,145","9,543","2,607","2,919","1,506","2,183","9,557","4,521","5,195","18,494","9,235","10,598","14,679"
2020년12월_여_연령구간인구수,"152,014","3,115","36,741","2,070","9,906","9,145","9,543","2,607","2,919","1,506","2,183","9,557","4,521","5,195","18,494","9,235","10,598","14,679"
2020년12월_여_0~9세,"16,027",189,"4,653",101,"1,450","1,297","1,190",71,145,26,63,782,442,225,"1,975",729,"1,068","1,621"
2020년12월_여_10~19세,"16,737",240,"4,527",166,"1,420",817,719,111,187,54,94,"1,020",337,381,"2,416","1,174","1,302","1,772"
2020년12월_여_20~29세,"16,260",224,"4,487",137,"1,134",777,983,154,210,86,150,"1,013",516,717,"2,134",917,"1,212","1,409"
2020년12월_여_30~39세,"22,525",236,"6,707",118,"1,942","1,621","1,829",156,228,61,122,"1,095",782,486,"2,563","1,047","1,433","2,099"
2020년12월_여_40~49세,"25,712",369,"6,797",244,"1,942","1,406","1,300",221,344,93,160,"1,586",648,674,"3,442","1,724","2,016","2,746"
2020년12월_여_50~59세,"21,310",534,"4,562",338,930,"1,235","1,343",444,521,218,370,"1,437",614,986,"2,557","1,529","1,630","2,062"
2020년12월_여_60~69세,"15,982",581,"2,679",401,523,"1,029","1,066",564,520,393,467,"1,172",574,839,"1,743","1,039",963,"1,429"
2020년12월_여_70~79세,"10,047",379,"1,407",299,323,515,614,454,381,282,407,855,367,555,"1,039",649,613,908
2020년12월_여_80~89세,"6,298",310,785,218,202,373,414,368,328,249,305,519,185,278,538,362,301,563
2020년12월_여_90~99세,"1,032",51,133,44,40,73,82,62,53,40,42,70,48,45,76,58,51,64
2020년12월_여_100세 이상,84,2,4,4,0,2,3,2,2,4,3,8,8,9,11,7,9,6
