카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년07월_계_총인구수,"23,849","9,414","2,205","4,022","2,577","4,229","1,402"
2021년07월_계_연령구간인구수,"23,849","9,414","2,205","4,022","2,577","4,229","1,402"
2021년07월_계_0~9세,"1,108",683,50,158,61,122,34
2021년07월_계_10~19세,"1,793",984,106,286,113,248,56
2021년07월_계_20~29세,"1,721",868,107,325,138,228,55
2021년07월_계_30~39세,"1,660",875,125,248,110,237,65
2021년07월_계_40~49세,"2,769","1,416",184,475,222,371,101
2021년07월_계_50~59세,"4,130","1,495",436,773,443,748,235
2021년07월_계_60~69세,"4,577","1,327",531,806,580,963,370
2021년07월_계_70~79세,"3,313",991,354,539,467,694,268
2021년07월_계_80~89세,"2,415",663,275,364,390,541,182
2021년07월_계_90~99세,340,104,36,46,51,68,35
2021년07월_계_100세 이상,23,8,1,2,2,9,1
2021년07월_남_총인구수,"11,875","4,695","1,098","2,019","1,267","2,091",705
2021년07월_남_연령구간인구수,"11,875","4,695","1,098","2,019","1,267","2,091",705
2021년07월_남_0~9세,596,369,29,89,28,66,15
2021년07월_남_10~19세,908,485,60,162,53,121,27
2021년07월_남_20~29세,956,473,62,164,89,132,36
2021년07월_남_30~39세,911,456,70,141,70,137,37
2021년07월_남_40~49세,"1,538",742,110,269,125,227,65
2021년07월_남_50~59세,"2,282",830,225,432,250,408,137
2021년07월_남_60~69세,"2,369",661,275,414,313,506,200
2021년07월_남_70~79세,"1,397",426,164,214,184,293,116
2021년07월_남_80~89세,839,234,92,125,142,184,62
2021년07월_남_90~99세,75,19,10,9,13,14,10
2021년07월_남_100세 이상,4,0,1,0,0,3,0
2021년07월_여_총인구수,"11,974","4,719","1,107","2,003","1,310","2,138",697
2021년07월_여_연령구간인구수,"11,974","4,719","1,107","2,003","1,310","2,138",697
2021년07월_여_0~9세,512,314,21,69,33,56,19
2021년07월_여_10~19세,885,499,46,124,60,127,29
2021년07월_여_20~29세,765,395,45,161,49,96,19
2021년07월_여_30~39세,749,419,55,107,40,100,28
2021년07월_여_40~49세,"1,231",674,74,206,97,144,36
2021년07월_여_50~59세,"1,848",665,211,341,193,340,98
2021년07월_여_60~69세,"2,208",666,256,392,267,457,170
2021년07월_여_70~79세,"1,916",565,190,325,283,401,152
2021년07월_여_80~89세,"1,576",429,183,239,248,357,120
2021년07월_여_90~99세,265,85,26,37,38,54,25
2021년07월_여_100세 이상,19,8,0,2,2,6,1
