,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년05월_계_총인구수,"63,795","7,225","6,377","8,058","10,919","3,848","1,735","3,082","8,318","4,195","6,890","3,148"
2020년05월_계_연령구간인구수,"63,795","7,225","6,377","8,058","10,919","3,848","1,735","3,082","8,318","4,195","6,890","3,148"
2020년05월_계_0~9세,"4,139",518,292,403,907,143,104,100,545,353,648,126
2020년05월_계_10~19세,"5,254",624,517,647,958,237,113,177,748,436,570,227
2020년05월_계_20~29세,"6,768",769,742,846,"1,252",437,178,272,862,475,618,317
2020년05월_계_30~39세,"7,361",862,602,817,"1,537",372,189,247,990,534,941,270
2020년05월_계_40~49세,"10,292","1,262",946,"1,280","1,853",551,265,380,"1,412",749,"1,161",433
2020년05월_계_50~59세,"10,306","1,213","1,087","1,314","1,621",712,263,536,"1,317",716,"1,066",461
2020년05월_계_60~69세,"9,828",993,"1,068","1,343","1,502",689,298,630,"1,208",537,967,593
2020년05월_계_70~79세,"6,584",629,755,952,920,453,212,463,845,270,593,492
2020년05월_계_80~89세,"2,778",296,308,403,314,232,98,234,326,98,273,196
2020년05월_계_90~99세,410,49,49,47,44,21,14,36,56,22,48,24
2020년05월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년05월_남_총인구수,"32,230","3,708","3,210","4,005","5,412","1,967",849,"1,575","4,282","2,164","3,445","1,613"
2020년05월_남_연령구간인구수,"32,230","3,708","3,210","4,005","5,412","1,967",849,"1,575","4,282","2,164","3,445","1,613"
2020년05월_남_0~9세,"2,185",276,157,215,463,73,55,55,304,179,340,68
2020년05월_남_10~19세,"2,718",323,268,316,507,115,50,84,388,217,316,134
2020년05월_남_20~29세,"3,671",430,399,453,654,245,99,165,497,245,314,170
2020년05월_남_30~39세,"3,912",449,316,459,772,201,103,142,543,296,477,154
2020년05월_남_40~49세,"5,551",678,493,702,977,315,138,226,750,395,628,249
2020년05월_남_50~59세,"5,449",672,591,677,782,397,131,297,702,388,554,258
2020년05월_남_60~69세,"4,740",508,513,630,692,350,150,302,584,270,452,289
2020년05월_남_70~79세,"2,909",267,342,403,436,190,86,207,372,128,267,211
2020년05월_남_80~89세,964,88,116,137,115,73,32,85,122,37,90,69
2020년05월_남_90~99세,108,14,13,12,9,8,5,10,18,6,7,6
2020년05월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년05월_여_총인구수,"31,565","3,517","3,167","4,053","5,507","1,881",886,"1,507","4,036","2,031","3,445","1,535"
2020년05월_여_연령구간인구수,"31,565","3,517","3,167","4,053","5,507","1,881",886,"1,507","4,036","2,031","3,445","1,535"
2020년05월_여_0~9세,"1,954",242,135,188,444,70,49,45,241,174,308,58
2020년05월_여_10~19세,"2,536",301,249,331,451,122,63,93,360,219,254,93
2020년05월_여_20~29세,"3,097",339,343,393,598,192,79,107,365,230,304,147
2020년05월_여_30~39세,"3,449",413,286,358,765,171,86,105,447,238,464,116
2020년05월_여_40~49세,"4,741",584,453,578,876,236,127,154,662,354,533,184
2020년05월_여_50~59세,"4,857",541,496,637,839,315,132,239,615,328,512,203
2020년05월_여_60~69세,"5,088",485,555,713,810,339,148,328,624,267,515,304
2020년05월_여_70~79세,"3,675",362,413,549,484,263,126,256,473,142,326,281
2020년05월_여_80~89세,"1,814",208,192,266,199,159,66,149,204,61,183,127
2020년05월_여_90~99세,302,35,36,35,35,13,9,26,38,16,41,18
2020년05월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
