카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년04월_계_총인구수,"25,400","10,740","1,275","1,501","2,524","2,637","2,278","1,466","2,979"
2021년04월_계_연령구간인구수,"25,400","10,740","1,275","1,501","2,524","2,637","2,278","1,466","2,979"
2021년04월_계_0~9세,"1,105",673,40,49,52,104,59,42,86
2021년04월_계_10~19세,"1,786","1,031",67,66,140,174,99,57,152
2021년04월_계_20~29세,"1,904","1,017",73,78,137,180,118,103,198
2021년04월_계_30~39세,"1,624",853,53,70,109,151,142,97,149
2021년04월_계_40~49세,"2,818","1,429",126,141,218,325,171,152,256
2021년04월_계_50~59세,"4,528","1,887",248,279,524,444,367,217,562
2021년04월_계_60~69세,"4,812","1,741",273,294,615,512,462,291,624
2021년04월_계_70~79세,"3,845","1,264",214,305,384,410,447,278,543
2021년04월_계_80~89세,"2,570",723,155,195,290,292,354,197,364
2021년04월_계_90~99세,389,118,25,22,52,39,57,32,44
2021년04월_계_100세 이상,19,4,1,2,3,6,2,0,1
2021년04월_남_총인구수,"12,360","5,224",644,736,"1,228","1,297","1,079",702,"1,450"
2021년04월_남_연령구간인구수,"12,360","5,224",644,736,"1,228","1,297","1,079",702,"1,450"
2021년04월_남_0~9세,543,329,23,25,24,51,26,21,44
2021년04월_남_10~19세,932,546,32,27,72,100,56,32,67
2021년04월_남_20~29세,"1,035",537,45,39,81,91,63,60,119
2021년04월_남_30~39세,873,436,26,34,67,88,83,55,84
2021년04월_남_40~49세,"1,528",717,77,90,121,179,109,83,152
2021년04월_남_50~59세,"2,522",980,145,172,294,271,210,126,324
2021년04월_남_60~69세,"2,387",864,147,148,307,245,226,138,312
2021년04월_남_70~79세,"1,615",542,88,129,157,170,187,119,223
2021년04월_남_80~89세,839,246,59,66,92,92,108,59,117
2021년04월_남_90~99세,84,27,2,6,13,8,11,9,8
2021년04월_남_100세 이상,2,0,0,0,0,2,0,0,0
2021년04월_여_총인구수,"13,040","5,516",631,765,"1,296","1,340","1,199",764,"1,529"
2021년04월_여_연령구간인구수,"13,040","5,516",631,765,"1,296","1,340","1,199",764,"1,529"
2021년04월_여_0~9세,562,344,17,24,28,53,33,21,42
2021년04월_여_10~19세,854,485,35,39,68,74,43,25,85
2021년04월_여_20~29세,869,480,28,39,56,89,55,43,79
2021년04월_여_30~39세,751,417,27,36,42,63,59,42,65
2021년04월_여_40~49세,"1,290",712,49,51,97,146,62,69,104
2021년04월_여_50~59세,"2,006",907,103,107,230,173,157,91,238
2021년04월_여_60~69세,"2,425",877,126,146,308,267,236,153,312
2021년04월_여_70~79세,"2,230",722,126,176,227,240,260,159,320
2021년04월_여_80~89세,"1,731",477,96,129,198,200,246,138,247
2021년04월_여_90~99세,305,91,23,16,39,31,46,23,36
2021년04월_여_100세 이상,17,4,1,2,3,4,2,0,1
