카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년01월_계_총인구수,"27,248","7,420","1,302","1,619","1,455","1,685","3,704","1,310","1,524","3,333","1,534","1,162","1,200"
2021년01월_계_연령구간인구수,"27,248","7,420","1,302","1,619","1,455","1,685","3,704","1,310","1,524","3,333","1,534","1,162","1,200"
2021년01월_계_0~9세,"1,339",662,30,49,55,53,116,37,41,163,43,36,54
2021년01월_계_10~19세,"1,676",737,56,58,71,81,227,50,65,162,73,45,51
2021년01월_계_20~29세,"2,069",728,75,110,98,104,270,82,75,255,141,63,68
2021년01월_계_30~39세,"1,934",787,62,94,95,89,242,67,69,228,68,68,65
2021년01월_계_40~49세,"2,823","1,063",122,139,128,145,352,115,118,322,146,82,91
2021년01월_계_50~59세,"4,674","1,068",207,343,234,295,617,241,252,642,315,241,219
2021년01월_계_60~69세,"5,000","1,017",249,391,301,321,746,268,311,656,284,231,225
2021년01월_계_70~79세,"4,284",777,263,238,266,331,615,248,301,528,264,236,217
2021년01월_계_80~89세,"2,995",508,203,163,185,234,450,174,249,336,169,143,181
2021년01월_계_90~99세,432,70,34,34,20,30,68,27,43,38,27,12,29
2021년01월_계_100세 이상,22,3,1,0,2,2,1,1,0,3,4,5,0
2021년01월_남_총인구수,"13,938","3,804",652,840,742,871,"1,876",683,760,"1,707",817,581,605
2021년01월_남_연령구간인구수,"13,938","3,804",652,840,742,871,"1,876",683,760,"1,707",817,581,605
2021년01월_남_0~9세,715,365,13,25,27,26,69,22,19,87,20,11,31
2021년01월_남_10~19세,882,369,30,37,45,48,128,22,30,80,47,21,25
2021년01월_남_20~29세,"1,224",426,47,58,59,66,156,52,48,144,90,33,45
2021년01월_남_30~39세,"1,070",412,36,48,59,53,140,36,38,132,44,40,32
2021년01월_남_40~49세,"1,715",592,84,85,77,96,205,73,77,202,109,51,64
2021년01월_남_50~59세,"2,658",594,118,195,130,162,353,155,148,368,177,145,113
2021년01월_남_60~69세,"2,688",525,139,214,157,181,393,159,163,333,160,130,134
2021년01월_남_70~79세,"1,886",344,110,111,121,148,260,97,142,251,114,96,92
2021년01월_남_80~89세,990,166,67,56,59,84,152,60,86,97,50,53,60
2021년01월_남_90~99세,104,10,7,11,8,6,19,6,9,13,6,0,9
2021년01월_남_100세 이상,6,1,1,0,0,1,1,1,0,0,0,1,0
2021년01월_여_총인구수,"13,310","3,616",650,779,713,814,"1,828",627,764,"1,626",717,581,595
2021년01월_여_연령구간인구수,"13,310","3,616",650,779,713,814,"1,828",627,764,"1,626",717,581,595
2021년01월_여_0~9세,624,297,17,24,28,27,47,15,22,76,23,25,23
2021년01월_여_10~19세,794,368,26,21,26,33,99,28,35,82,26,24,26
2021년01월_여_20~29세,845,302,28,52,39,38,114,30,27,111,51,30,23
2021년01월_여_30~39세,864,375,26,46,36,36,102,31,31,96,24,28,33
2021년01월_여_40~49세,"1,108",471,38,54,51,49,147,42,41,120,37,31,27
2021년01월_여_50~59세,"2,016",474,89,148,104,133,264,86,104,274,138,96,106
2021년01월_여_60~69세,"2,312",492,110,177,144,140,353,109,148,323,124,101,91
2021년01월_여_70~79세,"2,398",433,153,127,145,183,355,151,159,277,150,140,125
2021년01월_여_80~89세,"2,005",342,136,107,126,150,298,114,163,239,119,90,121
2021년01월_여_90~99세,328,60,27,23,12,24,49,21,34,25,21,12,20
2021년01월_여_100세 이상,16,2,0,0,2,1,0,0,0,3,4,4,0
