카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년11월_계_총인구수,"402,518","23,084","31,194","28,620","26,151","15,822","18,256","32,276","16,412","23,400","9,986","35,445","13,359","9,073","16,568","14,473","24,384","38,473","25,542"
2020년11월_계_연령구간인구수,"402,518","23,084","31,194","28,620","26,151","15,822","18,256","32,276","16,412","23,400","9,986","35,445","13,359","9,073","16,568","14,473","24,384","38,473","25,542"
2020년11월_계_0~9세,"28,540","1,315","2,867","2,837","2,019","1,236","1,259","2,080","1,106","1,746",510,"2,645",520,256,"1,301",382,977,"4,152","1,332"
2020년11월_계_10~19세,"38,243","1,611","3,153","3,126","2,389","1,153","2,069","2,918","1,844","3,046",507,"4,258",680,539,"1,592",793,"1,564","4,939","2,062"
2020년11월_계_20~29세,"49,217","3,066","3,564","2,924","3,323","1,697","2,825","5,097","1,998","3,010","1,208","4,281","1,491","1,009","2,152","1,665","2,487","4,181","3,239"
2020년11월_계_30~39세,"46,858","2,961","3,858","3,449","3,272","2,223","2,088","4,460","1,667","2,351","1,301","3,702","1,608",830,"2,048","1,177","2,066","4,876","2,921"
2020년11월_계_40~49세,"65,978","3,500","5,334","4,971","4,481","2,713","3,259","5,049","2,557","4,097","1,331","6,353","1,786","1,166","2,642","1,794","3,251","7,800","3,894"
2020년11월_계_50~59세,"70,483","3,885","5,399","4,836","4,564","2,774","3,167","5,767","3,017","4,332","1,728","6,326","2,482","1,755","3,028","2,786","4,329","5,506","4,802"
2020년11월_계_60~69세,"57,704","3,662","3,885","3,755","3,362","2,420","1,823","3,787","2,228","2,639","1,909","4,668","2,557","1,869","2,425","2,848","5,106","4,276","4,485"
2020년11월_계_70~79세,"30,733","2,155","2,094","1,837","1,851","1,129","1,071","1,954","1,195","1,366",966,"2,207","1,576","1,122","1,011","2,059","3,150","1,991","1,999"
2020년11월_계_80~89세,"12,904",794,887,772,788,407,617,"1,039",706,715,456,869,586,471,324,839,"1,268",652,714
2020년11월_계_90~99세,"1,698",109,145,109,85,62,76,124,94,98,66,132,58,50,43,103,163,94,87
2020년11월_계_100세 이상,160,26,8,4,17,8,2,1,0,0,4,4,15,6,2,27,23,6,7
2020년11월_남_총인구수,"193,777","11,023","14,850","13,517","12,571","7,527","8,529","14,904","7,725","11,135","4,826","17,577","6,484","4,445","8,159","7,279","11,843","18,964","12,419"
2020년11월_남_연령구간인구수,"193,777","11,023","14,850","13,517","12,571","7,527","8,529","14,904","7,725","11,135","4,826","17,577","6,484","4,445","8,159","7,279","11,843","18,964","12,419"
2020년11월_남_0~9세,"14,755",653,"1,483","1,463","1,063",608,626,"1,076",557,925,285,"1,371",260,133,674,195,517,"2,190",676
2020년11월_남_10~19세,"19,764",822,"1,595","1,560","1,233",599,"1,109","1,497",954,"1,554",275,"2,244",360,286,808,412,818,"2,573","1,065"
2020년11월_남_20~29세,"25,773","1,537","1,863","1,528","1,708",897,"1,334","2,404","1,083","1,580",653,"2,336",822,555,"1,173",942,"1,363","2,201","1,794"
2020년11월_남_30~39세,"22,835","1,479","1,761","1,483","1,563","1,060",961,"2,107",795,"1,077",697,"1,789",895,480,"1,023",696,"1,146","2,292","1,531"
2020년11월_남_40~49세,"31,297","1,667","2,426","2,270","2,071","1,319","1,401","2,213","1,130","1,810",719,"2,967",933,629,"1,287","1,032","1,766","3,728","1,929"
2020년11월_남_50~59세,"33,517","1,820","2,591","2,228","2,188","1,252","1,556","2,593","1,407","2,049",759,"3,165","1,184",871,"1,411","1,437","2,096","2,719","2,191"
2020년11월_남_60~69세,"27,307","1,696","1,801","1,775","1,597","1,137",875,"1,805","1,039","1,284",875,"2,324","1,163",837,"1,186","1,388","2,413","2,027","2,085"
2020년11월_남_70~79세,"13,547","1,001",960,862,809,491,421,797,485,578,404,"1,042",661,488,496,847,"1,311",976,918
2020년11월_남_80~89세,"4,575",318,338,318,315,147,215,381,245,255,149,308,190,153,93,305,380,243,222
2020년11월_남_90~99세,363,23,30,28,21,15,30,31,30,23,10,28,14,11,7,15,27,13,7
2020년11월_남_100세 이상,44,7,2,2,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년11월_여_총인구수,"208,741","12,061","16,344","15,103","13,580","8,295","9,727","17,372","8,687","12,265","5,160","17,868","6,875","4,628","8,409","7,194","12,541","19,509","13,123"
2020년11월_여_연령구간인구수,"208,741","12,061","16,344","15,103","13,580","8,295","9,727","17,372","8,687","12,265","5,160","17,868","6,875","4,628","8,409","7,194","12,541","19,509","13,123"
2020년11월_여_0~9세,"13,785",662,"1,384","1,374",956,628,633,"1,004",549,821,225,"1,274",260,123,627,187,460,"1,962",656
2020년11월_여_10~19세,"18,479",789,"1,558","1,566","1,156",554,960,"1,421",890,"1,492",232,"2,014",320,253,784,381,746,"2,366",997
2020년11월_여_20~29세,"23,444","1,529","1,701","1,396","1,615",800,"1,491","2,693",915,"1,430",555,"1,945",669,454,979,723,"1,124","1,980","1,445"
2020년11월_여_30~39세,"24,023","1,482","2,097","1,966","1,709","1,163","1,127","2,353",872,"1,274",604,"1,913",713,350,"1,025",481,920,"2,584","1,390"
2020년11월_여_40~49세,"34,681","1,833","2,908","2,701","2,410","1,394","1,858","2,836","1,427","2,287",612,"3,386",853,537,"1,355",762,"1,485","4,072","1,965"
2020년11월_여_50~59세,"36,966","2,065","2,808","2,608","2,376","1,522","1,611","3,174","1,610","2,283",969,"3,161","1,298",884,"1,617","1,349","2,233","2,787","2,611"
2020년11월_여_60~69세,"30,397","1,966","2,084","1,980","1,765","1,283",948,"1,982","1,189","1,355","1,034","2,344","1,394","1,032","1,239","1,460","2,693","2,249","2,400"
2020년11월_여_70~79세,"17,186","1,154","1,134",975,"1,042",638,650,"1,157",710,788,562,"1,165",915,634,515,"1,212","1,839","1,015","1,081"
2020년11월_여_80~89세,"8,329",476,549,454,473,260,402,658,461,460,307,561,396,318,231,534,888,409,492
2020년11월_여_90~99세,"1,335",86,115,81,64,47,46,93,64,75,56,104,44,39,36,88,136,81,80
2020년11월_여_100세 이상,116,19,6,2,14,6,1,1,0,0,4,1,13,4,1,17,17,4,6
