,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년05월_계_총인구수,"41,742","2,249","2,973","6,590","10,747","4,711","1,083","1,042","4,851","7,496"
2020년05월_계_연령구간인구수,"41,742","2,249","2,973","6,590","10,747","4,711","1,083","1,042","4,851","7,496"
2020년05월_계_0~9세,"1,426",40,85,222,411,117,21,14,201,315
2020년05월_계_10~19세,"2,170",83,109,417,612,216,40,29,219,445
2020년05월_계_20~29세,"5,551",475,319,936,"1,473",534,108,72,815,819
2020년05월_계_30~39세,"4,517",357,260,697,"1,136",493,115,108,664,687
2020년05월_계_40~49세,"5,589",268,372,935,"1,503",572,125,110,705,999
2020년05월_계_50~59세,"7,194",350,565,"1,111","1,849",839,191,205,718,"1,366"
2020년05월_계_60~69세,"7,770",372,588,"1,140","1,925",996,265,287,764,"1,433"
2020년05월_계_70~79세,"5,026",192,466,756,"1,228",604,133,156,494,997
2020년05월_계_80~89세,"2,057",83,166,298,527,270,63,49,227,374
2020년05월_계_90~99세,361,27,38,70,70,46,18,11,35,46
2020년05월_계_100세 이상,81,2,5,8,13,24,4,1,9,15
2020년05월_남_총인구수,"20,457","1,131","1,487","3,119","5,260","2,233",550,575,"2,451","3,651"
2020년05월_남_연령구간인구수,"20,457","1,131","1,487","3,119","5,260","2,233",550,575,"2,451","3,651"
2020년05월_남_0~9세,752,19,41,120,215,67,12,8,105,165
2020년05월_남_10~19세,"1,107",41,53,194,315,116,23,14,110,241
2020년05월_남_20~29세,"2,785",216,160,472,749,254,66,38,397,433
2020년05월_남_30~39세,"2,435",178,143,363,601,262,61,63,382,382
2020년05월_남_40~49세,"3,040",147,217,484,809,317,66,69,411,520
2020년05월_남_50~59세,"3,607",195,288,522,938,395,92,130,372,675
2020년05월_남_60~69세,"3,662",193,276,541,879,453,138,165,366,651
2020년05월_남_70~79세,"2,193",101,227,305,520,263,60,71,216,430
2020년05월_남_80~89세,761,34,69,103,212,89,25,11,80,138
2020년05월_남_90~99세,97,7,12,11,19,12,5,6,10,15
2020년05월_남_100세 이상,18,0,1,4,3,5,2,0,2,1
2020년05월_여_총인구수,"21,285","1,118","1,486","3,471","5,487","2,478",533,467,"2,400","3,845"
2020년05월_여_연령구간인구수,"21,285","1,118","1,486","3,471","5,487","2,478",533,467,"2,400","3,845"
2020년05월_여_0~9세,674,21,44,102,196,50,9,6,96,150
2020년05월_여_10~19세,"1,063",42,56,223,297,100,17,15,109,204
2020년05월_여_20~29세,"2,766",259,159,464,724,280,42,34,418,386
2020년05월_여_30~39세,"2,082",179,117,334,535,231,54,45,282,305
2020년05월_여_40~49세,"2,549",121,155,451,694,255,59,41,294,479
2020년05월_여_50~59세,"3,587",155,277,589,911,444,99,75,346,691
2020년05월_여_60~69세,"4,108",179,312,599,"1,046",543,127,122,398,782
2020년05월_여_70~79세,"2,833",91,239,451,708,341,73,85,278,567
2020년05월_여_80~89세,"1,296",49,97,195,315,181,38,38,147,236
2020년05월_여_90~99세,264,20,26,59,51,34,13,5,25,31
2020년05월_여_100세 이상,63,2,4,4,10,19,2,1,7,14
