,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년07월_계_총인구수,"64,336","19,863","11,996","3,670","2,353","1,544","2,355","2,832","1,409","1,831","1,144","1,665","2,853","2,742","3,120","2,845","2,114"
2021년07월_계_연령구간인구수,"64,336","19,863","11,996","3,670","2,353","1,544","2,355","2,832","1,409","1,831","1,144","1,665","2,853","2,742","3,120","2,845","2,114"
2021년07월_계_0~9세,"2,780",993,927,95,45,43,58,86,22,42,19,34,98,73,90,97,58
2021년07월_계_10~19세,"4,520","1,823","1,178",193,112,50,138,148,55,73,29,50,134,108,129,209,91
2021년07월_계_20~29세,"5,189","2,095","1,314",206,109,67,123,181,67,96,54,65,155,160,171,217,109
2021년07월_계_30~39세,"4,211","1,540","1,172",175,90,83,120,120,52,69,51,60,127,134,166,131,121
2021년07월_계_40~49세,"6,906","2,541","1,699",325,187,101,207,261,93,139,62,106,244,220,261,295,165
2021년07월_계_50~59세,"10,399","3,544","1,924",599,372,242,359,408,205,230,176,200,404,398,515,507,316
2021년07월_계_60~69세,"13,512","3,701","1,833",965,619,397,506,656,368,429,306,442,657,630,772,647,584
2021년07월_계_70~79세,"9,342","2,221","1,091",603,462,306,444,571,289,380,233,341,585,513,560,400,343
2021년07월_계_80~89세,"6,437","1,196",744,454,305,222,339,355,217,314,187,311,378,437,399,302,277
2021년07월_계_90~99세,"1,004",202,110,49,49,33,60,43,40,57,27,54,69,68,56,38,49
2021년07월_계_100세 이상,36,7,4,6,3,0,1,3,1,2,0,2,2,1,1,2,1
2021년07월_남_총인구수,"31,985","9,900","5,926","1,850","1,156",771,"1,157","1,367",681,888,575,789,"1,422","1,375","1,581","1,481","1,066"
2021년07월_남_연령구간인구수,"31,985","9,900","5,926","1,850","1,156",771,"1,157","1,367",681,888,575,789,"1,422","1,375","1,581","1,481","1,066"
2021년07월_남_0~9세,"1,478",521,492,56,24,23,35,47,13,24,9,15,46,43,41,53,36
2021년07월_남_10~19세,"2,394",974,606,91,75,31,64,77,23,37,22,29,72,66,67,114,46
2021년07월_남_20~29세,"3,007","1,238",693,129,71,43,74,111,41,63,32,34,95,87,105,126,65
2021년07월_남_30~39세,"2,291",811,570,112,57,49,72,70,37,38,31,36,73,77,99,86,73
2021년07월_남_40~49세,"3,759","1,297",873,184,108,60,128,135,52,87,39,57,144,155,164,170,106
2021년07월_남_50~59세,"5,503","1,817","1,018",317,196,121,185,215,113,124,97,110,238,210,267,300,175
2021년07월_남_60~69세,"6,780","1,771",906,500,296,222,259,314,182,218,149,223,336,341,411,339,313
2021년07월_남_70~79세,"4,228","1,011",476,282,205,142,202,250,139,161,117,153,263,231,263,182,151
2021년07월_남_80~89세,"2,297",418,266,161,115,72,124,137,72,120,74,120,136,147,147,99,89
2021년07월_남_90~99세,244,41,26,17,9,8,14,11,9,15,5,12,19,18,17,11,12
2021년07월_남_100세 이상,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년07월_여_총인구수,"32,351","9,963","6,070","1,820","1,197",773,"1,198","1,465",728,943,569,876,"1,431","1,367","1,539","1,364","1,048"
2021년07월_여_연령구간인구수,"32,351","9,963","6,070","1,820","1,197",773,"1,198","1,465",728,943,569,876,"1,431","1,367","1,539","1,364","1,048"
2021년07월_여_0~9세,"1,302",472,435,39,21,20,23,39,9,18,10,19,52,30,49,44,22
2021년07월_여_10~19세,"2,126",849,572,102,37,19,74,71,32,36,7,21,62,42,62,95,45
2021년07월_여_20~29세,"2,182",857,621,77,38,24,49,70,26,33,22,31,60,73,66,91,44
2021년07월_여_30~39세,"1,920",729,602,63,33,34,48,50,15,31,20,24,54,57,67,45,48
2021년07월_여_40~49세,"3,147","1,244",826,141,79,41,79,126,41,52,23,49,100,65,97,125,59
2021년07월_여_50~59세,"4,896","1,727",906,282,176,121,174,193,92,106,79,90,166,188,248,207,141
2021년07월_여_60~69세,"6,732","1,930",927,465,323,175,247,342,186,211,157,219,321,289,361,308,271
2021년07월_여_70~79세,"5,114","1,210",615,321,257,164,242,321,150,219,116,188,322,282,297,218,192
2021년07월_여_80~89세,"4,140",778,478,293,190,150,215,218,145,194,113,191,242,290,252,203,188
2021년07월_여_90~99세,760,161,84,32,40,25,46,32,31,42,22,42,50,50,39,27,37
2021년07월_여_100세 이상,32,6,4,5,3,0,1,3,1,1,0,2,2,1,1,1,1
