카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년08월_계_총인구수,"419,837","17,163","15,622","16,328","20,034","22,927","11,063","19,909","18,134","11,998","14,901","23,993","10,994","11,038","16,372","12,681","14,128","22,100","18,870","11,443","17,238","30,816","28,608","33,477"
2021년08월_계_연령구간인구수,"419,837","17,163","15,622","16,328","20,034","22,927","11,063","19,909","18,134","11,998","14,901","23,993","10,994","11,038","16,372","12,681","14,128","22,100","18,870","11,443","17,238","30,816","28,608","33,477"
2021년08월_계_0~9세,"29,209","1,666","1,037","1,904","1,646","1,762",478,"1,297","1,186","1,013",811,"2,024",531,706,948,957,858,920,"1,040",345,"1,274","2,151","2,297","2,358"
2021년08월_계_10~19세,"49,708","2,170","1,781","2,027","4,489","2,396","1,087","3,821","2,159","1,706","1,395","4,032",824,709,"1,278",977,"1,130","1,768","1,767",616,"1,861","4,493","3,181","4,041"
2021년08월_계_20~29세,"53,830","1,993","2,243","2,049","1,946","2,906","1,783","2,469","2,121","1,246","2,055","2,669","1,751","1,396","2,000","1,196","2,151","3,206","2,490","1,284","2,096","4,245","3,878","4,657"
2021년08월_계_30~39세,"42,305","1,930","1,973","2,033","1,317","2,309","1,167","1,314","1,551","1,058","1,452","1,887","1,335","1,453","1,923","1,468","1,886","2,226","1,856",923,"1,785","2,774","3,296","3,389"
2021년08월_계_40~49세,"70,958","3,134","2,661","3,246","4,992","3,586","1,587","4,365","3,010","2,352","2,101","4,719","1,729","1,768","2,429","1,879","2,242","2,991","2,744","1,265","2,843","5,361","4,596","5,358"
2021년08월_계_50~59세,"74,720","2,844","2,666","2,630","2,956","4,098","2,080","3,427","3,186","1,874","2,918","4,241","1,893","1,908","2,794","2,045","2,752","4,159","3,566","2,114","3,111","5,758","5,045","6,655"
2021년08월_계_60~69세,"53,746","1,743","1,797","1,333","1,420","3,094","1,559","1,709","2,312","1,445","2,180","2,527","1,521","1,673","2,696","2,174","1,846","3,591","3,000","2,424","2,635","3,541","3,583","3,943"
2021년08월_계_70~79세,"28,936","1,076",983,739,828,"1,750",840,999,"1,620",864,"1,231","1,193",961,927,"1,485","1,334",833,"2,070","1,474","1,546","1,100","1,535","1,698","1,850"
2021년08월_계_80~89세,"14,430",540,429,321,382,912,436,452,877,394,669,604,404,440,699,561,372,"1,018",833,814,461,846,886,"1,080"
2021년08월_계_90~99세,"1,931",60,50,44,56,110,45,55,110,45,88,92,45,57,120,86,55,147,100,108,68,108,139,143
2021년08월_계_100세 이상,64,7,2,2,2,4,1,1,2,1,1,5,0,1,0,4,3,4,0,4,4,4,9,3
2021년08월_남_총인구수,"203,120","8,186","7,606","7,843","9,841","11,206","5,504","10,419","8,347","5,812","6,949","11,483","5,287","5,517","7,914","6,099","6,912","10,488","8,883","5,205","8,347","14,942","14,203","16,127"
2021년08월_남_연령구간인구수,"203,120","8,186","7,606","7,843","9,841","11,206","5,504","10,419","8,347","5,812","6,949","11,483","5,287","5,517","7,914","6,099","6,912","10,488","8,883","5,205","8,347","14,942","14,203","16,127"
2021년08월_남_0~9세,"15,074",829,533,956,878,936,239,743,561,526,413,"1,034",264,379,505,473,440,486,528,174,634,"1,120","1,185","1,238"
