카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년08월_계_총인구수,"38,551","4,216",239,"5,726",228,222,"1,452",317,"3,205","2,284","3,506","2,482",217,"2,206",434,203,457,317,"1,727","1,548","1,546","2,742",283,986,"2,008"
2021년08월_계_연령구간인구수,"38,551","4,216",239,"5,726",228,222,"1,452",317,"3,205","2,284","3,506","2,482",217,"2,206",434,203,457,317,"1,727","1,548","1,546","2,742",283,986,"2,008"
2021년08월_계_0~9세,"1,476",142,6,205,10,15,36,11,157,75,138,109,9,66,13,11,19,9,63,66,74,112,16,21,93
2021년08월_계_10~19세,"1,989",229,6,285,3,5,44,9,237,96,199,204,6,107,19,17,27,20,99,105,69,96,8,28,71
2021년08월_계_20~29세,"2,672",270,12,454,7,7,99,19,227,141,214,161,9,191,48,13,44,29,117,138,72,212,21,48,119
2021년08월_계_30~39세,"2,554",252,12,415,14,14,80,16,203,134,211,163,14,188,45,15,46,23,109,123,97,177,27,60,116
2021년08월_계_40~49세,"4,175",430,18,613,20,20,164,37,403,212,389,265,27,283,80,23,78,41,194,210,159,225,28,82,174
2021년08월_계_50~59세,"6,941",745,48,"1,084",34,34,297,63,583,433,631,384,60,426,99,39,103,65,312,270,235,444,44,151,357
2021년08월_계_60~69세,"7,865",895,56,"1,289",62,45,264,71,608,495,709,458,44,380,70,41,71,63,324,284,335,575,65,222,439
2021년08월_계_70~79세,"6,247",715,40,814,53,53,267,58,507,398,614,394,28,323,33,23,38,42,286,211,283,473,45,211,338
2021년08월_계_80~89세,"4,106",476,39,492,24,27,183,31,261,275,350,318,17,199,27,18,30,17,197,124,195,367,26,142,271
2021년08월_계_90~99세,514,62,2,74,1,2,17,2,19,24,51,25,3,40,0,3,1,8,26,15,25,60,3,21,30
2021년08월_계_100세 이상,12,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년08월_남_총인구수,"20,602","2,199",125,"3,114",116,127,790,183,"1,703","1,212","1,854","1,274",126,"1,243",276,117,260,188,917,840,819,"1,425",152,490,"1,052"
2021년08월_남_연령구간인구수,"20,602","2,199",125,"3,114",116,127,790,183,"1,703","1,212","1,854","1,274",126,"1,243",276,117,260,188,917,840,819,"1,425",152,490,"1,052"
2021년08월_남_0~9세,754,79,3,112,5,11,15,4,70,43,76,53,7,31,8,5,10,3,30,28,40,56,8,9,48
2021년08월_남_10~19세,"1,023",118,2,133,0,3,25,8,127,48,97,93,3,61,11,11,15,10,53,54,30,55,6,16,44
2021년08월_남_20~29세,"1,613",163,9,278,5,5,57,10,141,83,110,99,4,125,31,7,20,19,70,78,47,128,13,37,74
2021년08월_남_30~39세,"1,615",152,8,258,11,11,56,15,118,91,141,107,6,124,36,11,35,14,63,73,59,103,16,35,72
2021년08월_남_40~49세,"2,774",276,12,405,15,14,123,26,269,139,239,160,22,198,60,18,54,31,127,141,109,148,18,56,114
2021년08월_남_50~59세,"4,254",444,32,626,19,23,195,44,355,250,403,226,40,276,71,24,65,48,198,169,161,276,23,79,207
2021년08월_남_60~69세,"4,331",500,35,719,36,22,142,33,326,257,383,257,24,220,39,27,37,36,179,161,176,319,36,122,245
2021년08월_남_70~79세,"2,887",310,13,393,20,26,114,28,227,189,291,189,17,143,13,11,18,23,141,100,132,213,25,94,157
2021년08월_남_80~89세,"1,249",145,11,178,5,11,60,15,68,106,107,83,3,61,7,2,5,3,52,31,60,112,5,39,80
2021년08월_남_90~99세,98,12,0,12,0,1,3,0,2,6,7,7,0,3,0,1,1,1,4,4,4,14,2,3,11
2021년08월_남_100세 이상,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년08월_여_총인구수,"17,949","2,017",114,"2,612",112,95,662,134,"1,502","1,072","1,652","1,208",91,963,158,86,197,129,810,708,727,"1,317",131,496,956
2021년08월_여_연령구간인구수,"17,949","2,017",114,"2,612",112,95,662,134,"1,502","1,072","1,652","1,208",91,963,158,86,197,129,810,708,727,"1,317",131,496,956
2021년08월_여_0~9세,722,63,3,93,5,4,21,7,87,32,62,56,2,35,5,6,9,6,33,38,34,56,8,12,45
2021년08월_여_10~19세,966,111,4,152,3,2,19,1,110,48,102,111,3,46,8,6,12,10,46,51,39,41,2,12,27
2021년08월_여_20~29세,"1,059",107,3,176,2,2,42,9,86,58,104,62,5,66,17,6,24,10,47,60,25,84,8,11,45
2021년08월_여_30~39세,939,100,4,157,3,3,24,1,85,43,70,56,8,64,9,4,11,9,46,50,38,74,11,25,44
2021년08월_여_40~49세,"1,401",154,6,208,5,6,41,11,134,73,150,105,5,85,20,5,24,10,67,69,50,77,10,26,60
2021년08월_여_50~59세,"2,687",301,16,458,15,11,102,19,228,183,228,158,20,150,28,15,38,17,114,101,74,168,21,72,150
2021년08월_여_60~69세,"3,534",395,21,570,26,23,122,38,282,238,326,201,20,160,31,14,34,27,145,123,159,256,29,100,194
2021년08월_여_70~79세,"3,360",405,27,421,33,27,153,30,280,209,323,205,11,180,20,12,20,19,145,111,151,260,20,117,181
2021년08월_여_80~89세,"2,857",331,28,314,19,16,123,16,193,169,243,235,14,138,20,16,25,14,145,93,135,255,21,103,191
2021년08월_여_90~99세,416,50,2,62,1,1,14,2,17,18,44,18,3,37,0,2,0,7,22,11,21,46,1,18,19
2021년08월_여_100세 이상,8,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
