카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년05월_계_총인구수,"399,950","35,753","21,031","24,121","23,710","20,003","29,385","9,018","22,716","26,972","34,223","31,203","20,407","22,786","38,509","23,759","16,354"
2021년05월_계_연령구간인구수,"399,950","35,753","21,031","24,121","23,710","20,003","29,385","9,018","22,716","26,972","34,223","31,203","20,407","22,786","38,509","23,759","16,354"
2021년05월_계_0~9세,"26,924","3,489","1,811",835,"1,254",785,"1,778",232,"1,267","1,749","2,172","2,069","1,122","1,205","3,029","1,418","2,709"
2021년05월_계_10~19세,"29,660","3,516","1,947","1,408","1,388","1,068","1,574",280,"1,895","2,192","2,373","2,271","1,400","1,214","3,908","1,975","1,251"
2021년05월_계_20~29세,"54,985","4,193","2,789","3,220","4,245","2,855","5,113","1,526","3,211","3,517","4,604","3,775","2,555","4,087","4,565","3,089","1,641"
2021년05월_계_30~39세,"61,901","6,105","3,752","2,876","4,932","2,866","5,501","1,254","2,819","3,195","5,102","4,363","2,656","4,422","5,088","3,221","3,749"
2021년05월_계_40~49세,"62,136","6,473","3,608","3,359","3,978","2,858","4,101","1,094","3,407","4,221","4,928","4,756","3,111","3,156","6,516","3,761","2,809"
2021년05월_계_50~59세,"62,542","5,076","2,989","4,598","3,051","3,456","4,540","1,783","3,860","4,686","5,797","4,865","3,446","3,039","5,671","3,912","1,773"
2021년05월_계_60~69세,"56,735","4,080","2,697","4,069","2,614","3,074","3,804","1,612","3,556","4,059","5,203","5,106","3,520","3,029","5,101","3,670","1,541"
2021년05월_계_70~79세,"31,746","1,988",984,"2,626","1,570","2,095","2,091",832,"1,928","2,325","2,867","2,943","1,809","1,840","3,277","1,954",617
2021년05월_계_80~89세,"11,777",731,384,"1,006",608,858,795,358,677,920,"1,033",929,705,700,"1,189",666,218
2021년05월_계_90~99세,"1,490",97,66,120,69,88,86,44,94,104,140,119,78,91,162,89,43
2021년05월_계_100세 이상,54,5,4,4,1,0,2,3,2,4,4,7,5,3,3,4,3
2021년05월_남_총인구수,"197,398","17,471","10,312","12,199","12,134","9,712","14,262","4,917","11,300","13,335","17,099","15,233","9,961","11,160","18,551","11,711","8,041"
2021년05월_남_연령구간인구수,"197,398","17,471","10,312","12,199","12,134","9,712","14,262","4,917","11,300","13,335","17,099","15,233","9,961","11,160","18,551","11,711","8,041"
2021년05월_남_0~9세,"13,714","1,748",931,431,656,420,912,123,646,866,"1,075","1,074",538,594,"1,542",737,"1,421"
2021년05월_남_10~19세,"15,265","1,801","1,024",748,690,540,799,157,968,"1,139","1,212","1,140",746,622,"1,991","1,069",619
2021년05월_남_20~29세,"27,018","2,021","1,329","1,672","2,106","1,345","2,245",817,"1,677","1,810","2,355","1,903","1,308","1,821","2,238","1,597",774
2021년05월_남_30~39세,"31,643","2,946","1,879","1,591","2,685","1,499","2,749",742,"1,474","1,610","2,681","2,187","1,381","2,287","2,490","1,640","1,802"
2021년05월_남_40~49세,"31,814","3,171","1,819","1,778","2,205","1,461","2,089",619,"1,732","2,117","2,514","2,430","1,602","1,664","3,265","1,850","1,498"
2021년05월_남_50~59세,"30,990","2,513","1,417","2,418","1,609","1,742","2,303","1,049","1,890","2,306","2,885","2,322","1,605","1,531","2,712","1,866",822
2021년05월_남_60~69세,"26,799","1,939","1,259","1,958","1,207","1,380","1,846",881,"1,693","2,002","2,523","2,322","1,623","1,448","2,283","1,753",682
2021년05월_남_70~79세,"15,038","1,022",489,"1,161",723,950,969,391,941,"1,085","1,376","1,430",859,890,"1,505",917,330
2021년05월_남_80~89세,"4,735",290,146,419,231,349,327,125,256,374,439,387,276,289,484,260,83
2021년05월_남_90~99세,368,18,18,23,22,26,23,12,22,26,38,35,21,14,40,20,10
2021년05월_남_100세 이상,14,2,1,0,0,0,0,1,1,0,1,3,2,0,1,2,0
2021년05월_여_총인구수,"202,552","18,282","10,719","11,922","11,576","10,291","15,123","4,101","11,416","13,637","17,124","15,970","10,446","11,626","19,958","12,048","8,313"
2021년05월_여_연령구간인구수,"202,552","18,282","10,719","11,922","11,576","10,291","15,123","4,101","11,416","13,637","17,124","15,970","10,446","11,626","19,958","12,048","8,313"
2021년05월_여_0~9세,"13,210","1,741",880,404,598,365,866,109,621,883,"1,097",995,584,611,"1,487",681,"1,288"
2021년05월_여_10~19세,"14,395","1,715",923,660,698,528,775,123,927,"1,053","1,161","1,131",654,592,"1,917",906,632
2021년05월_여_20~29세,"27,967","2,172","1,460","1,548","2,139","1,510","2,868",709,"1,534","1,707","2,249","1,872","1,247","2,266","2,327","1,492",867
2021년05월_여_30~39세,"30,258","3,159","1,873","1,285","2,247","1,367","2,752",512,"1,345","1,585","2,421","2,176","1,275","2,135","2,598","1,581","1,947"
2021년05월_여_40~49세,"30,322","3,302","1,789","1,581","1,773","1,397","2,012",475,"1,675","2,104","2,414","2,326","1,509","1,492","3,251","1,911","1,311"
2021년05월_여_50~59세,"31,552","2,563","1,572","2,180","1,442","1,714","2,237",734,"1,970","2,380","2,912","2,543","1,841","1,508","2,959","2,046",951
2021년05월_여_60~69세,"29,936","2,141","1,438","2,111","1,407","1,694","1,958",731,"1,863","2,057","2,680","2,784","1,897","1,581","2,818","1,917",859
2021년05월_여_70~79세,"16,708",966,495,"1,465",847,"1,145","1,122",441,987,"1,240","1,491","1,513",950,950,"1,772","1,037",287
2021년05월_여_80~89세,"7,042",441,238,587,377,509,468,233,421,546,594,542,429,411,705,406,135
2021년05월_여_90~99세,"1,122",79,48,97,47,62,63,32,72,78,102,84,57,77,122,69,33
2021년05월_여_100세 이상,40,3,3,4,1,0,2,2,1,4,3,4,3,3,2,2,3
