카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년07월_계_총인구수,"144,889","12,160","9,196","12,815","16,730","11,413","10,384","10,918","11,113","6,836","9,628","15,825","9,191","8,680"
2021년07월_계_연령구간인구수,"144,889","12,160","9,196","12,815","16,730","11,413","10,384","10,918","11,113","6,836","9,628","15,825","9,191","8,680"
2021년07월_계_0~9세,"6,614",727,344,953,825,473,370,356,444,239,523,728,320,312
2021년07월_계_10~19세,"9,164","1,032",506,"1,049","1,281",724,592,572,626,376,625,885,466,430
2021년07월_계_20~29세,"20,225","1,233","1,119","1,275","2,067","1,806","2,001","1,530","1,615","1,370","1,454","2,383","1,311","1,061"
2021년07월_계_30~39세,"16,954","1,206","1,115","1,553","1,800","1,341","1,270","1,155","1,217",808,"1,243","2,147","1,116",983
2021년07월_계_40~49세,"19,790","1,919","1,313","1,841","2,400","1,511","1,301","1,444","1,329",826,"1,402","2,289","1,167","1,048"
2021년07월_계_50~59세,"24,477","2,002","1,624","2,073","2,907","1,995","1,617","1,923","1,993","1,078","1,557","2,639","1,546","1,523"
2021년07월_계_60~69세,"24,335","1,763","1,574","2,065","2,814","1,929","1,565","2,032","2,112","1,073","1,483","2,473","1,700","1,752"
2021년07월_계_70~79세,"14,885","1,370",960,"1,218","1,626","1,091","1,087","1,283","1,193",686,856,"1,502",995,"1,018"
2021년07월_계_80~89세,"7,461",784,576,690,896,472,526,554,514,339,423,679,512,496
2021년07월_계_90~99세,963,123,65,95,112,70,54,67,67,41,58,99,56,56
2021년07월_계_100세 이상,21,1,0,3,2,1,1,2,3,0,4,1,2,1
2021년07월_남_총인구수,"69,663","5,751","4,436","6,118","7,992","5,578","4,933","5,413","5,392","3,244","4,608","7,715","4,350","4,133"
2021년07월_남_연령구간인구수,"69,663","5,751","4,436","6,118","7,992","5,578","4,933","5,413","5,392","3,244","4,608","7,715","4,350","4,133"
2021년07월_남_0~9세,"3,415",402,176,487,430,252,180,193,213,144,241,381,160,156
2021년07월_남_10~19세,"4,831",566,279,502,664,388,294,313,339,207,335,464,251,229
2021년07월_남_20~29세,"10,052",632,537,670,"1,048",911,938,772,841,589,709,"1,204",640,561
2021년07월_남_30~39세,"8,952",601,598,802,922,706,688,655,668,409,637,"1,121",590,555
2021년07월_남_40~49세,"10,041",946,676,898,"1,156",782,667,801,693,446,676,"1,168",596,536
2021년07월_남_50~59세,"11,968",989,817,957,"1,444",950,807,"1,008",979,531,780,"1,279",716,711
2021년07월_남_60~69세,"11,177",764,746,966,"1,260",908,726,937,970,497,705,"1,156",767,775
2021년07월_남_70~79세,"6,325",546,389,549,695,485,450,535,516,291,370,650,435,414
2021년07월_남_80~89세,"2,693",280,207,260,344,179,172,188,163,119,147,271,183,180
2021년07월_남_90~99세,206,25,11,27,29,17,11,10,10,11,8,21,11,15
2021년07월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,0,0,1,1
2021년07월_여_총인구수,"75,226","6,409","4,760","6,697","8,738","5,835","5,451","5,505","5,721","3,592","5,020","8,110","4,841","4,547"
2021년07월_여_연령구간인구수,"75,226","6,409","4,760","6,697","8,738","5,835","5,451","5,505","5,721","3,592","5,020","8,110","4,841","4,547"
2021년07월_여_0~9세,"3,199",325,168,466,395,221,190,163,231,95,282,347,160,156
2021년07월_여_10~19세,"4,333",466,227,547,617,336,298,259,287,169,290,421,215,201
2021년07월_여_20~29세,"10,173",601,582,605,"1,019",895,"1,063",758,774,781,745,"1,179",671,500
2021년07월_여_30~39세,"8,002",605,517,751,878,635,582,500,549,399,606,"1,026",526,428
2021년07월_여_40~49세,"9,749",973,637,943,"1,244",729,634,643,636,380,726,"1,121",571,512
2021년07월_여_50~59세,"12,509","1,013",807,"1,116","1,463","1,045",810,915,"1,014",547,777,"1,360",830,812
2021년07월_여_60~69세,"13,158",999,828,"1,099","1,554","1,021",839,"1,095","1,142",576,778,"1,317",933,977
2021년07월_여_70~79세,"8,560",824,571,669,931,606,637,748,677,395,486,852,560,604
2021년07월_여_80~89세,"4,768",504,369,430,552,293,354,366,351,220,276,408,329,316
2021년07월_여_90~99세,757,98,54,68,83,53,43,57,57,30,50,78,45,41
2021년07월_여_100세 이상,18,1,0,3,2,1,1,1,3,0,4,1,1,0
