카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년01월_계_총인구수,"428,770","16,739","15,568","16,471","19,031","23,768","11,872","20,317","19,033","12,437","15,722","24,756","11,481","10,351","17,042","13,696","14,275","23,133","19,761","12,052","16,055","32,191","28,142","34,877"
2020년01월_계_연령구간인구수,"428,770","16,739","15,568","16,471","19,031","23,768","11,872","20,317","19,033","12,437","15,722","24,756","11,481","10,351","17,042","13,696","14,275","23,133","19,761","12,052","16,055","32,191","28,142","34,877"
2020년01월_계_0~9세,"30,979","1,446","1,029","2,000","1,535","1,971",568,"1,357","1,395","1,219",943,"2,071",611,492,"1,125","1,131",974,"1,142","1,197",415,"1,163","2,425","2,054","2,716"
2020년01월_계_10~19세,"53,913","2,239","1,861","2,046","4,331","2,678","1,313","4,046","2,267","1,840","1,575","4,425",966,688,"1,396","1,050","1,236","2,084","2,018",792,"1,906","4,985","3,578","4,593"
2020년01월_계_20~29세,"56,281","2,095","2,344","2,098","1,836","3,061","1,950","2,448","2,289","1,224","2,187","2,789","1,822","1,331","2,148","1,379","2,215","3,386","2,636","1,491","2,035","4,563","3,892","5,062"
2020년01월_계_30~39세,"44,193","1,624","1,989","2,261","1,342","2,489","1,232","1,505","1,747","1,268","1,616","2,075","1,411","1,262","2,104","1,745","1,888","2,407","2,096","1,009","1,611","2,913","2,943","3,656"
2020년01월_계_40~49세,"75,069","3,042","2,619","3,220","4,747","3,935","1,841","4,559","3,328","2,521","2,382","5,054","1,827","1,643","2,606","2,033","2,387","3,435","3,010","1,442","2,711","5,910","4,796","6,021"
2020년01월_계_50~59세,"75,105","2,894","2,623","2,532","2,676","4,108","2,190","3,280","3,177","1,803","3,002","4,177","1,977","1,846","2,909","2,204","2,685","4,328","3,725","2,332","2,925","5,953","5,116","6,643"
2020년01월_계_60~69세,"49,921","1,700","1,694","1,231","1,304","2,907","1,484","1,628","2,261","1,338","2,075","2,343","1,484","1,592","2,513","2,194","1,718","3,328","2,814","2,347","2,293","3,099","3,215","3,359"
2020년01월_계_70~79세,"28,180","1,130",960,707,831,"1,710",831,"1,006","1,647",843,"1,252","1,164",956,975,"1,473","1,327",803,"1,983","1,400","1,420",938,"1,476","1,603","1,745"
2020년01월_계_80~89세,"13,351",500,405,333,382,807,419,440,818,346,615,566,375,466,659,546,324,908,765,703,411,763,828,972
2020년01월_계_90~99세,"1,680",64,42,36,46,99,42,46,100,29,68,87,52,53,102,80,41,127,98,96,59,99,111,103
2020년01월_계_100세 이상,98,5,2,7,1,3,2,2,4,6,7,5,0,3,7,7,4,5,2,5,3,5,6,7
2020년01월_남_총인구수,"208,071","8,008","7,582","7,881","9,335","11,620","5,994","10,626","8,869","6,029","7,389","11,918","5,521","5,145","8,240","6,665","6,951","11,034","9,400","5,511","7,813","15,638","13,989","16,913"
2020년01월_남_연령구간인구수,"208,071","8,008","7,582","7,881","9,335","11,620","5,994","10,626","8,869","6,029","7,389","11,918","5,521","5,145","8,240","6,665","6,951","11,034","9,400","5,511","7,813","15,638","13,989","16,913"
2020년01월_남_0~9세,"15,933",730,521,988,826,"1,015",305,782,684,640,480,"1,049",306,273,584,568,494,582,629,197,597,"1,238","1,027","1,418"
2020년01월_남_10~19세,"28,607","1,086",989,"1,031","2,272","1,401",745,"2,652","1,091",918,776,"2,287",477,363,713,573,625,"1,188","1,039",406,"1,000","2,575","1,962","2,438"
2020년01월_남_20~29세,"30,409","1,118","1,203","1,054","1,015","1,687","1,117","1,450","1,213",650,"1,125","1,504",903,709,"1,142",782,"1,192","1,826","1,420",787,"1,131","2,447","2,210","2,724"
2020년01월_남_30~39세,"21,342",733,939,"1,023",581,"1,189",641,645,828,581,798,937,718,680,"1,057",877,929,"1,230","1,018",543,792,"1,400","1,450","1,753"
2020년01월_남_40~49세,"34,291","1,389","1,198","1,502","2,139","1,818",866,"1,988","1,532","1,227","1,034","2,219",878,838,"1,246","1,022","1,121","1,561","1,361",692,"1,231","2,577","2,193","2,659"
2020년01월_남_50~59세,"36,523","1,445","1,290","1,262","1,408","2,015","1,071","1,745","1,535",912,"1,417","2,092",965,922,"1,419","1,001","1,285","2,002","1,705","1,061","1,366","2,889","2,493","3,223"
2020년01월_남_60~69세,"23,491",781,821,576,602,"1,383",705,768,981,606,952,"1,114",684,731,"1,175",993,805,"1,496","1,319","1,060","1,091","1,575","1,597","1,676"
2020년01월_남_70~79세,"12,245",489,447,302,336,770,382,430,667,365,539,513,425,428,663,630,372,828,615,566,464,632,712,670
2020년01월_남_80~89세,"4,815",216,164,130,140,317,151,157,312,122,245,183,154,187,226,203,120,294,263,177,128,278,319,329
2020년01월_남_90~99세,388,20,10,10,15,25,10,8,25,7,22,17,11,14,15,15,7,27,30,21,12,24,24,19
2020년01월_남_100세 이상,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020년01월_여_총인구수,"220,699","8,731","7,986","8,590","9,696","12,148","5,878","9,691","10,164","6,408","8,333","12,838","5,960","5,206","8,802","7,031","7,324","12,099","10,361","6,541","8,242","16,553","14,153","17,964"
2020년01월_여_연령구간인구수,"220,699","8,731","7,986","8,590","9,696","12,148","5,878","9,691","10,164","6,408","8,333","12,838","5,960","5,206","8,802","7,031","7,324","12,099","10,361","6,541","8,242","16,553","14,153","17,964"
2020년01월_여_0~9세,"15,046",716,508,"1,012",709,956,263,575,711,579,463,"1,022",305,219,541,563,480,560,568,218,566,"1,187","1,027","1,298"
2020년01월_여_10~19세,"25,306","1,153",872,"1,015","2,059","1,277",568,"1,394","1,176",922,799,"2,138",489,325,683,477,611,896,979,386,906,"2,410","1,616","2,155"
2020년01월_여_20~29세,"25,872",977,"1,141","1,044",821,"1,374",833,998,"1,076",574,"1,062","1,285",919,622,"1,006",597,"1,023","1,560","1,216",704,904,"2,116","1,682","2,338"
2020년01월_여_30~39세,"22,851",891,"1,050","1,238",761,"1,300",591,860,919,687,818,"1,138",693,582,"1,047",868,959,"1,177","1,078",466,819,"1,513","1,493","1,903"
2020년01월_여_40~49세,"40,778","1,653","1,421","1,718","2,608","2,117",975,"2,571","1,796","1,294","1,348","2,835",949,805,"1,360","1,011","1,266","1,874","1,649",750,"1,480","3,333","2,603","3,362"
2020년01월_여_50~59세,"38,582","1,449","1,333","1,270","1,268","2,093","1,119","1,535","1,642",891,"1,585","2,085","1,012",924,"1,490","1,203","1,400","2,326","2,020","1,271","1,559","3,064","2,623","3,420"
2020년01월_여_60~69세,"26,430",919,873,655,702,"1,524",779,860,"1,280",732,"1,123","1,229",800,861,"1,338","1,201",913,"1,832","1,495","1,287","1,202","1,524","1,618","1,683"
2020년01월_여_70~79세,"15,935",641,513,405,495,940,449,576,980,478,713,651,531,547,810,697,431,"1,155",785,854,474,844,891,"1,075"
2020년01월_여_80~89세,"8,536",284,241,203,242,490,268,283,506,224,370,383,221,279,433,343,204,614,502,526,283,485,509,643
2020년01월_여_90~99세,"1,292",44,32,26,31,74,32,38,75,22,46,70,41,39,87,65,34,100,68,75,47,75,87,84
2020년01월_여_100세 이상,71,4,2,4,0,3,1,1,3,5,6,2,0,3,7,6,3,5,1,4,2,2,4,3
