,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년03월_계_총인구수,"38,938","21,254","1,106","1,481","1,752","2,161","2,296","1,279","1,763","3,845","2,001"
2020년03월_계_연령구간인구수,"38,938","21,254","1,106","1,481","1,752","2,161","2,296","1,279","1,763","3,845","2,001"
2020년03월_계_0~9세,"1,738","1,344",20,24,32,37,54,40,44,99,44
2020년03월_계_10~19세,"2,987","2,203",32,59,78,83,97,57,81,214,83
2020년03월_계_20~29세,"3,360","2,334",50,73,95,135,127,109,107,237,93
2020년03월_계_30~39세,"2,939","2,005",55,65,62,116,125,84,115,215,97
2020년03월_계_40~49세,"4,826","3,075",108,133,172,213,238,148,180,376,183
2020년03월_계_50~59세,"7,497","3,797",236,345,435,457,449,277,347,747,407
2020년03월_계_60~69세,"7,744","3,226",262,367,452,534,619,296,414,973,601
2020년03월_계_70~79세,"4,892","2,100",211,265,264,353,343,159,288,561,348
2020년03월_계_80~89세,"2,572","1,015",119,134,139,203,208,98,161,372,123
2020년03월_계_90~99세,335,136,12,15,20,24,31,10,25,42,20
2020년03월_계_100세 이상,48,19,1,1,3,6,5,1,1,9,2
2020년03월_남_총인구수,"20,110","10,872",573,777,906,"1,125","1,208",718,953,"1,967","1,011"
2020년03월_남_연령구간인구수,"20,110","10,872",573,777,906,"1,125","1,208",718,953,"1,967","1,011"
2020년03월_남_0~9세,927,727,14,12,18,17,24,21,24,48,22
2020년03월_남_10~19세,"1,604","1,196",17,26,40,37,56,30,35,126,41
2020년03월_남_20~29세,"1,919","1,320",31,45,57,82,77,71,64,124,48
2020년03월_남_30~39세,"1,625","1,051",30,47,33,67,82,50,84,131,50
2020년03월_남_40~49세,"2,673","1,596",74,85,95,136,151,90,117,216,113
2020년03월_남_50~59세,"4,108","2,061",136,192,237,259,251,169,207,392,204
2020년03월_남_60~69세,"4,011","1,605",132,212,240,289,339,163,219,513,299
2020년03월_남_70~79세,"2,221",910,90,110,136,157,154,83,133,269,179
2020년03월_남_80~89세,915,366,45,43,46,74,62,39,60,132,48
2020년03월_남_90~99세,93,35,3,4,4,4,10,2,10,14,7
2020년03월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년03월_여_총인구수,"18,828","10,382",533,704,846,"1,036","1,088",561,810,"1,878",990
2020년03월_여_연령구간인구수,"18,828","10,382",533,704,846,"1,036","1,088",561,810,"1,878",990
2020년03월_여_0~9세,811,617,6,12,14,20,30,19,20,51,22
2020년03월_여_10~19세,"1,383","1,007",15,33,38,46,41,27,46,88,42
2020년03월_여_20~29세,"1,441","1,014",19,28,38,53,50,38,43,113,45
2020년03월_여_30~39세,"1,314",954,25,18,29,49,43,34,31,84,47
2020년03월_여_40~49세,"2,153","1,479",34,48,77,77,87,58,63,160,70
2020년03월_여_50~59세,"3,389","1,736",100,153,198,198,198,108,140,355,203
2020년03월_여_60~69세,"3,733","1,621",130,155,212,245,280,133,195,460,302
2020년03월_여_70~79세,"2,671","1,190",121,155,128,196,189,76,155,292,169
2020년03월_여_80~89세,"1,657",649,74,91,93,129,146,59,101,240,75
2020년03월_여_90~99세,242,101,9,11,16,20,21,8,15,28,13
2020년03월_여_100세 이상,34,14,0,0,3,3,3,1,1,7,2
