,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년09월_계_총인구수,"93,901","6,915","11,365","5,169","3,135","27,586","25,634","8,712","5,385"
2020년09월_계_연령구간인구수,"93,901","6,915","11,365","5,169","3,135","27,586","25,634","8,712","5,385"
2020년09월_계_0~9세,"6,429",487,737,147,172,"2,008","2,257",382,239
2020년09월_계_10~19세,"8,635",558,"1,173",221,205,"2,665","3,017",512,284
2020년09월_계_20~29세,"11,203",754,"1,264",499,335,"3,519","3,310",918,604
2020년09월_계_30~39세,"10,182",773,"1,088",444,300,"3,059","3,145",775,598
2020년09월_계_40~49세,"14,376",949,"1,814",605,401,"4,233","4,601","1,143",630
2020년09월_계_50~59세,"16,378","1,245","1,941","1,078",583,"4,882","4,012","1,613","1,024"
2020년09월_계_60~69세,"12,963","1,081","1,531","1,061",526,"3,689","2,493","1,623",959
2020년09월_계_70~79세,"8,797",667,"1,147",668,405,"2,303","1,842","1,109",656
2020년09월_계_80~89세,"4,259",359,603,344,181,"1,073",834,540,325
2020년09월_계_90~99세,596,39,60,77,25,143,119,76,57
2020년09월_계_100세 이상,83,3,7,25,2,12,4,21,9
2020년09월_남_총인구수,"46,863","3,425","5,598","2,689","1,475","13,657","12,648","4,515","2,856"
2020년09월_남_연령구간인구수,"46,863","3,425","5,598","2,689","1,475","13,657","12,648","4,515","2,856"
2020년09월_남_0~9세,"3,323",257,398,85,79,"1,012","1,166",190,136
2020년09월_남_10~19세,"4,357",260,604,117,91,"1,351","1,515",277,142
2020년09월_남_20~29세,"6,094",423,706,271,199,"1,891","1,725",525,354
2020년09월_남_30~39세,"5,263",396,529,263,153,"1,556","1,599",422,345
2020년09월_남_40~49세,"7,412",499,929,350,207,"2,108","2,301",654,364
2020년09월_남_50~59세,"8,626",639,"1,020",616,289,"2,513","2,097",878,574
2020년09월_남_60~69세,"6,336",530,718,557,254,"1,827","1,130",815,505
2020년09월_남_70~79세,"3,694",277,444,287,147,961,749,527,302
2020년09월_남_80~89세,"1,570",133,234,107,50,395,335,201,115
2020년09월_남_90~99세,170,11,14,30,6,40,30,23,16
2020년09월_남_100세 이상,18,0,2,6,0,3,1,3,3
2020년09월_여_총인구수,"47,038","3,490","5,767","2,480","1,660","13,929","12,986","4,197","2,529"
2020년09월_여_연령구간인구수,"47,038","3,490","5,767","2,480","1,660","13,929","12,986","4,197","2,529"
2020년09월_여_0~9세,"3,106",230,339,62,93,996,"1,091",192,103
2020년09월_여_10~19세,"4,278",298,569,104,114,"1,314","1,502",235,142
2020년09월_여_20~29세,"5,109",331,558,228,136,"1,628","1,585",393,250
2020년09월_여_30~39세,"4,919",377,559,181,147,"1,503","1,546",353,253
2020년09월_여_40~49세,"6,964",450,885,255,194,"2,125","2,300",489,266
2020년09월_여_50~59세,"7,752",606,921,462,294,"2,369","1,915",735,450
2020년09월_여_60~69세,"6,627",551,813,504,272,"1,862","1,363",808,454
2020년09월_여_70~79세,"5,103",390,703,381,258,"1,342","1,093",582,354
2020년09월_여_80~89세,"2,689",226,369,237,131,678,499,339,210
2020년09월_여_90~99세,426,28,46,47,19,103,89,53,41
2020년09월_여_100세 이상,65,3,5,19,2,9,3,18,6
