카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년11월_계_총인구수,"52,237","21,002","1,971","2,884","2,257","3,445","2,466","4,559","2,316","2,593","2,236","2,706","2,644","1,158"
2020년11월_계_연령구간인구수,"52,237","21,002","1,971","2,884","2,257","3,445","2,466","4,559","2,316","2,593","2,236","2,706","2,644","1,158"
2020년11월_계_0~9세,"2,572","1,671",48,54,73,99,49,216,68,49,68,68,82,27
2020년11월_계_10~19세,"3,726","2,352",70,115,125,144,78,280,112,101,89,114,115,31
2020년11월_계_20~29세,"4,330","2,205",117,205,178,213,132,390,152,145,163,184,180,66
2020년11월_계_30~39세,"3,910","2,063",113,161,175,227,109,358,135,107,128,137,129,68
2020년11월_계_40~49세,"6,184","3,128",150,260,233,382,198,543,219,243,179,264,271,114
2020년11월_계_50~59세,"8,872","3,441",311,496,395,518,451,871,416,420,414,448,479,212
2020년11월_계_60~69세,"9,616","2,947",446,561,448,764,562,900,572,540,453,576,569,278
2020년11월_계_70~79세,"7,718","1,987",384,571,343,713,501,626,415,526,417,524,492,219
2020년11월_계_80~89세,"4,653","1,078",285,399,243,346,343,331,197,407,288,342,275,119
2020년11월_계_90~99세,623,125,43,61,43,37,41,42,27,53,34,47,47,23
2020년11월_계_100세 이상,33,5,4,1,1,2,2,2,3,2,3,2,5,1
2020년11월_남_총인구수,"25,953","10,291",956,"1,454","1,165","1,741","1,225","2,326","1,179","1,277","1,098","1,332","1,292",617
2020년11월_남_연령구간인구수,"25,953","10,291",956,"1,454","1,165","1,741","1,225","2,326","1,179","1,277","1,098","1,332","1,292",617
2020년11월_남_0~9세,"1,348",867,26,35,26,45,25,120,40,26,39,37,48,14
2020년11월_남_10~19세,"1,967","1,231",42,64,68,71,48,145,66,51,46,59,61,15
2020년11월_남_20~29세,"2,422","1,202",68,116,93,116,76,217,97,84,86,108,120,39
2020년11월_남_30~39세,"2,123","1,016",69,94,109,145,65,204,74,73,83,78,68,45
2020년11월_남_40~49세,"3,463","1,556",94,181,148,249,132,339,127,153,103,148,158,75
2020년11월_남_50~59세,"4,828","1,706",179,287,234,304,249,468,229,254,242,274,261,141
2020년11월_남_60~69세,"4,812","1,466",219,299,252,360,289,444,275,266,244,288,264,146
2020년11월_남_70~79세,"3,345",859,156,237,149,314,219,287,202,217,174,209,224,98
2020년11월_남_80~89세,"1,508",361,96,126,77,125,113,95,64,137,77,118,80,39
2020년11월_남_90~99세,134,26,7,15,9,12,9,7,5,16,3,13,7,5
2020년11월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년11월_여_총인구수,"26,284","10,711","1,015","1,430","1,092","1,704","1,241","2,233","1,137","1,316","1,138","1,374","1,352",541
2020년11월_여_연령구간인구수,"26,284","10,711","1,015","1,430","1,092","1,704","1,241","2,233","1,137","1,316","1,138","1,374","1,352",541
2020년11월_여_0~9세,"1,224",804,22,19,47,54,24,96,28,23,29,31,34,13
2020년11월_여_10~19세,"1,759","1,121",28,51,57,73,30,135,46,50,43,55,54,16
2020년11월_여_20~29세,"1,908","1,003",49,89,85,97,56,173,55,61,77,76,60,27
2020년11월_여_30~39세,"1,787","1,047",44,67,66,82,44,154,61,34,45,59,61,23
2020년11월_여_40~49세,"2,721","1,572",56,79,85,133,66,204,92,90,76,116,113,39
2020년11월_여_50~59세,"4,044","1,735",132,209,161,214,202,403,187,166,172,174,218,71
2020년11월_여_60~69세,"4,804","1,481",227,262,196,404,273,456,297,274,209,288,305,132
2020년11월_여_70~79세,"4,373","1,128",228,334,194,399,282,339,213,309,243,315,268,121
2020년11월_여_80~89세,"3,145",717,189,273,166,221,230,236,133,270,211,224,195,80
2020년11월_여_90~99세,489,99,36,46,34,25,32,35,22,37,31,34,40,18
2020년11월_여_100세 이상,30,4,4,1,1,2,2,2,3,2,2,2,4,1
