,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년04월_계_총인구수,"16,844","7,364","2,166","1,727","1,795","1,694","2,098"
2020년04월_계_연령구간인구수,"16,844","7,364","2,166","1,727","1,795","1,694","2,098"
2020년04월_계_0~9세,773,455,83,62,47,54,72
2020년04월_계_10~19세,988,582,85,57,88,94,82
2020년04월_계_20~29세,"1,165",674,104,72,111,86,118
2020년04월_계_30~39세,"1,078",651,114,65,68,72,108
2020년04월_계_40~49세,"1,806",980,190,140,148,171,177
2020년04월_계_50~59세,"3,028","1,249",395,291,348,326,419
2020년04월_계_60~69세,"3,326","1,241",490,400,375,361,459
2020년04월_계_70~79세,"2,722",914,413,377,321,293,404
2020년04월_계_80~89세,"1,702",521,253,234,263,199,232
2020년04월_계_90~99세,230,89,37,25,24,33,22
2020년04월_계_100세 이상,26,8,2,4,2,5,5
2020년04월_남_총인구수,"8,317","3,602","1,046",872,894,848,"1,055"
2020년04월_남_연령구간인구수,"8,317","3,602","1,046",872,894,848,"1,055"
2020년04월_남_0~9세,401,247,40,32,21,30,31
2020년04월_남_10~19세,512,291,52,30,47,48,44
2020년04월_남_20~29세,668,371,62,41,66,54,74
2020년04월_남_30~39세,583,334,62,42,41,43,61
2020년04월_남_40~49세,"1,073",550,128,94,83,108,110
2020년04월_남_50~59세,"1,639",643,205,178,196,180,237
2020년04월_남_60~69세,"1,646",595,235,191,198,181,246
2020년04월_남_70~79세,"1,177",385,175,190,142,117,168
2020년04월_남_80~89세,557,168,76,66,92,76,79
2020년04월_남_90~99세,55,16,9,7,8,10,5
2020년04월_남_100세 이상,6,2,2,1,0,1,0
2020년04월_여_총인구수,"8,527","3,762","1,120",855,901,846,"1,043"
2020년04월_여_연령구간인구수,"8,527","3,762","1,120",855,901,846,"1,043"
2020년04월_여_0~9세,372,208,43,30,26,24,41
2020년04월_여_10~19세,476,291,33,27,41,46,38
2020년04월_여_20~29세,497,303,42,31,45,32,44
2020년04월_여_30~39세,495,317,52,23,27,29,47
2020년04월_여_40~49세,733,430,62,46,65,63,67
2020년04월_여_50~59세,"1,389",606,190,113,152,146,182
2020년04월_여_60~69세,"1,680",646,255,209,177,180,213
2020년04월_여_70~79세,"1,545",529,238,187,179,176,236
2020년04월_여_80~89세,"1,145",353,177,168,171,123,153
2020년04월_여_90~99세,175,73,28,18,16,23,17
2020년04월_여_100세 이상,20,6,0,3,2,4,5
