카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년09월_계_총인구수,"41,706","8,587","1,658",873,"1,653","5,329","5,706","3,125","8,809","5,966"
2020년09월_계_연령구간인구수,"41,706","8,587","1,658",873,"1,653","5,329","5,706","3,125","8,809","5,966"
2020년09월_계_0~9세,"1,918",433,39,25,51,225,284,130,429,302
2020년09월_계_10~19세,"2,948",723,79,44,70,334,444,216,674,364
2020년09월_계_20~29세,"3,375",772,106,51,93,407,421,206,749,570
2020년09월_계_30~39세,"3,152",695,66,40,89,336,484,170,634,638
2020년09월_계_40~49세,"5,381","1,110",194,76,149,640,771,400,"1,145",896
2020년09월_계_50~59세,"8,142","1,606",353,180,365,"1,006","1,159",674,"1,667","1,132"
2020년09월_계_60~69세,"8,723","1,681",421,234,462,"1,204","1,195",690,"1,770","1,066"
2020년09월_계_70~79세,"5,020",920,254,141,241,699,615,367,"1,126",657
2020년09월_계_80~89세,"2,645",558,120,72,112,416,304,243,518,302
2020년09월_계_90~99세,360,82,26,9,20,56,28,28,79,32
2020년09월_계_100세 이상,42,7,0,1,1,6,1,1,18,7
2020년09월_남_총인구수,"21,321","4,344",874,455,868,"2,690","2,997","1,562","4,424","3,107"
2020년09월_남_연령구간인구수,"21,321","4,344",874,455,868,"2,690","2,997","1,562","4,424","3,107"
2020년09월_남_0~9세,955,216,17,17,25,108,134,60,229,149
2020년09월_남_10~19세,"1,559",365,43,25,31,171,251,115,348,210
2020년09월_남_20~29세,"1,946",435,65,35,56,231,248,115,420,341
2020년09월_남_30~39세,"1,708",366,41,18,51,182,265,84,334,367
2020년09월_남_40~49세,"2,940",587,119,40,81,365,418,220,604,506
2020년09월_남_50~59세,"4,338",860,194,92,197,524,615,357,886,613
2020년09월_남_60~69세,"4,521",869,239,133,259,629,633,355,895,509
2020년09월_남_70~79세,"2,316",439,114,59,124,313,312,160,517,278
2020년09월_남_80~89세,952,192,39,35,42,152,115,87,169,121
2020년09월_남_90~99세,75,14,3,0,2,14,6,8,17,11
2020년09월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년09월_여_총인구수,"20,385","4,243",784,418,785,"2,639","2,709","1,563","4,385","2,859"
2020년09월_여_연령구간인구수,"20,385","4,243",784,418,785,"2,639","2,709","1,563","4,385","2,859"
2020년09월_여_0~9세,963,217,22,8,26,117,150,70,200,153
2020년09월_여_10~19세,"1,389",358,36,19,39,163,193,101,326,154
2020년09월_여_20~29세,"1,429",337,41,16,37,176,173,91,329,229
2020년09월_여_30~39세,"1,444",329,25,22,38,154,219,86,300,271
2020년09월_여_40~49세,"2,441",523,75,36,68,275,353,180,541,390
2020년09월_여_50~59세,"3,804",746,159,88,168,482,544,317,781,519
2020년09월_여_60~69세,"4,202",812,182,101,203,575,562,335,875,557
2020년09월_여_70~79세,"2,704",481,140,82,117,386,303,207,609,379
2020년09월_여_80~89세,"1,693",366,81,37,70,264,189,156,349,181
2020년09월_여_90~99세,285,68,23,9,18,42,22,20,62,21
2020년09월_여_100세 이상,31,6,0,0,1,5,1,0,13,5
