카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년07월_계_총인구수,"295,560",193,"3,303","9,711","13,754","14,275","10,565","21,103","10,983","6,652","34,656","13,163","26,003","13,876","20,223","12,374","31,815","50,758","2,153"
2021년07월_계_연령구간인구수,"295,560",193,"3,303","9,711","13,754","14,275","10,565","21,103","10,983","6,652","34,656","13,163","26,003","13,876","20,223","12,374","31,815","50,758","2,153"
2021년07월_계_0~9세,"22,448",0,110,336,662,818,773,"1,566",878,222,"3,060",985,"2,180",952,"1,405",925,"2,898","4,617",61
2021년07월_계_10~19세,"29,958",6,234,603,917,"1,231","1,113","1,820","1,378",434,"4,366","1,182","3,170","1,020","1,798","1,373","4,268","4,959",86
2021년07월_계_20~29세,"37,496",10,395,"1,234","1,801","1,809","1,270","2,710","1,481",962,"4,337","1,653","3,186","1,738","2,441","1,653","3,697","6,925",194
2021년07월_계_30~39세,"40,535",23,374,"1,167","1,827","1,708","1,221","3,094","1,465",860,"4,054","2,281","2,958","2,493","2,807","1,984","3,871","8,139",209
2021년07월_계_40~49세,"50,595",27,463,"1,327","1,920","2,302","1,777","3,316","1,990",944,"6,455","2,259","4,852","2,349","3,360","2,252","6,065","8,720",217
2021년07월_계_50~59세,"49,082",58,584,"1,849","2,403","2,423","1,783","3,475","1,826","1,392","5,734","2,139","4,439","2,177","3,320","2,058","4,916","8,083",423
2021년07월_계_60~69세,"39,007",48,634,"1,811","2,477","2,303","1,553","3,132","1,210","1,092","4,170","1,626","3,245","1,728","2,631","1,288","3,761","5,766",532
2021년07월_계_70~79세,"17,658",16,361,958,"1,249","1,145",755,"1,379",512,477,"1,633",763,"1,317",818,"1,466",540,"1,590","2,440",239
2021년07월_계_80~89세,"7,648",2,135,382,443,474,289,532,214,234,738,244,557,516,865,265,636,956,166
2021년07월_계_90~99세,"1,097",3,13,41,54,62,29,78,28,34,106,28,95,83,124,35,111,148,25
2021년07월_계_100세 이상,36,0,0,3,1,0,2,1,1,1,3,3,4,2,6,1,2,5,1
2021년07월_남_총인구수,"145,781",107,"1,701","4,702","6,748","7,052","5,210","10,436","5,428","3,517","17,002","6,601","12,947","6,539","9,550","6,004","15,506","25,507","1,224"
2021년07월_남_연령구간인구수,"145,781",107,"1,701","4,702","6,748","7,052","5,210","10,436","5,428","3,517","17,002","6,601","12,947","6,539","9,550","6,004","15,506","25,507","1,224"
2021년07월_남_0~9세,"11,451",0,66,167,327,431,362,765,446,106,"1,542",523,"1,120",472,759,489,"1,474","2,371",31
2021년07월_남_10~19세,"15,442",3,139,314,458,637,585,914,720,228,"2,271",614,"1,623",518,918,702,"2,193","2,549",56
2021년07월_남_20~29세,"19,533",5,216,653,926,999,658,"1,452",777,509,"2,239",885,"1,688",866,"1,215",834,"1,890","3,610",111
2021년07월_남_30~39세,"20,576",14,222,653,995,872,615,"1,591",735,496,"1,918","1,148","1,471","1,311","1,417","1,027","1,837","4,130",124
2021년07월_남_40~49세,"24,988",16,251,682,975,"1,162",872,"1,682",929,509,"3,053","1,130","2,360","1,165","1,631","1,054","2,918","4,459",140
2021년07월_남_50~59세,"24,484",37,301,877,"1,188","1,180",893,"1,676",903,778,"2,860","1,097","2,264","1,019","1,608","1,000","2,431","4,120",252
2021년07월_남_60~69세,"18,529",22,292,796,"1,155","1,075",750,"1,490",597,581,"2,027",766,"1,604",714,"1,184",583,"1,803","2,785",305
2021년07월_남_70~79세,"7,976",8,163,414,558,519,359,656,238,215,794,354,626,323,542,219,739,"1,125",124
2021년07월_남_80~89세,"2,562",1,45,138,154,163,110,193,77,88,274,79,172,134,248,90,198,322,76
2021년07월_남_90~99세,232,1,6,6,12,14,6,17,6,7,23,3,19,17,27,6,23,34,5
2021년07월_남_100세 이상,8,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0
2021년07월_여_총인구수,"149,779",86,"1,602","5,009","7,006","7,223","5,355","10,667","5,555","3,135","17,654","6,562","13,056","7,337","10,673","6,370","16,309","25,251",929
