카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년06월_계_총인구수,"50,192","18,352","3,771","4,441",778,"3,287","3,487","4,311","2,374","2,096",230,"2,559",992,"2,687",827
2020년06월_계_연령구간인구수,"50,192","18,352","3,771","4,441",778,"3,287","3,487","4,311","2,374","2,096",230,"2,559",992,"2,687",827
2020년06월_계_0~9세,"3,274","1,494",222,348,45,111,139,205,124,69,10,151,39,275,42
2020년06월_계_10~19세,"3,675","1,768",194,377,52,132,221,262,102,103,9,153,57,211,34
2020년06월_계_20~29세,"3,795","1,823",236,289,40,201,217,280,131,134,10,156,62,158,58
2020년06월_계_30~39세,"4,211","1,881",296,408,79,200,215,281,134,141,6,182,57,271,60
2020년06월_계_40~49세,"6,291","2,755",439,574,117,336,411,429,216,173,31,290,100,329,91
2020년06월_계_50~59세,"8,226","3,141",609,691,124,541,599,624,393,373,33,354,170,425,149
2020년06월_계_60~69세,"8,409","2,726",730,607,161,706,622,722,489,407,34,455,171,437,142
2020년06월_계_70~79세,"7,422","1,803",622,652,122,638,617,887,481,369,51,487,183,353,157
2020년06월_계_80~89세,"4,323",843,371,440,33,370,401,551,271,286,39,300,132,206,80
2020년06월_계_90~99세,543,109,50,54,3,50,44,68,33,40,6,30,21,22,13
2020년06월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년06월_남_총인구수,"25,246","9,260","1,922","2,222",425,"1,639","1,792","2,089","1,208","1,029",118,"1,259",491,"1,360",432
2020년06월_남_연령구간인구수,"25,246","9,260","1,922","2,222",425,"1,639","1,792","2,089","1,208","1,029",118,"1,259",491,"1,360",432
2020년06월_남_0~9세,"1,685",799,110,165,22,62,64,100,79,30,8,70,19,136,21
2020년06월_남_10~19세,"1,889",896,98,205,28,67,118,131,44,54,4,74,34,112,24
2020년06월_남_20~29세,"2,233","1,054",139,170,29,103,142,166,83,86,9,95,38,90,29
2020년06월_남_30~39세,"2,317",960,181,227,50,134,119,153,76,94,3,105,31,145,39
2020년06월_남_40~49세,"3,690","1,451",296,343,81,209,266,248,146,101,22,194,63,202,68
2020년06월_남_50~59세,"4,512","1,648",345,380,68,301,348,359,227,216,18,201,96,225,80
2020년06월_남_60~69세,"4,177","1,325",374,314,76,346,316,352,240,205,21,216,90,233,69
2020년06월_남_70~79세,"3,260",826,265,271,61,300,269,375,213,145,22,200,79,159,75
2020년06월_남_80~89세,"1,383",281,107,138,10,111,140,192,92,88,11,97,36,54,26
2020년06월_남_90~99세,97,19,7,9,0,6,10,13,8,9,0,6,5,4,1
2020년06월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년06월_여_총인구수,"24,946","9,092","1,849","2,219",353,"1,648","1,695","2,222","1,166","1,067",112,"1,300",501,"1,327",395
2020년06월_여_연령구간인구수,"24,946","9,092","1,849","2,219",353,"1,648","1,695","2,222","1,166","1,067",112,"1,300",501,"1,327",395
2020년06월_여_0~9세,"1,589",695,112,183,23,49,75,105,45,39,2,81,20,139,21
2020년06월_여_10~19세,"1,786",872,96,172,24,65,103,131,58,49,5,79,23,99,10
2020년06월_여_20~29세,"1,562",769,97,119,11,98,75,114,48,48,1,61,24,68,29
2020년06월_여_30~39세,"1,894",921,115,181,29,66,96,128,58,47,3,77,26,126,21
2020년06월_여_40~49세,"2,601","1,304",143,231,36,127,145,181,70,72,9,96,37,127,23
2020년06월_여_50~59세,"3,714","1,493",264,311,56,240,251,265,166,157,15,153,74,200,69
2020년06월_여_60~69세,"4,232","1,401",356,293,85,360,306,370,249,202,13,239,81,204,73
2020년06월_여_70~79세,"4,162",977,357,381,61,338,348,512,268,224,29,287,104,194,82
2020년06월_여_80~89세,"2,940",562,264,302,23,259,261,359,179,198,28,203,96,152,54
2020년06월_여_90~99세,446,90,43,45,3,44,34,55,25,31,6,24,16,18,12
2020년06월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
