,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020년05월_계_총인구수,"37,025","10,766","4,726","4,863","1,857","1,679","3,292","2,596","3,546","1,676","2,024"
2020년05월_계_연령구간인구수,"37,025","10,766","4,726","4,863","1,857","1,679","3,292","2,596","3,546","1,676","2,024"
2020년05월_계_0~9세,"1,798",670,248,312,70,46,156,99,112,35,50
2020년05월_계_10~19세,"2,632","1,025",251,388,129,106,193,187,162,96,95
2020년05월_계_20~29세,"2,868","1,015",348,410,122,122,232,176,199,121,123
2020년05월_계_30~39세,"3,258",973,734,516,103,100,313,149,184,72,114
2020년05월_계_40~49세,"4,987","1,671",711,756,217,184,430,313,337,169,199
2020년05월_계_50~59세,"7,160","1,945",796,938,395,334,666,524,762,387,413
2020년05월_계_60~69세,"7,259","1,732",861,885,392,355,754,536,836,400,508
2020년05월_계_70~79세,"4,535","1,113",546,472,278,274,366,352,559,247,328
2020년05월_계_80~89세,"2,136",508,193,166,137,121,155,216,342,128,170
2020년05월_계_90~99세,345,101,29,14,14,27,25,42,50,20,23
2020년05월_계_100세 이상,47,13,9,6,0,10,2,2,3,1,1
2020년05월_남_총인구수,"19,224","5,469","2,478","2,576",961,831,"1,765","1,302","1,877",897,"1,068"
2020년05월_남_연령구간인구수,"19,224","5,469","2,478","2,576",961,831,"1,765","1,302","1,877",897,"1,068"
2020년05월_남_0~9세,933,351,117,166,34,19,85,49,56,22,34
2020년05월_남_10~19세,"1,355",535,117,209,64,55,97,89,90,50,49
2020년05월_남_20~29세,"1,633",580,184,231,71,69,143,106,108,72,69
2020년05월_남_30~39세,"1,840",508,427,279,63,61,193,82,113,45,69
2020년05월_남_40~49세,"2,886",876,438,425,138,112,263,177,217,107,133
2020년05월_남_50~59세,"3,899","1,037",451,518,216,188,343,285,424,227,210
2020년05월_남_60~69세,"3,804",901,399,455,216,173,413,276,467,221,283
2020년05월_남_70~79세,"2,044",487,255,220,105,108,178,158,263,111,159
2020년05월_남_80~89세,732,173,76,66,49,33,44,68,127,40,56
2020년05월_남_90~99세,79,17,11,3,5,7,5,11,12,2,6
2020년05월_남_100세 이상,19,4,3,4,0,6,1,1,0,0,0
2020년05월_여_총인구수,"17,801","5,297","2,248","2,287",896,848,"1,527","1,294","1,669",779,956
2020년05월_여_연령구간인구수,"17,801","5,297","2,248","2,287",896,848,"1,527","1,294","1,669",779,956
2020년05월_여_0~9세,865,319,131,146,36,27,71,50,56,13,16
2020년05월_여_10~19세,"1,277",490,134,179,65,51,96,98,72,46,46
2020년05월_여_20~29세,"1,235",435,164,179,51,53,89,70,91,49,54
2020년05월_여_30~39세,"1,418",465,307,237,40,39,120,67,71,27,45
2020년05월_여_40~49세,"2,101",795,273,331,79,72,167,136,120,62,66
2020년05월_여_50~59세,"3,261",908,345,420,179,146,323,239,338,160,203
2020년05월_여_60~69세,"3,455",831,462,430,176,182,341,260,369,179,225
2020년05월_여_70~79세,"2,491",626,291,252,173,166,188,194,296,136,169
2020년05월_여_80~89세,"1,404",335,117,100,88,88,111,148,215,88,114
2020년05월_여_90~99세,266,84,18,11,9,20,20,31,38,18,17
2020년05월_여_100세 이상,28,9,6,2,0,4,1,1,3,1,1
