,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년07월_계_총인구수,"275,995","33,851","54,202","16,236","27,733","17,496","19,498","22,454","17,141","21,283","20,466","25,635"
2020년07월_계_연령구간인구수,"275,995","33,851","54,202","16,236","27,733","17,496","19,498","22,454","17,141","21,283","20,466","25,635"
2020년07월_계_0~9세,"21,613","2,086","4,949",714,"2,397",876,"1,268","2,084","1,160","1,959","2,281","1,839"
2020년07월_계_10~19세,"27,237","2,751","6,277",917,"2,837","1,222","1,531","2,206","1,678","3,214","1,762","2,842"
2020년07월_계_20~29세,"38,570","5,396","7,366","2,486","3,879","2,751","2,818","2,840","2,188","2,556","2,628","3,662"
2020년07월_계_30~39세,"39,196","4,703","7,448","2,206","3,657","2,357","3,290","3,909","2,235","2,276","3,787","3,328"
2020년07월_계_40~49세,"45,322","5,157","9,348","2,141","4,511","2,598","2,888","3,911","2,804","4,265","3,276","4,423"
2020년07월_계_50~59세,"48,438","6,586","9,426","3,156","4,875","3,568","3,220","3,434","2,988","3,539","3,247","4,399"
2020년07월_계_60~69세,"32,094","4,421","5,703","2,609","3,428","2,563","2,432","2,210","2,029","1,864","2,149","2,686"
2020년07월_계_70~79세,"14,928","1,867","2,458","1,321","1,353","1,094","1,276","1,127","1,202",945,902,"1,383"
2020년07월_계_80~89세,"7,373",742,"1,039",590,676,403,671,650,755,586,364,897
2020년07월_계_90~99세,"1,151",132,173,88,117,56,98,83,98,75,65,166
2020년07월_계_100세 이상,73,10,15,8,3,8,6,0,4,4,5,10
2020년07월_남_총인구수,"137,053","17,827","26,971","8,100","13,464","9,103","9,269","10,951","8,195","10,392","10,307","12,474"
2020년07월_남_연령구간인구수,"137,053","17,827","26,971","8,100","13,464","9,103","9,269","10,951","8,195","10,392","10,307","12,474"
2020년07월_남_0~9세,"11,048","1,058","2,554",373,"1,210",471,650,"1,044",543,"1,049","1,136",960
2020년07월_남_10~19세,"14,032","1,428","3,224",472,"1,479",642,777,"1,143",874,"1,620",916,"1,457"
2020년07월_남_20~29세,"20,145","2,981","3,800","1,339","2,018","1,458","1,414","1,506","1,120","1,346","1,324","1,839"
2020년07월_남_30~39세,"20,354","2,696","3,794","1,274","1,762","1,335","1,703","1,947","1,127","1,066","1,968","1,682"
2020년07월_남_40~49세,"22,269","2,727","4,559","1,118","2,118","1,397","1,378","1,874","1,356","1,964","1,695","2,083"
2020년07월_남_50~59세,"23,738","3,440","4,597","1,493","2,275","1,837","1,471","1,642","1,429","1,765","1,563","2,226"
2020년07월_남_60~69세,"15,863","2,290","2,880","1,234","1,713","1,284","1,127","1,040",937,938,"1,109","1,311"
2020년07월_남_70~79세,"6,676",888,"1,159",590,611,525,499,479,480,404,450,591
2020년07월_남_80~89세,"2,595",282,353,187,246,138,225,250,291,212,130,281
2020년07월_남_90~99세,311,33,46,19,32,13,23,26,36,27,14,42
2020년07월_남_100세 이상,22,4,5,1,0,3,2,0,2,1,2,2
2020년07월_여_총인구수,"138,942","16,024","27,231","8,136","14,269","8,393","10,229","11,503","8,946","10,891","10,159","13,161"
2020년07월_여_연령구간인구수,"138,942","16,024","27,231","8,136","14,269","8,393","10,229","11,503","8,946","10,891","10,159","13,161"
2020년07월_여_0~9세,"10,565","1,028","2,395",341,"1,187",405,618,"1,040",617,910,"1,145",879
2020년07월_여_10~19세,"13,205","1,323","3,053",445,"1,358",580,754,"1,063",804,"1,594",846,"1,385"
2020년07월_여_20~29세,"18,425","2,415","3,566","1,147","1,861","1,293","1,404","1,334","1,068","1,210","1,304","1,823"
2020년07월_여_30~39세,"18,842","2,007","3,654",932,"1,895","1,022","1,587","1,962","1,108","1,210","1,819","1,646"
2020년07월_여_40~49세,"23,053","2,430","4,789","1,023","2,393","1,201","1,510","2,037","1,448","2,301","1,581","2,340"
2020년07월_여_50~59세,"24,700","3,146","4,829","1,663","2,600","1,731","1,749","1,792","1,559","1,774","1,684","2,173"
2020년07월_여_60~69세,"16,231","2,131","2,823","1,375","1,715","1,279","1,305","1,170","1,092",926,"1,040","1,375"
2020년07월_여_70~79세,"8,252",979,"1,299",731,742,569,777,648,722,541,452,792
2020년07월_여_80~89세,"4,778",460,686,403,430,265,446,400,464,374,234,616
2020년07월_여_90~99세,840,99,127,69,85,43,75,57,62,48,51,124
2020년07월_여_100세 이상,51,6,10,7,3,5,4,0,2,3,3,8
