,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년07월_계_총인구수,"176,205","13,589","7,280","5,311","3,332","8,145","15,496","9,291","5,068","7,277","6,139","19,042","18,695","8,740","15,834","32,966"
2021년07월_계_연령구간인구수,"176,205","13,589","7,280","5,311","3,332","8,145","15,496","9,291","5,068","7,277","6,139","19,042","18,695","8,740","15,834","32,966"
2021년07월_계_0~9세,"15,059",687,474,115,61,574,"2,883",469,125,240,346,"1,572","1,621",535,"1,332","4,025"
2021년07월_계_10~19세,"17,132","1,002",682,206,111,757,"1,243",741,260,437,440,"1,988","2,283",861,"1,925","4,196"
2021년07월_계_20~29세,"18,995","1,747",609,269,153,664,"1,587",833,281,666,564,"2,560","2,077","1,062","1,982","3,941"
2021년07월_계_30~39세,"21,802","1,463",589,263,148,921,"3,822",787,252,460,519,"2,655","2,087",835,"1,870","5,131"
2021년07월_계_40~49세,"27,816","1,924","1,076",471,279,"1,227","2,419","1,297",528,824,829,"3,220","3,358","1,410","2,797","6,157"
2021년07월_계_50~59세,"28,411","3,046","1,314",847,575,"1,356","1,624","1,678",824,"1,308",798,"3,155","3,230","1,516","2,486","4,654"
2021년07월_계_60~69세,"23,335","2,032","1,148","1,343",885,"1,296","1,044","1,613","1,167","1,481","1,120","2,130","2,152","1,350","1,862","2,712"
2021년07월_계_70~79세,"13,977",989,765,989,681,799,508,"1,048",933,"1,125",824,"1,076","1,180",756,990,"1,314"
2021년07월_계_80~89세,"8,367",597,546,707,388,467,316,727,612,635,617,588,596,351,512,708
2021년07월_계_90~99세,"1,273",100,70,100,50,84,49,96,84,100,75,95,106,62,76,126
2021년07월_계_100세 이상,38,2,7,1,1,0,1,2,2,1,7,3,5,2,2,2
2021년07월_남_총인구수,"91,883","7,926","3,720","2,696","1,698","4,379","8,137","4,782","2,584","3,766","3,164","9,927","9,789","4,422","8,004","16,889"
2021년07월_남_연령구간인구수,"91,883","7,926","3,720","2,696","1,698","4,379","8,137","4,782","2,584","3,766","3,164","9,927","9,789","4,422","8,004","16,889"
2021년07월_남_0~9세,"7,689",361,240,52,38,280,"1,485",243,69,123,173,834,855,281,651,"2,004"
2021년07월_남_10~19세,"9,096",536,361,111,57,398,633,392,141,242,224,"1,049","1,350",456,927,"2,219"
2021년07월_남_20~29세,"11,337","1,199",372,170,95,424,888,508,167,421,387,"1,472","1,260",591,"1,118","2,265"
2021년07월_남_30~39세,"12,108",990,314,169,87,583,"2,057",430,142,266,296,"1,493","1,109",462,"1,059","2,651"
2021년07월_남_40~49세,"14,874","1,175",557,296,173,717,"1,337",716,324,487,484,"1,659","1,690",739,"1,410","3,110"
2021년07월_남_50~59세,"15,265","1,851",734,462,324,734,842,903,460,709,434,"1,658","1,663",782,"1,284","2,425"
2021년07월_남_60~69세,"11,710","1,125",584,673,442,684,549,810,573,747,546,"1,033","1,045",632,926,"1,341"
2021년07월_남_70~79세,"6,584",472,354,472,341,384,235,503,460,534,381,499,568,329,448,604
2021년07월_남_80~89세,"2,953",189,188,271,133,159,102,260,230,218,220,214,225,134,163,247
2021년07월_남_90~99세,264,28,16,20,8,16,9,17,17,19,18,16,23,16,18,23
2021년07월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2021년07월_여_총인구수,"84,322","5,663","3,560","2,615","1,634","3,766","7,359","4,509","2,484","3,511","2,975","9,115","8,906","4,318","7,830","16,077"
2021년07월_여_연령구간인구수,"84,322","5,663","3,560","2,615","1,634","3,766","7,359","4,509","2,484","3,511","2,975","9,115","8,906","4,318","7,830","16,077"
2021년07월_여_0~9세,"7,370",326,234,63,23,294,"1,398",226,56,117,173,738,766,254,681,"2,021"
2021년07월_여_10~19세,"8,036",466,321,95,54,359,610,349,119,195,216,939,933,405,998,"1,977"
2021년07월_여_20~29세,"7,658",548,237,99,58,240,699,325,114,245,177,"1,088",817,471,864,"1,676"
2021년07월_여_30~39세,"9,694",473,275,94,61,338,"1,765",357,110,194,223,"1,162",978,373,811,"2,480"
2021년07월_여_40~49세,"12,942",749,519,175,106,510,"1,082",581,204,337,345,"1,561","1,668",671,"1,387","3,047"
2021년07월_여_50~59세,"13,146","1,195",580,385,251,622,782,775,364,599,364,"1,497","1,567",734,"1,202","2,229"
2021년07월_여_60~69세,"11,625",907,564,670,443,612,495,803,594,734,574,"1,097","1,107",718,936,"1,371"
2021년07월_여_70~79세,"7,393",517,411,517,340,415,273,545,473,591,443,577,612,427,542,710
2021년07월_여_80~89세,"5,414",408,358,436,255,308,214,467,382,417,397,374,371,217,349,461
2021년07월_여_90~99세,"1,009",72,54,80,42,68,40,79,67,81,57,79,83,46,58,103
2021년07월_여_100세 이상,35,2,7,1,1,0,1,2,1,1,6,3,4,2,2,2
