,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년10월_계_총인구수,"291,705","3,754","4,590","10,880","4,945","8,139","11,028","30,288","24,808","23,895","15,568","20,635","10,035","15,472","5,836","20,076","28,664","36,872","16,220"
2021년10월_계_연령구간인구수,"291,705","3,754","4,590","10,880","4,945","8,139","11,028","30,288","24,808","23,895","15,568","20,635","10,035","15,472","5,836","20,076","28,664","36,872","16,220"
2021년10월_계_0~9세,"20,342",105,369,553,169,533,832,"2,095","1,571","1,137",800,"2,269",509,"1,018",395,"1,201","2,496","2,794","1,496"
2021년10월_계_10~19세,"30,130",145,339,614,231,571,"1,247","2,917","2,378","1,651","1,063","2,478",982,"1,523",386,"2,038","4,168","4,979","2,420"
2021년10월_계_20~29세,"44,731",387,465,"1,582",833,"1,047","1,758","5,550","4,715","4,417","3,076","2,305","1,521","2,128",715,"2,860","4,071","5,385","1,916"
2021년10월_계_30~39세,"35,172",328,535,"1,517",603,957,"1,455","4,158","3,505","2,952","2,308","2,842","1,055","1,641",668,"1,970","3,039","3,996","1,643"
2021년10월_계_40~49세,"47,075",411,723,"1,482",645,"1,232","1,914","4,788","3,880","3,176","2,176","3,714","1,350","2,158",712,"2,887","5,395","7,132","3,300"
2021년10월_계_50~59세,"49,414",587,651,"1,755",830,"1,510","1,909","5,390","3,985","3,972","2,325","2,863","1,679","2,578","1,199","3,851","5,269","6,467","2,594"
2021년10월_계_60~69세,"35,628",748,778,"1,577",823,"1,237",996,"2,997","2,728","3,469","1,879","2,442","1,617","2,665",968,"3,067","2,475","3,431","1,731"
2021년10월_계_70~79세,"19,408",701,518,"1,204",523,713,582,"1,488","1,442","2,080","1,224","1,242",869,"1,186",491,"1,446","1,155","1,751",793
2021년10월_계_80~89세,"8,545",314,186,529,253,296,291,809,521,910,622,410,383,494,248,672,509,827,271
2021년10월_계_90~99세,"1,212",27,26,63,34,41,44,92,80,123,93,68,67,77,52,82,81,107,55
2021년10월_계_100세 이상,48,1,0,4,1,2,0,4,3,8,2,2,3,4,2,2,6,3,1
2021년10월_남_총인구수,"142,908","1,871","2,236","5,376","2,591","4,170","5,620","14,468","12,404","11,674","7,408","10,303","4,947","7,451","3,005","9,524","14,026","18,160","7,674"
2021년10월_남_연령구간인구수,"142,908","1,871","2,236","5,376","2,591","4,170","5,620","14,468","12,404","11,674","7,408","10,303","4,947","7,451","3,005","9,524","14,026","18,160","7,674"
2021년10월_남_0~9세,"10,528",57,197,275,91,295,456,"1,040",777,601,409,"1,192",281,545,207,631,"1,298","1,426",750
2021년10월_남_10~19세,"15,860",75,191,346,143,281,643,"1,512","1,176",858,565,"1,460",534,842,200,"1,108","2,103","2,621","1,202"
2021년10월_남_20~29세,"22,859",222,250,776,436,552,919,"2,646","2,382","2,141","1,374","1,227",843,"1,138",391,"1,509","2,209","2,829","1,015"
2021년10월_남_30~39세,"17,918",187,256,809,342,511,811,"2,075","1,893","1,597","1,175","1,375",542,846,342,959,"1,465","1,990",743
2021년10월_남_40~49세,"22,784",246,402,771,372,690,970,"2,223","1,956","1,632","1,140","1,821",682,989,382,"1,281","2,408","3,292","1,527"
2021년10월_남_50~59세,"24,204",315,321,920,427,782,"1,005","2,540","2,007","1,980","1,118","1,365",776,"1,127",643,"1,749","2,630","3,244","1,255"
2021년10월_남_60~69세,"16,740",342,330,698,405,608,483,"1,482","1,286","1,642",813,"1,113",734,"1,225",518,"1,451","1,181","1,678",751
2021년10월_남_70~79세,"8,628",286,220,557,255,336,217,624,702,893,536,583,394,552,242,631,532,738,330
2021년10월_남_80~89세,"3,110",134,65,209,111,104,107,297,204,302,255,155,146,171,73,192,182,314,89
2021년10월_남_90~99세,273,7,4,14,9,11,9,28,21,28,23,12,15,15,7,13,18,27,12
2021년10월_남_100세 이상,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2021년10월_여_총인구수,"148,797","1,883","2,354","5,504","2,354","3,969","5,408","15,820","12,404","12,221","8,160","10,332","5,088","8,021","2,831","10,552","14,638","18,712","8,546"
2021년10월_여_연령구간인구수,"148,797","1,883","2,354","5,504","2,354","3,969","5,408","15,820","12,404","12,221","8,160","10,332","5,088","8,021","2,831","10,552","14,638","18,712","8,546"
2021년10월_여_0~9세,"9,814",48,172,278,78,238,376,"1,055",794,536,391,"1,077",228,473,188,570,"1,198","1,368",746
2021년10월_여_10~19세,"14,270",70,148,268,88,290,604,"1,405","1,202",793,498,"1,018",448,681,186,930,"2,065","2,358","1,218"
2021년10월_여_20~29세,"21,872",165,215,806,397,495,839,"2,904","2,333","2,276","1,702","1,078",678,990,324,"1,351","1,862","2,556",901
2021년10월_여_30~39세,"17,254",141,279,708,261,446,644,"2,083","1,612","1,355","1,133","1,467",513,795,326,"1,011","1,574","2,006",900
2021년10월_여_40~49세,"24,291",165,321,711,273,542,944,"2,565","1,924","1,544","1,036","1,893",668,"1,169",330,"1,606","2,987","3,840","1,773"
2021년10월_여_50~59세,"25,210",272,330,835,403,728,904,"2,850","1,978","1,992","1,207","1,498",903,"1,451",556,"2,102","2,639","3,223","1,339"
2021년10월_여_60~69세,"18,888",406,448,879,418,629,513,"1,515","1,442","1,827","1,066","1,329",883,"1,440",450,"1,616","1,294","1,753",980
2021년10월_여_70~79세,"10,780",415,298,647,268,377,365,864,740,"1,187",688,659,475,634,249,815,623,"1,013",463
2021년10월_여_80~89세,"5,435",180,121,320,142,192,184,512,317,608,367,255,237,323,175,480,327,513,182
2021년10월_여_90~99세,939,20,22,49,25,30,35,64,59,95,70,56,52,62,45,69,63,80,43
2021년10월_여_100세 이상,44,1,0,3,1,2,0,3,3,8,2,2,3,3,2,2,6,2,1
