카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년11월_계_총인구수,"416,279","15,038","36,493","1,876","1,736","2,208","4,127","26,673","3,167","24,461","3,804","3,229","30,071","2,273","39,633","14,706","17,126","3,309","3,269","6,313","6,956","4,431","4,388","30,867","19,061","48,635","16,056","46,373"
2020년11월_계_연령구간인구수,"416,279","15,038","36,493","1,876","1,736","2,208","4,127","26,673","3,167","24,461","3,804","3,229","30,071","2,273","39,633","14,706","17,126","3,309","3,269","6,313","6,956","4,431","4,388","30,867","19,061","48,635","16,056","46,373"
2020년11월_계_0~9세,"41,515",886,"3,308",42,16,40,68,"5,653",75,"1,824",73,87,"2,431",81,"3,931","1,080",886,144,288,705,999,621,333,"2,832","2,233","4,950",935,"6,994"
2020년11월_계_10~19세,"45,069","1,167","3,853",59,59,115,155,"2,204",204,"2,521",104,146,"3,533",128,"5,121","1,660","1,983",174,232,475,625,218,343,"3,801","2,547","6,036","1,092","6,514"
2020년11월_계_20~29세,"56,581","1,492","4,656",106,99,148,299,"2,642",253,"3,453",505,322,"4,016",240,"5,241","2,029","2,773",609,431,966,937,680,655,"4,675","2,448","7,037","4,140","5,729"
2020년11월_계_30~39세,"65,766","1,331","4,389",94,77,102,216,"8,090",179,"3,382",530,282,"3,593",167,"5,151","1,707","1,661",499,547,"1,340","1,493","1,105",706,"4,350","2,994","8,799","4,147","8,835"
2020년11월_계_40~49세,"73,244","1,971","5,738",137,146,190,441,"4,287",380,"3,944",698,356,"5,071",292,"7,529","2,454","2,779",448,450,995,"1,158",708,769,"6,130","3,914","9,512","2,703","10,044"
2020년11월_계_50~59세,"69,826","2,989","7,745",363,337,398,823,"2,073",638,"4,504",842,666,"6,045",493,"7,164","3,016","3,922",639,639,"1,136","1,085",647,798,"5,887","3,136","6,923","1,723","5,195"
2020년11월_계_60~69세,"39,110","2,659","4,092",474,424,504,902,999,631,"3,269",647,744,"3,589",509,"3,691","1,807","2,188",465,401,454,490,347,478,"2,064","1,188","3,395",853,"1,846"
2020년11월_계_70~79세,"15,989","1,446","1,615",304,286,395,674,404,464,"1,145",287,434,"1,186",240,"1,230",659,667,247,177,167,118,79,221,738,395,"1,319",312,780
2020년11월_계_80~89세,"7,973",941,940,254,251,275,478,279,306,374,93,170,542,108,503,268,233,73,90,65,46,19,74,330,180,576,125,380
2020년11월_계_90~99세,"1,152",150,149,43,39,39,66,40,35,41,22,21,64,14,71,26,31,11,11,10,5,6,11,58,25,86,24,54
2020년11월_계_100세 이상,54,6,8,0,2,2,5,2,2,4,3,1,1,1,1,0,3,0,3,0,0,1,0,2,1,2,2,2
2020년11월_남_총인구수,"213,634","7,430","18,513",930,887,"1,132","2,143","13,921","1,624","12,078","2,091","1,669","14,754","1,174","20,147","7,277","8,627","1,839","1,782","3,419","3,554","2,447","2,357","16,106","9,945","25,102","8,586","24,100"
2020년11월_남_연령구간인구수,"213,634","7,430","18,513",930,887,"1,132","2,143","13,921","1,624","12,078","2,091","1,669","14,754","1,174","20,147","7,277","8,627","1,839","1,782","3,419","3,554","2,447","2,357","16,106","9,945","25,102","8,586","24,100"
2020년11월_남_0~9세,"21,409",446,"1,722",19,9,18,35,"2,873",48,899,34,50,"1,282",36,"2,003",566,475,73,158,373,494,336,182,"1,430","1,147","2,653",476,"3,572"
2020년11월_남_10~19세,"23,514",585,"2,076",30,24,70,80,"1,143",114,"1,288",47,83,"1,748",66,"2,700",883,"1,080",87,129,237,308,109,169,"1,983","1,377","3,157",554,"3,387"
2020년11월_남_20~29세,"31,296",890,"2,703",66,69,92,178,"1,249",136,"1,882",280,195,"2,272",143,"2,909","1,145","1,593",371,241,538,499,393,380,"2,673","1,373","3,765","2,055","3,206"
2020년11월_남_30~39세,"35,017",700,"2,236",56,52,71,140,"4,327",102,"1,810",285,186,"1,817",101,"2,548",858,889,329,335,786,817,641,420,"2,354","1,555","4,658","2,455","4,489"
2020년11월_남_40~49세,"37,042","1,014","2,694",88,96,119,283,"2,395",221,"1,862",408,205,"2,345",161,"3,700","1,104","1,240",269,250,537,595,422,430,"2,985","1,940","4,897","1,514","5,268"
2020년11월_남_50~59세,"35,606","1,479","3,891",202,183,240,488,"1,128",353,"2,116",492,349,"2,813",262,"3,581","1,432","1,861",349,344,595,529,335,395,"3,162","1,696","3,559",942,"2,830"
2020년11월_남_60~69세,"20,037","1,369","2,189",247,232,249,481,530,327,"1,555",367,362,"1,779",258,"1,970",893,"1,118",228,217,242,246,171,242,"1,089",639,"1,713",409,915
2020년11월_남_70~79세,"7,007",645,692,132,138,174,271,184,214,534,142,182,506,111,564,312,294,103,71,90,55,34,108,319,157,529,139,307
2020년11월_남_80~89세,"2,489",280,285,79,75,88,171,79,103,128,34,52,179,36,163,83,71,29,33,19,10,6,27,98,57,153,37,114
2020년11월_남_90~99세,210,21,24,11,9,10,15,13,6,3,2,5,13,0,9,1,6,1,4,2,1,0,4,12,4,18,5,11
2020년11월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
