카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년01월_계_총인구수,"43,335","13,711","6,161","3,717","3,125","2,021","1,207","2,446","3,069","4,489","3,389"
2021년01월_계_연령구간인구수,"43,335","13,711","6,161","3,717","3,125","2,021","1,207","2,446","3,069","4,489","3,389"
2021년01월_계_0~9세,"1,906",929,196,112,84,55,28,73,109,183,137
2021년01월_계_10~19세,"2,251","1,287",185,108,99,39,38,101,80,205,109
2021년01월_계_20~29세,"3,485","1,476",475,235,168,123,66,181,191,316,254
2021년01월_계_30~39세,"3,279","1,346",480,253,187,119,62,133,172,302,225
2021년01월_계_40~49세,"4,733","2,044",595,346,230,167,100,238,268,439,306
2021년01월_계_50~59세,"8,459","2,453","1,371",779,605,412,236,444,578,903,678
2021년01월_계_60~69세,"9,367","2,125","1,467",981,776,527,286,555,823,"1,015",812
2021년01월_계_70~79세,"5,843","1,277",880,513,523,307,211,425,518,665,524
2021년01월_계_80~89세,"3,486",675,434,336,380,240,160,260,278,415,308
2021년01월_계_90~99세,499,96,72,53,67,30,19,36,49,43,34
2021년01월_계_100세 이상,27,3,6,1,6,2,1,0,3,3,2
2021년01월_남_총인구수,"22,429","6,958","3,373","2,029","1,548","1,005",624,"1,231","1,579","2,291","1,791"
2021년01월_남_연령구간인구수,"22,429","6,958","3,373","2,029","1,548","1,005",624,"1,231","1,579","2,291","1,791"
2021년01월_남_0~9세,963,443,110,54,48,26,18,36,54,96,78
2021년01월_남_10~19세,"1,259",725,105,71,47,18,23,54,44,116,56
2021년01월_남_20~29세,"2,073",848,309,143,106,73,36,96,117,188,157
2021년01월_남_30~39세,"1,799",698,282,161,104,82,40,73,86,160,113
2021년01월_남_40~49세,"2,815","1,082",420,224,134,109,66,151,181,260,188
2021년01월_남_50~59세,"4,641","1,293",766,455,313,213,136,254,317,511,383
2021년01월_남_60~69세,"4,915","1,068",792,558,416,262,150,278,432,515,444
2021년01월_남_70~79세,"2,715",561,435,249,244,137,100,188,250,297,254
2021년01월_남_80~89세,"1,130",218,136,103,117,80,49,91,86,140,110
2021년01월_남_90~99세,113,21,16,11,18,5,5,10,11,8,8
2021년01월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2021년01월_여_총인구수,"20,906","6,753","2,788","1,688","1,577","1,016",583,"1,215","1,490","2,198","1,598"
2021년01월_여_연령구간인구수,"20,906","6,753","2,788","1,688","1,577","1,016",583,"1,215","1,490","2,198","1,598"
2021년01월_여_0~9세,943,486,86,58,36,29,10,37,55,87,59
2021년01월_여_10~19세,992,562,80,37,52,21,15,47,36,89,53
2021년01월_여_20~29세,"1,412",628,166,92,62,50,30,85,74,128,97
2021년01월_여_30~39세,"1,480",648,198,92,83,37,22,60,86,142,112
2021년01월_여_40~49세,"1,918",962,175,122,96,58,34,87,87,179,118
2021년01월_여_50~59세,"3,818","1,160",605,324,292,199,100,190,261,392,295
2021년01월_여_60~69세,"4,452","1,057",675,423,360,265,136,277,391,500,368
2021년01월_여_70~79세,"3,128",716,445,264,279,170,111,237,268,368,270
2021년01월_여_80~89세,"2,356",457,298,233,263,160,111,169,192,275,198
2021년01월_여_90~99세,386,75,56,42,49,25,14,26,38,35,26
2021년01월_여_100세 이상,21,2,4,1,5,2,0,0,2,3,2
