,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년01월_계_총인구수,"316,740","6,517","76,007","4,246","21,742","19,990","21,741","5,528","6,555","3,123","4,451","19,906","9,469","10,805","36,903","18,935","21,694","29,128"
2021년01월_계_연령구간인구수,"316,740","6,517","76,007","4,246","21,742","19,990","21,741","5,528","6,555","3,123","4,451","19,906","9,469","10,805","36,903","18,935","21,694","29,128"
2021년01월_계_0~9세,"32,721",367,"9,532",203,"2,952","2,566","2,469",147,311,61,110,"1,590",896,432,"4,026","1,549","2,248","3,262"
2021년01월_계_10~19세,"34,533",489,"9,327",351,"2,983","1,731","1,429",266,411,108,178,"2,050",733,804,"4,868","2,476","2,758","3,571"
2021년01월_계_20~29세,"36,609",555,"9,595",315,"2,756","2,049","2,418",419,564,188,343,"2,354","1,082","1,688","4,487","2,155","2,755","2,886"
2021년01월_계_30~39세,"48,290",630,"13,912",261,"4,054","3,616","4,616",388,626,177,305,"2,334","1,749","1,221","5,085","2,177","2,955","4,184"
2021년01월_계_40~49세,"56,660",873,"14,632",556,"4,615","3,471","3,556",581,959,269,400,"3,452","1,522","1,465","7,071","3,518","4,097","5,623"
2021년01월_계_50~59세,"46,333","1,141","9,713",757,"2,398","2,768","3,059",994,"1,278",524,852,"3,233","1,320","2,021","5,302","3,225","3,360","4,388"
2021년01월_계_60~69세,"32,251","1,168","5,368",814,"1,053","2,154","2,326","1,235","1,124",762,977,"2,460","1,129","1,645","3,313","2,043","1,907","2,773"
2021년01월_계_70~79세,"18,121",725,"2,563",579,569,982,"1,147",833,704,569,731,"1,523",670,"1,008","1,801","1,144","1,053","1,520"
2021년01월_계_80~89세,"9,779",499,"1,184",347,317,562,622,580,506,405,499,808,298,449,830,562,481,830
2021년01월_계_90~99세,"1,328",65,170,59,45,89,96,82,69,51,53,94,57,61,108,79,69,81
2021년01월_계_100세 이상,115,5,11,4,0,2,3,3,3,9,3,8,13,11,12,7,11,10
2021년01월_남_총인구수,"164,424","3,411","39,078","2,174","11,783","10,815","12,212","2,919","3,633","1,618","2,279","10,372","4,959","5,599","18,374","9,680","11,078","14,440"
2021년01월_남_연령구간인구수,"164,424","3,411","39,078","2,174","11,783","10,815","12,212","2,919","3,633","1,618","2,279","10,372","4,959","5,599","18,374","9,680","11,078","14,440"
2021년01월_남_0~9세,"16,792",181,"4,899",103,"1,507","1,273","1,283",73,163,36,47,810,458,205,"2,063",837,"1,187","1,667"
2021년01월_남_10~19세,"17,771",255,"4,785",188,"1,547",914,722,158,222,55,91,"1,038",393,421,"2,446","1,293","1,457","1,786"
2021년01월_남_20~29세,"20,330",334,"5,064",174,"1,625","1,264","1,446",263,360,104,194,"1,359",567,968,"2,343","1,234","1,544","1,487"
2021년01월_남_30~39세,"25,835",393,"7,189",143,"2,123","2,005","2,793",234,397,116,186,"1,247",973,733,"2,545","1,132","1,537","2,089"
2021년01월_남_40~49세,"30,764",507,"7,757",309,"2,637","2,056","2,239",361,613,172,237,"1,865",874,800,"3,607","1,791","2,071","2,868"
2021년01월_남_50~59세,"25,044",608,"5,128",425,"1,453","1,524","1,731",552,759,308,488,"1,805",712,"1,038","2,747","1,701","1,733","2,332"
2021년01월_남_60~69세,"16,062",584,"2,654",409,527,"1,111","1,245",663,599,369,508,"1,271",553,798,"1,544",981,925,"1,321"
2021년01월_남_70~79세,"8,051",346,"1,154",283,247,470,531,381,327,286,329,660,301,452,754,494,426,610
2021년01월_남_80~89세,"3,448",185,407,127,108,183,205,213,176,155,189,290,114,167,294,194,182,259
2021년01월_남_90~99세,297,16,35,13,9,15,17,19,16,12,10,26,9,15,30,22,15,18
2021년01월_남_100세 이상,30,2,6,0,0,0,0,2,1,5,0,1,5,2,1,1,1,3
2021년01월_여_총인구수,"152,316","3,106","36,929","2,072","9,959","9,175","9,529","2,609","2,922","1,505","2,172","9,534","4,510","5,206","18,529","9,255","10,616","14,688"
2021년01월_여_연령구간인구수,"152,316","3,106","36,929","2,072","9,959","9,175","9,529","2,609","2,922","1,505","2,172","9,534","4,510","5,206","18,529","9,255","10,616","14,688"
2021년01월_여_0~9세,"15,929",186,"4,633",100,"1,445","1,293","1,186",74,148,25,63,780,438,227,"1,963",712,"1,061","1,595"
2021년01월_여_10~19세,"16,762",234,"4,542",163,"1,436",817,707,108,189,53,87,"1,012",340,383,"2,422","1,183","1,301","1,785"
2021년01월_여_20~29세,"16,279",221,"4,531",141,"1,131",785,972,156,204,84,149,995,515,720,"2,144",921,"1,211","1,399"
2021년01월_여_30~39세,"22,455",237,"6,723",118,"1,931","1,611","1,823",154,229,61,119,"1,087",776,488,"2,540","1,045","1,418","2,095"
2021년01월_여_40~49세,"25,896",366,"6,875",247,"1,978","1,415","1,317",220,346,97,163,"1,587",648,665,"3,464","1,727","2,026","2,755"
2021년01월_여_50~59세,"21,289",533,"4,585",332,945,"1,244","1,328",442,519,216,364,"1,428",608,983,"2,555","1,524","1,627","2,056"
2021년01월_여_60~69세,"16,189",584,"2,714",405,526,"1,043","1,081",572,525,393,469,"1,189",576,847,"1,769","1,062",982,"1,452"
2021년01월_여_70~79세,"10,070",379,"1,409",296,322,512,616,452,377,283,402,863,369,556,"1,047",650,627,910
2021년01월_여_80~89세,"6,331",314,777,220,209,379,417,367,330,250,310,518,184,282,536,368,299,571
2021년01월_여_90~99세,"1,031",49,135,46,36,74,79,63,53,39,43,68,48,46,78,57,54,63
2021년01월_여_100세 이상,85,3,5,4,0,2,3,1,2,4,3,7,8,9,11,6,10,7
