,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 산솔면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년11월_계_총인구수,"37,934","20,821","1,029",0,"1,415","1,705","2,084","2,221","1,213","1,658","3,739","2,049"
2021년11월_계_연령구간인구수,"37,934","20,821","1,029",0,"1,415","1,705","2,084","2,221","1,213","1,658","3,739","2,049"
2021년11월_계_0~9세,"1,571","1,219",19,0,26,23,33,35,39,45,87,45
2021년11월_계_10~19세,"2,773","2,052",29,0,50,80,83,100,44,54,200,81
2021년11월_계_20~29세,"3,120","2,216",47,0,64,82,118,113,96,101,199,84
2021년11월_계_30~39세,"2,635","1,844",41,0,49,50,97,107,68,113,175,91
2021년11월_계_40~49세,"4,331","2,883",99,0,101,150,175,211,109,148,292,163
2021년11월_계_50~59세,"7,113","3,756",184,0,326,359,424,404,254,282,733,391
2021년11월_계_60~69세,"8,468","3,524",278,0,388,529,573,668,328,438,"1,081",661
2021년11월_계_70~79세,"4,697","2,029",186,0,238,257,339,338,164,272,523,351
2021년11월_계_80~89세,"2,849","1,145",130,0,157,153,213,211,104,177,400,159
2021년11월_계_90~99세,360,149,16,0,16,22,23,32,7,27,45,23
2021년11월_계_100세 이상,17,4,0,0,0,0,6,2,0,1,4,0
2021년11월_남_총인구수,"19,631","10,651",536,0,752,885,"1,096","1,182",677,897,"1,912","1,043"
2021년11월_남_연령구간인구수,"19,631","10,651",536,0,752,885,"1,096","1,182",677,897,"1,912","1,043"
2021년11월_남_0~9세,834,659,12,0,9,11,16,15,18,27,46,21
2021년11월_남_10~19세,"1,500","1,126",17,0,26,41,33,52,26,19,116,44
2021년11월_남_20~29세,"1,809","1,251",33,0,41,51,76,71,62,60,118,46
2021년11월_남_30~39세,"1,433",969,19,0,36,31,55,70,37,81,93,42
2021년11월_남_40~49세,"2,336","1,449",64,0,65,76,113,132,64,103,172,98
2021년11월_남_50~59세,"3,957","2,049",108,0,187,199,247,244,162,168,389,204
2021년11월_남_60~69세,"4,482","1,810",155,0,230,285,321,358,175,240,573,335
2021년11월_남_70~79세,"2,154",889,84,0,99,132,149,167,87,122,249,176
2021년11월_남_80~89세,"1,024",408,43,0,52,55,78,65,44,66,143,70
2021년11월_남_90~99세,98,41,1,0,7,4,6,8,2,10,12,7
2021년11월_남_100세 이상,4,0,0,0,0,0,2,0,0,1,1,0
2021년11월_여_총인구수,"18,303","10,170",493,0,663,820,988,"1,039",536,761,"1,827","1,006"
2021년11월_여_연령구간인구수,"18,303","10,170",493,0,663,820,988,"1,039",536,761,"1,827","1,006"
2021년11월_여_0~9세,737,560,7,0,17,12,17,20,21,18,41,24
2021년11월_여_10~19세,"1,273",926,12,0,24,39,50,48,18,35,84,37
2021년11월_여_20~29세,"1,311",965,14,0,23,31,42,42,34,41,81,38
2021년11월_여_30~39세,"1,202",875,22,0,13,19,42,37,31,32,82,49
2021년11월_여_40~49세,"1,995","1,434",35,0,36,74,62,79,45,45,120,65
2021년11월_여_50~59세,"3,156","1,707",76,0,139,160,177,160,92,114,344,187
2021년11월_여_60~69세,"3,986","1,714",123,0,158,244,252,310,153,198,508,326
2021년11월_여_70~79세,"2,543","1,140",102,0,139,125,190,171,77,150,274,175
2021년11월_여_80~89세,"1,825",737,87,0,105,98,135,146,60,111,257,89
2021년11월_여_90~99세,262,108,15,0,9,18,17,24,5,17,33,16
2021년11월_여_100세 이상,13,4,0,0,0,0,4,2,0,0,3,0
