,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년05월_계_총인구수,"50,320","29,052","3,214","1,408","1,912","2,357","2,993","4,153","2,239","2,992"
2021년05월_계_연령구간인구수,"50,320","29,052","3,214","1,408","1,912","2,357","2,993","4,153","2,239","2,992"
2021년05월_계_0~9세,"2,531","2,077",88,38,36,28,47,102,53,62
2021년05월_계_10~19세,"3,800","2,983",124,65,67,57,143,175,78,108
2021년05월_계_20~29세,"4,276","3,117",209,58,89,83,132,255,147,186
2021년05월_계_30~39세,"3,815","2,758",175,63,78,82,115,247,123,174
2021년05월_계_40~49세,"6,105","4,448",271,99,146,127,202,363,163,286
2021년05월_계_50~59세,"8,801","4,951",613,260,314,435,491,745,398,594
2021년05월_계_60~69세,"10,230","4,522",861,368,532,681,833,"1,036",582,815
2021년05월_계_70~79세,"6,328","2,692",479,245,342,420,591,717,390,452
2021년05월_계_80~89세,"3,811","1,306",334,177,263,379,384,438,263,267
2021년05월_계_90~99세,608,195,58,35,41,62,54,75,42,46
2021년05월_계_100세 이상,15,3,2,0,4,3,1,0,0,2
2021년05월_남_총인구수,"25,358","14,520","1,656",705,982,"1,185","1,454","2,134","1,164","1,558"
2021년05월_남_연령구간인구수,"25,358","14,520","1,656",705,982,"1,185","1,454","2,134","1,164","1,558"
2021년05월_남_0~9세,"1,300","1,067",47,20,20,13,18,49,32,34
2021년05월_남_10~19세,"2,016","1,586",61,36,35,31,79,94,36,58
2021년05월_남_20~29세,"2,444","1,727",140,37,56,58,75,155,87,109
2021년05월_남_30~39세,"1,965","1,382",94,38,48,42,58,141,64,98
2021년05월_남_40~49세,"3,290","2,267",155,65,93,83,125,239,106,157
2021년05월_남_50~59세,"4,735","2,572",338,136,186,245,284,414,225,335
2021년05월_남_60~69세,"5,229","2,196",467,195,282,377,420,539,316,437
2021년05월_남_70~79세,"2,928","1,197",226,117,163,197,268,352,196,212
2021년05월_남_80~89세,"1,293",486,109,52,84,119,112,133,94,104
2021년05월_남_90~99세,155,40,18,9,13,20,15,18,8,14
2021년05월_남_100세 이상,3,0,1,0,2,0,0,0,0,0
2021년05월_여_총인구수,"24,962","14,532","1,558",703,930,"1,172","1,539","2,019","1,075","1,434"
2021년05월_여_연령구간인구수,"24,962","14,532","1,558",703,930,"1,172","1,539","2,019","1,075","1,434"
2021년05월_여_0~9세,"1,231","1,010",41,18,16,15,29,53,21,28
2021년05월_여_10~19세,"1,784","1,397",63,29,32,26,64,81,42,50
2021년05월_여_20~29세,"1,832","1,390",69,21,33,25,57,100,60,77
2021년05월_여_30~39세,"1,850","1,376",81,25,30,40,57,106,59,76
2021년05월_여_40~49세,"2,815","2,181",116,34,53,44,77,124,57,129
2021년05월_여_50~59세,"4,066","2,379",275,124,128,190,207,331,173,259
2021년05월_여_60~69세,"5,001","2,326",394,173,250,304,413,497,266,378
2021년05월_여_70~79세,"3,400","1,495",253,128,179,223,323,365,194,240
2021년05월_여_80~89세,"2,518",820,225,125,179,260,272,305,169,163
2021년05월_여_90~99세,453,155,40,26,28,42,39,57,34,32
2021년05월_여_100세 이상,12,3,1,0,2,3,1,0,0,2
