카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년10월_계_총인구수,"39,564","8,906","11,555","1,101","1,416","1,152","1,184","1,649",892,"3,648","2,740","1,220","3,034","1,067"
2021년10월_계_연령구간인구수,"39,564","8,906","11,555","1,101","1,416","1,152","1,184","1,649",892,"3,648","2,740","1,220","3,034","1,067"
2021년10월_계_0~9세,"1,560",594,469,25,37,28,36,60,16,100,52,41,79,23
2021년10월_계_10~19세,"2,513",832,803,41,59,51,65,69,50,164,125,68,157,29
2021년10월_계_20~29세,"2,789",902,788,62,87,57,57,102,45,213,125,88,191,72
2021년10월_계_30~39세,"2,341",777,688,47,75,52,59,65,27,171,130,73,129,48
2021년10월_계_40~49세,"3,928","1,176","1,196",80,114,95,96,112,84,312,218,124,250,71
2021년10월_계_50~59세,"6,533","1,496","1,850",169,236,185,192,268,157,572,457,203,578,170
2021년10월_계_60~69세,"7,750","1,391","2,280",228,300,218,229,358,195,790,619,249,669,224
2021년10월_계_70~79세,"6,450",968,"1,976",200,251,219,213,294,162,715,501,206,542,203
2021년10월_계_80~89세,"4,898",676,"1,287",207,223,214,207,276,135,531,430,151,370,191
2021년10월_계_90~99세,777,90,210,41,33,32,29,45,20,78,80,17,67,35
2021년10월_계_100세 이상,25,4,8,1,1,1,1,0,1,2,3,0,2,1
2021년10월_남_총인구수,"19,314","4,359","5,647",529,705,559,581,786,457,"1,757","1,336",589,"1,492",517
2021년10월_남_연령구간인구수,"19,314","4,359","5,647",529,705,559,581,786,457,"1,757","1,336",589,"1,492",517
2021년10월_남_0~9세,823,321,244,13,18,13,24,23,7,59,22,28,40,11
2021년10월_남_10~19세,"1,284",402,419,25,35,27,34,43,22,87,68,29,75,18
2021년10월_남_20~29세,"1,609",488,452,37,52,32,36,59,28,130,78,59,118,40
2021년10월_남_30~39세,"1,241",396,364,27,45,25,34,30,19,86,71,40,73,31
2021년10월_남_40~49세,"2,232",587,688,54,70,53,62,71,52,198,136,72,144,45
2021년10월_남_50~59세,"3,665",800,"1,037",98,147,117,116,149,105,328,277,89,305,97
2021년10월_남_60~69세,"3,966",679,"1,135",129,166,118,127,202,104,388,317,128,360,113
2021년10월_남_70~79세,"2,788",430,852,91,100,104,79,123,76,303,212,95,236,87
2021년10월_남_80~89세,"1,544",237,416,47,68,58,63,75,40,162,137,49,126,66
2021년10월_남_90~99세,158,19,37,8,4,12,6,11,4,15,18,0,15,9
2021년10월_남_100세 이상,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021년10월_여_총인구수,"20,250","4,547","5,908",572,711,593,603,863,435,"1,891","1,404",631,"1,542",550
2021년10월_여_연령구간인구수,"20,250","4,547","5,908",572,711,593,603,863,435,"1,891","1,404",631,"1,542",550
2021년10월_여_0~9세,737,273,225,12,19,15,12,37,9,41,30,13,39,12
2021년10월_여_10~19세,"1,229",430,384,16,24,24,31,26,28,77,57,39,82,11
2021년10월_여_20~29세,"1,180",414,336,25,35,25,21,43,17,83,47,29,73,32
2021년10월_여_30~39세,"1,100",381,324,20,30,27,25,35,8,85,59,33,56,17
2021년10월_여_40~49세,"1,696",589,508,26,44,42,34,41,32,114,82,52,106,26
2021년10월_여_50~59세,"2,868",696,813,71,89,68,76,119,52,244,180,114,273,73
2021년10월_여_60~69세,"3,784",712,"1,145",99,134,100,102,156,91,402,302,121,309,111
2021년10월_여_70~79세,"3,662",538,"1,124",109,151,115,134,171,86,412,289,111,306,116
2021년10월_여_80~89세,"3,354",439,871,160,155,156,144,201,95,369,293,102,244,125
2021년10월_여_90~99세,619,71,173,33,29,20,23,34,16,63,62,17,52,26
2021년10월_여_100세 이상,21,4,5,1,1,1,1,0,1,1,3,0,2,1
