카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년05월_계_총인구수,"300,446","25,731","30,507","20,384","16,339","20,315","23,938","29,139","19,374","31,357","21,700","35,081","26,581"
2020년05월_계_연령구간인구수,"300,446","25,731","30,507","20,384","16,339","20,315","23,938","29,139","19,374","31,357","21,700","35,081","26,581"
2020년05월_계_0~9세,"19,682","1,425","2,107",898,681,"1,055","1,595","1,999",942,"2,261","1,618","1,988","3,113"
2020년05월_계_10~19세,"27,653","2,405","2,876","1,367","1,075","1,710","2,689","2,933","1,427","3,498","1,880","2,952","2,841"
2020년05월_계_20~29세,"45,240","3,729","4,393","3,157","2,611","3,550","4,144","4,392","2,920","4,825","3,124","5,400","2,995"
2020년05월_계_30~39세,"38,916","2,943","3,810","2,619","2,085","2,897","2,695","3,779","2,629","3,985","2,778","4,584","4,112"
2020년05월_계_40~49세,"47,071","3,789","4,626","2,908","2,197","2,844","4,085","4,586","2,633","5,411","3,332","5,450","5,210"
2020년05월_계_50~59세,"61,678","5,414","6,265","4,497","3,601","4,525","5,392","5,894","4,055","6,430","4,310","7,261","4,034"
2020년05월_계_60~69세,"36,768","3,643","4,038","3,015","2,559","2,496","2,153","3,509","2,913","2,924","2,712","4,172","2,634"
2020년05월_계_70~79세,"15,208","1,558","1,650","1,288","1,025",765,614,"1,341","1,251","1,254","1,258","2,084","1,120"
2020년05월_계_80~89세,"7,096",702,674,574,420,397,473,604,516,657,599,"1,025",455
2020년05월_계_90~99세,"1,068",109,64,55,81,72,96,98,80,104,87,156,66
2020년05월_계_100세 이상,66,14,4,6,4,4,2,4,8,8,2,9,1
2020년05월_남_총인구수,"149,977","12,981","15,439","10,644","8,125","9,804","12,046","14,397","9,689","15,619","10,733","17,397","13,103"
2020년05월_남_연령구간인구수,"149,977","12,981","15,439","10,644","8,125","9,804","12,046","14,397","9,689","15,619","10,733","17,397","13,103"
2020년05월_남_0~9세,"10,015",703,"1,075",485,346,550,785,"1,009",483,"1,132",837,998,"1,612"
2020년05월_남_10~19세,"14,271","1,291","1,487",717,546,898,"1,402","1,483",737,"1,769",972,"1,516","1,453"
2020년05월_남_20~29세,"23,617","1,967","2,359","1,678","1,354","1,831","2,118","2,348","1,499","2,569","1,570","2,842","1,482"
2020년05월_남_30~39세,"20,181","1,572","2,020","1,458","1,142","1,460","1,344","1,908","1,454","2,032","1,404","2,429","1,958"
2020년05월_남_40~49세,"23,386","1,898","2,324","1,573","1,107","1,278","1,957","2,206","1,347","2,602","1,683","2,706","2,705"
2020년05월_남_50~59세,"30,243","2,702","3,066","2,359","1,728","2,043","2,737","2,860","1,935","3,208","2,083","3,568","1,954"
2020년05월_남_60~69세,"18,957","1,868","2,074","1,585","1,285","1,305","1,287","1,786","1,463","1,553","1,389","2,129","1,233"
2020년05월_남_70~79세,"6,805",716,786,602,472,321,272,592,562,526,570,857,529
2020년05월_남_80~89세,"2,255",233,236,173,131,102,131,174,188,205,207,315,160
2020년05월_남_90~99세,232,29,12,12,14,14,13,30,18,21,17,35,17
2020년05월_남_100세 이상,15,2,0,2,0,2,0,1,3,2,1,2,0
2020년05월_여_총인구수,"150,469","12,750","15,068","9,740","8,214","10,511","11,892","14,742","9,685","15,738","10,967","17,684","13,478"
2020년05월_여_연령구간인구수,"150,469","12,750","15,068","9,740","8,214","10,511","11,892","14,742","9,685","15,738","10,967","17,684","13,478"
2020년05월_여_0~9세,"9,667",722,"1,032",413,335,505,810,990,459,"1,129",781,990,"1,501"
2020년05월_여_10~19세,"13,382","1,114","1,389",650,529,812,"1,287","1,450",690,"1,729",908,"1,436","1,388"
2020년05월_여_20~29세,"21,623","1,762","2,034","1,479","1,257","1,719","2,026","2,044","1,421","2,256","1,554","2,558","1,513"
2020년05월_여_30~39세,"18,735","1,371","1,790","1,161",943,"1,437","1,351","1,871","1,175","1,953","1,374","2,155","2,154"
2020년05월_여_40~49세,"23,685","1,891","2,302","1,335","1,090","1,566","2,128","2,380","1,286","2,809","1,649","2,744","2,505"
2020년05월_여_50~59세,"31,435","2,712","3,199","2,138","1,873","2,482","2,655","3,034","2,120","3,222","2,227","3,693","2,080"
2020년05월_여_60~69세,"17,811","1,775","1,964","1,430","1,274","1,191",866,"1,723","1,450","1,371","1,323","2,043","1,401"
2020년05월_여_70~79세,"8,403",842,864,686,553,444,342,749,689,728,688,"1,227",591
2020년05월_여_80~89세,"4,841",469,438,401,289,295,342,430,328,452,392,710,295
2020년05월_여_90~99세,836,80,52,43,67,58,83,68,62,83,70,121,49
2020년05월_여_100세 이상,51,12,4,4,4,2,2,3,5,6,1,7,1
