,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년11월_계_총인구수,"402,392","14,726","14,435","16,790","17,184","17,987","7,563","48,289","31,258","19,083","23,516","27,005","20,692","16,830","9,028","14,093","17,520","22,628","12,988","21,492","15,536","13,749"
2020년11월_계_연령구간인구수,"402,392","14,726","14,435","16,790","17,184","17,987","7,563","48,289","31,258","19,083","23,516","27,005","20,692","16,830","9,028","14,093","17,520","22,628","12,988","21,492","15,536","13,749"
2020년11월_계_0~9세,"26,988","1,119","1,102","1,025",650,"1,352",299,"4,232","2,192","1,172","1,700","2,252","1,329",914,465,611,840,"2,083",588,"1,309","1,036",718
2020년11월_계_10~19세,"31,602",945,860,"1,350",964,"1,330",373,"4,912","3,489","1,780","1,597","2,052",912,"1,097",693,874,"1,181","1,804",974,"1,933","1,327","1,155"
2020년11월_계_20~29세,"56,973","1,935","2,097","2,165","3,903","2,673",846,"6,992","4,107","2,430","3,321","3,427","4,247","2,117","1,223","1,696","2,499","2,873","1,562","2,897","2,077","1,886"
2020년11월_계_30~39세,"55,191","2,222","2,416","2,196","1,796","2,860",856,"6,549","3,267","2,212","3,643","4,380","4,360","2,092","1,017","1,575","2,404","3,563","1,390","2,547","1,956","1,890"
2020년11월_계_40~49세,"63,130","2,191","2,081","2,544","2,103","2,596","1,018","8,446","5,510","2,993","3,626","4,198","3,169","2,362","1,386","1,921","2,653","3,923","1,967","3,358","2,296","2,789"
2020년11월_계_50~59세,"67,085","2,428","2,316","2,778","2,618","2,757","1,290","7,864","5,570","3,377","3,796","4,266","3,088","2,915","1,533","2,382","3,112","3,373","2,339","3,942","2,801","2,540"
2020년11월_계_60~69세,"55,274","2,057","1,888","2,435","2,543","2,339","1,413","5,323","4,046","2,701","3,138","3,661","2,181","2,812","1,406","2,586","2,624","2,818","2,229","3,117","2,357","1,600"
2020년11월_계_70~79세,"31,208","1,210","1,057","1,543","1,796","1,459",952,"2,684","2,147","1,603","1,822","1,887",954,"1,690",919,"1,685","1,459","1,445","1,294","1,660","1,136",806
